Sample	Bismark_mqc_generalstats_bismark_aligned_reads	Bismark_mqc_generalstats_bismark_percent_aligned
POR-216-TP1_PE_report	22.092658999999998	63.60926430991564
POR-216-TP2_PE_report	31.883488999999997	70.5105724871758
POR-216-TP3_PE_report	26.091874999999998	59.707538753620895
POR-216-TP4_PE_report	27.309227999999997	65.51484113833227
POR-236-TP1_PE_report	14.584114	59.682106058005616
POR-236-TP2_PE_report	23.523732	63.01636558266425
POR-245-TP1_PE_report	23.269316999999997	54.09446188495093
POR-245-TP2_PE_report	20.44692	59.938225893098306
POR-245-TP3_PE_report	28.412656	68.51636980622845
POR-245-TP4_PE_report	23.485863	61.607436207299656
POR-260-TP1_PE_report	24.715260999999998	67.78849335733264
POR-260-TP2_PE_report	19.516523	63.09943381124044
POR-260-TP3_PE_report	20.068421	60.13606803467658
POR-260-TP4_PE_report	25.205264	66.15971609760194
POR-262-TP1_PE_report	22.258157999999998	56.61938429642075
POR-262-TP2_PE_report	29.287941999999997	62.29470866573692
POR-262-TP4_PE_report	29.325159	61.91421369301049
POR-69-TP1_PE_report	16.043497	57.96772667396092
POR-69-TP2_PE_report	19.105266999999998	62.7033094806998
POR-69-TP3_PE_report	30.797472	68.57059344281735
POR-69-TP4_PE_report	22.633537999999998	63.31469399166144
POR-72-TP1_PE_report	21.57236	60.89239402276551
POR-72-TP2_PE_report	23.073522999999998	63.18262793959393
POR-72-TP3_PE_report	20.665456	62.066569634916966
POR-72-TP4_PE_report	23.562535999999998	58.224969571708286
POR-73-TP1_PE_report	24.799167999999998	58.07428892145894
POR-73-TP2_PE_report	5.100673	10.374133838526314
POR-73-TP3_PE_report	22.81147	63.03088040563076
POR-74-TP1_PE_report	18.795351	58.55843143725535
POR-74-TP2_PE_report	27.668691	62.74569748135653
POR-74-TP3_PE_report	17.816034	57.05424097524906
POR-74-TP4_PE_report	22.82629	63.59096036981799
POR-83-TP1_PE_report	20.468173	67.67121825710925
POR-83-TP2_PE_report	25.074768	59.91930998697702
POR-83-TP3_PE_report	19.369386	64.83407473687811
POR-83-TP4_PE_report	23.431091	66.28441604295597
