Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg	version
POR-260-TP1_PE_report	24715261.0	3238573.0	4215.0	1028039.0	4029935.0	18095565.0	8505541.0	67.78849335733264	0.5	0.5	9.2	0.0	0.0	directional	12340875.0	12370171.0	1257683871.0	36459375.0	219716725.0	835295848.0	179517759.0	0.24.2
POR-260-TP2_PE_report	19516523.0	2487300.0	3286.0	1060003.0	4142960.0	12782201.0	8925968.0	63.09943381124044	0.6	0.6	7.9	0.0	0.0	directional	9750310.0	9762927.0	999463920.0	30929791.0	175300856.0	657797260.0	148380640.0	0.24.2
POR-260-TP3_PE_report	20068421.0	2562776.0	3353.0	1181663.0	4589081.0	13619844.0	10740491.0	60.13606803467658	0.7	0.7	8.3	0.0	0.0	directional	10022263.0	10042805.0	1023169040.0	33371688.0	179091329.0	673413242.0	151273881.0	0.24.2
POR-260-TP4_PE_report	25205264.0	3139030.0	4474.0	1028555.0	4023530.0	18460862.0	9753306.0	66.15971609760194	0.5	0.5	9.2	0.0	0.0	directional	12589289.0	12611501.0	1286486399.0	38097600.0	225322531.0	854743270.0	182907651.0	0.24.2
POR-262-TP1_PE_report	22258158.0	2905885.0	4033.0	975769.0	3883639.0	15949700.0	14147861.0	56.61938429642075	0.5	0.5	9.1	0.0	0.0	directional	11106684.0	11147441.0	1124081171.0	39311904.0	196047074.0	747228827.0	159996162.0	0.24.2
POR-262-TP2_PE_report	29287942.0	3726850.0	5323.0	1174855.0	4741744.0	21255261.0	14000344.0	62.29470866573692	0.5	0.5	9.2	0.0	0.0	directional	14617261.0	14665358.0	1481560122.0	47015136.0	258513486.0	985698619.0	210176157.0	0.24.2
POR-262-TP4_PE_report	29325159.0	4042782.0	4976.0	1363295.0	5425580.0	20194055.0	13996238.0	61.91421369301049	0.5	0.6	8.8	0.0	0.0	directional	14641895.0	14678288.0	1455052913.0	47364179.0	254356912.0	964812914.0	208900157.0	0.24.2
POR-69-TP1_PE_report	16043497.0	2063675.0	2651.0	794339.0	3163401.0	10107483.0	9569430.0	57.96772667396092	0.6	0.6	7.8	0.0	0.0	directional	8012876.0	8027970.0	813967076.0	27676602.0	141547514.0	538782133.0	119572206.0	0.24.2
POR-69-TP2_PE_report	19105267.0	2482484.0	3074.0	980425.0	3911384.0	11752504.0	8881561.0	62.7033094806998	0.6	0.6	7.6	0.0	0.0	directional	9537774.0	9564419.0	968322092.0	30469312.0	168595480.0	639429223.0	143653076.0	0.24.2
POR-69-TP3_PE_report	30797472.0	4112067.0	4879.0	1244775.0	4884979.0	19612085.0	10003988.0	68.57059344281735	0.5	0.5	7.9	0.0	0.0	directional	15377842.0	15414751.0	1554669403.0	44913527.0	272326556.0	1027742722.0	228858286.0	0.24.2
POR-69-TP4_PE_report	22633538.0	2997372.0	3787.0	1091654.0	4299713.0	13840547.0	10116776.0	63.31469399166144	0.5	0.6	7.4	0.0	0.0	directional	11307333.0	11322418.0	1153894744.0	35747686.0	201652444.0	760650329.0	172360057.0	0.24.2
POR-72-TP1_PE_report	21572360.0	2900173.0	3736.0	1014844.0	3997656.0	15786362.0	10954486.0	60.89239402276551	0.5	0.5	9.2	0.0	0.0	directional	10760607.0	10808017.0	1095026210.0	35427019.0	191337325.0	726981387.0	155908636.0	0.24.2
POR-72-TP2_PE_report	23073523.0	3222828.0	3794.0	934946.0	3759139.0	14103747.0	10222426.0	63.18262793959393	0.5	0.5	7.6	0.0	0.0	directional	11516788.0	11552941.0	1168237629.0	36518777.0	204422967.0	772552280.0	172464550.0	0.24.2
POR-72-TP3_PE_report	20665456.0	2834623.0	3452.0	832938.0	3306958.0	13813436.0	9795552.0	62.066569634916966	0.5	0.5	8.4	0.0	0.0	directional	10312538.0	10349466.0	1045257328.0	33295631.0	182623527.0	693464049.0	151216420.0	0.24.2
POR-72-TP4_PE_report	23562536.0	3288595.0	3885.0	1331067.0	5248585.0	15479631.0	13616964.0	58.224969571708286	0.6	0.7	8.1	0.0	0.0	directional	11761728.0	11796923.0	1195920780.0	40468095.0	209289064.0	789088121.0	175484312.0	0.24.2
POR-73-TP1_PE_report	24799168.0	3141643.0	4201.0	1123388.0	4582180.0	17179816.0	14761680.0	58.07428892145894	0.5	0.5	8.8	0.0	0.0	directional	12377238.0	12417729.0	1254191243.0	42702491.0	218583581.0	833623490.0	179098788.0	0.24.2
POR-73-TP2_PE_report	5100673.0	813130.0	1218.0	207189.0	834642.0	3363832.0	43253415.0	10.374133838526314	0.5	0.5	8.2	0.0	0.0	directional	2542474.0	2556981.0	259940012.0	49167218.0	44930760.0	173115923.0	37487666.0	0.24.2
POR-73-TP3_PE_report	22811470.0	3076416.0	3646.0	1236489.0	4817993.0	15743994.0	10303057.0	63.03088040563076	0.6	0.6	8.5	0.0	0.0	directional	11384292.0	11423532.0	1157151424.0	36190943.0	202626823.0	763523220.0	169202905.0	0.24.2
POR-74-TP1_PE_report	18795351.0	2470039.0	3250.0	999209.0	3983421.0	12654668.0	10831356.0	58.55843143725535	0.6	0.6	8.4	0.0	0.0	directional	9383940.0	9408161.0	952838954.0	32096746.0	166585846.0	630155833.0	138459977.0	0.24.2
POR-74-TP2_PE_report	27668691.0	3636573.0	4948.0	1150679.0	4535976.0	20463701.0	12791291.0	62.74569748135653	0.5	0.5	9.4	0.0	0.0	directional	13822841.0	13840902.0	1402142146.0	44096555.0	244677649.0	933084579.0	198229562.0	0.24.2
POR-74-TP3_PE_report	17816034.0	2393337.0	3141.0	791817.0	3173216.0	11630098.0	11017114.0	57.05424097524906	0.5	0.5	8.1	0.0	0.0	directional	8895591.0	8917302.0	901885399.0	31226485.0	157740131.0	596618252.0	131931885.0	0.24.2
POR-74-TP4_PE_report	22826290.0	3014111.0	3853.0	1269608.0	4982538.0	15098556.0	10055094.0	63.59096036981799	0.6	0.6	8.2	0.0	0.0	directional	11399579.0	11422858.0	1159057353.0	35895495.0	202155290.0	765763885.0	169787476.0	0.24.2
POR-83-TP1_PE_report	20468173.0	2622773.0	3594.0	946135.0	3687048.0	14920602.0	7155551.0	67.67121825710925	0.5	0.5	9.1	0.0	0.0	directional	10216922.0	10247657.0	1038779395.0	30246497.0	181671936.0	688987431.0	148566243.0	0.24.2
POR-83-TP2_PE_report	25074768.0	3227272.0	4230.0	1292182.0	5139494.0	15707619.0	13545518.0	59.91930998697702	0.6	0.6	7.7	0.0	0.0	directional	12516320.0	12554218.0	1276590052.0	41847558.0	223006751.0	842251637.0	189192369.0	0.24.2
POR-83-TP3_PE_report	19369386.0	2454658.0	3500.0	801199.0	3177494.0	13222740.0	8051274.0	64.83407473687811	0.5	0.5	8.5	0.0	0.0	directional	9666050.0	9699836.0	985072911.0	29875318.0	171947878.0	653300723.0	142622877.0	0.24.2
POR-83-TP4_PE_report	23431091.0	2974087.0	4184.0	1117022.0	4391364.0	17458982.0	8944143.0	66.28441604295597	0.5	0.6	9.3	0.0	0.0	directional	11680558.0	11746349.0	1188922679.0	35349321.0	207313252.0	789202588.0	169439471.0	0.24.2
