Iteration,Loss
1,1284786.6795997983
2,851679.7191294811
3,537954.9305279554
4,377992.22339530906
5,303880.5477637202
6,269907.80138896074
7,250611.74246043907
8,239105.8623213047
9,230243.56262049646
10,223438.2595741565
11,218161.48777395414
12,213608.6441089324
13,209702.9613307609
14,206321.90078317595
15,203473.9205508643
16,200976.48115447472
17,198749.49313135148
18,196748.46122724467
19,194938.94331463956
20,193293.48623212782
21,191789.11021086143
22,190336.33874044125
23,188989.94465422083
24,187743.18341910554
25,186584.18582407405
26,185502.55773096922
27,184489.54528822316
28,183537.86632191826
29,182641.05704724634
30,181793.64405456203
31,180990.74300576292
32,180228.1135934783
33,179502.08990500675
34,178809.41678694676
35,178147.4420682866
36,177513.81941886825
37,176906.42732994308
38,176323.4177381649
39,175763.14950200645
40,175224.07447363553
41,174704.82761037748
42,174204.1169433243
43,173747.07373097667
44,173307.43740282956
45,172881.77731555994
46,172469.2669268631
47,172069.15889974058
48,171680.83289703348
49,171303.70777060883
50,170937.22614304573
51,170580.87371154368
52,170234.1838228376
53,169896.7223664659
54,169568.07729550885
55,169247.81947222102
56,168935.58335385015
57,168631.03446600292
58,168333.83964113196
59,168043.7147754126
60,167760.39336818692
61,167483.5838989655
62,167213.02047319064
63,166948.4499220406
64,166689.6328685381
65,166436.32819218768
66,166188.32544226717
67,165945.43157396046
68,165707.46077093307
69,165474.23640006676
70,165245.5936073448
71,165021.3700781027
72,164801.4123966158
73,164585.57544447063
74,164373.7140455266
75,164165.69133277057
76,163961.37983295872
77,163760.659200004
78,163563.4170584547
79,163369.53912444192
80,163179.33738813183
81,162993.00051745592
82,162810.07949349453
83,162630.39004229213
84,162453.86953193633
85,162280.30181254217
86,162109.6268383612
87,161941.62522467584
88,161776.3737158487
89,161613.65817305256
90,161453.42817666265
91,161295.61860515966
92,161140.1766472603
93,160987.0310207227
94,160835.99501215617
95,160687.1561114462
96,160540.4610325607
97,160395.70702071735
98,160253.00080242084
99,160112.13342885088
100,159973.22062784975
101,159836.06964362034
102,159700.6282119664
103,159567.00301488326
104,159434.98768748602
105,159304.5648662507
106,159175.83193238947
107,159048.6050108233
108,158922.84076807968
109,158798.52347165399
110,158675.75355359414
111,158554.35284296455
112,158434.28016361932
113,158315.52804485368
114,158198.06520027953
115,158081.99509468084
116,157954.20097059285
117,157827.2793240396
118,157701.829760947
119,157577.80092213987
120,157455.1186529026
121,157333.7808746732
122,157213.7510921494
123,157094.99785351558
124,156977.49233340175
125,156861.33899169686
126,156746.3645606861
127,156632.55410941827
128,156519.8880803799
129,156408.33877554376
130,156297.88478082293
131,156188.50221918142
132,156080.13356827665
133,155972.79142183883
134,155866.4554450427
135,155761.10397242598
136,155656.71755182018
137,155553.27974235755
138,155450.7734627441
139,155349.18236469247
140,155248.49038888662
141,155148.68388855425
142,155049.7467734001
143,154951.66540093074
144,154854.48787754396
145,154758.12499948638
146,154662.57091883253
147,154567.81443003507
148,154473.8394374312
149,154380.63095935644
150,154288.17651313602
151,154196.46479175403
152,154105.48192171764
153,154015.21750840722
154,153925.6594317782
155,153836.79547545052
156,153748.61290901108
157,153661.10164444504
158,153574.2497374794
159,153488.04612658478
160,153402.48084010213
161,153317.545363871
162,153233.2307611995
163,153149.52783997526
164,153066.39627943942
165,152975.8871896224
166,152885.20538544207
167,152795.28281719613
168,152706.07594777778
169,152617.60000940025
170,152529.83631691098
171,152442.76735573742
172,152356.37629653665
173,152270.64985039312
174,152185.57555494076
175,152101.1405308635
176,152017.33050126134
177,151934.13414937773
178,151851.54108564105
179,151769.53992385243
180,151688.12038880412
181,151607.27253119196
182,151526.98710458732
183,151447.25387900995
184,151368.0639126308
185,151289.4665915958
186,151211.38907960634
187,151133.83365981551
188,151056.7950549779
189,150980.26535772087
190,150904.23630393815
191,150828.69982577005
192,150753.64828442887
193,150679.07516740938
194,150604.97291306176
195,150531.3347168637
196,150458.15298418808
197,150385.42236076947
198,150313.13802081533
199,150241.2933528841
200,150169.88309454493
201,150098.9001233369
202,150028.3387583083
203,149958.1931453092
204,149888.45716923647
205,149819.12529882783
206,149750.19215496624
207,149681.65225953897
208,149613.50109298446
209,149545.73330978563
210,149478.3435716141
211,149411.32641911224
212,149344.67750652027
213,149278.39167802478
214,149212.46427143787
215,149146.89080556502
216,149081.66659457987
217,149016.78734103643
218,148952.2487978715
219,148888.04663398123
220,148824.1765425759
221,148760.63494965553
222,148697.4177855174
223,148634.52155974536
224,148571.94270104397
225,148509.67763935297
226,148447.722719426
227,148386.07444301766
228,148324.72859529048
229,148263.68176685952
230,148202.89089297294
231,148142.3927114906
232,148082.18352358782
233,148022.26080135928
234,147962.62145855287
235,147903.2633295184
236,147844.18360349882
237,147785.38024291722
238,147726.85165812142
239,147668.59677380772
240,147610.61193633155
241,147552.89420428587
242,147495.44041627034
243,147438.2478957741
244,147381.31480947652
245,147324.63806155833
246,147268.21438471932
247,147212.04161418782
248,147156.11785222287
249,147100.44091666015
250,147045.0089449851
251,146989.8194250232
252,146934.87020280462
253,146880.15925857116
254,146825.68587437863
255,146771.44909455202
256,146717.4470070124
257,146663.6768418835
258,146610.13603151945
259,146556.8261261125
260,146503.74092957383
261,146450.87791982543
262,146398.23523240595
263,146345.81067100493
264,146293.60207473143
265,146241.60835194724
266,146189.82902311665
267,146138.2618738054
268,146086.90485261567
269,146035.7565344193
270,145984.8153166732
271,145934.08037101134
272,145883.55193209066
273,145833.22698382667
274,145783.10294674512
275,145733.17786867497
276,145683.4501637415
277,145633.91808134748
278,145584.5801797204
279,145535.435510306
280,145486.48243082524
281,145437.73815273706
282,145389.1990430497
283,145340.849567963
284,145292.68695536436
285,145244.71043835764
286,145196.91799263764
287,145149.30745197504
288,145101.87703442984
289,145054.62560048586
290,145007.55185475454
291,144960.6543851639
292,144913.931462649
293,144867.38122276103
294,144821.00241521298
295,144774.79356057537
296,144728.75332662105
297,144682.88060868316
298,144637.17506214255
299,144591.63527883668
300,144546.2596611561
301,144501.04678913488
302,144455.99567722494
303,144411.10610537068
304,144366.37712002703
305,144321.80737441557
306,144277.39552989358
307,144233.14093885233
308,144189.04258531987
309,144145.09985218046
310,144101.31189159653
311,144057.67765924186
312,144014.1965965088
313,143970.86778557702
314,143927.69028236216
315,143884.6630728963
316,143841.78501426414
317,143799.0551091089
318,143756.47220650822
319,143714.03490861715
320,143671.741929023
321,143629.59203595392
322,143587.58418351694
323,143545.71783981915
324,143503.99204657756
325,143462.4060662141
326,143420.95879447722
327,143379.6492376509
328,143338.47644354586
329,143297.43958563145
330,143256.53769774782
331,143215.7699094683
332,143175.13537070306
333,143134.66294815092
334,143094.32665286612
335,143054.12097671643
336,143014.0451328331
337,142974.09798219425
338,142934.27872893398
339,142894.5862945025
340,142855.0195926552
341,142815.57807913903
342,142776.26152260008
343,142737.06912486034
344,142697.9998869554
345,142659.05307806123
346,142620.22797998035
347,142581.52370210653
348,142542.93957600862
349,142504.47505837848
350,142466.12935611745
351,142427.9017199892
352,142393.67673343455
353,142360.0968432999
354,142326.63206664528
355,142293.27527758802
356,142260.02291545435
357,142226.872075042
358,142193.82075487846
359,142160.86708465556
360,142128.00947397135
361,142095.24655501646
362,142062.57694032992
363,142029.9994533972
364,141997.51304060765
365,141965.1167602616
366,141932.81023213666
367,141900.59357968552
368,141868.4655922955
369,141836.425007611
370,141804.47132511155
371,141772.60396912482
372,141740.82234691182
373,141709.12571918176
374,141677.5136369537
375,141646.00584047474
376,141614.58113152822
377,141583.23956205547
378,141551.98045727285
379,141520.80309694403
380,141489.70706325394
381,141458.692002867
382,141427.75717147734
383,141396.90222146607
384,141366.1265905933
385,141335.42966169983
386,141304.81086424418
387,141274.26987962553
388,141243.8066070939
389,141213.42119018175
390,141183.1133650503
391,141152.8823564458
392,141122.7275990149
393,141092.64870121307
394,141062.6452750272
395,141032.71663286205
396,141002.862156968
397,140973.08133890314
398,140943.373594431
