trial,rank,lambda_A,lambda_B,lambda_C,non_negative,value,explained_variance,sparsity_A,sparsity_B,sparsity_C
24,6,0.004059835737020446,0.9927300702687186,0.023856895458323615,True,1.0000662027347758,0.0,1.0,1.0,1.0
35,6,0.00047032209360663407,0.9946126450457439,0.054037830669736754,True,1.0000662027347758,0.0,1.0,1.0,1.0
8,5,0.0005488047000766049,0.755681014127442,0.12604664585649453,True,1.6139410563531613,0.0060633941819348,0.9142403628117913,0.9333333333333333,0.8
43,7,0.0019328612477266963,0.9658375278259967,0.11275729933096769,True,1.6696021390712925,0.003882765429898405,0.9219792678976353,0.9523809523809523,0.8571428571428571
32,7,0.00022022655166203275,0.9526859657180455,0.03458925795028929,True,1.674642988924547,0.0044744746917290135,0.9217363135730483,0.9523809523809523,0.8571428571428571
26,7,0.0005203825453272095,0.9370777992753483,0.013886864514193633,True,1.6783790274747483,0.0049605455593643155,0.9218011013929381,0.9523809523809523,0.8571428571428571
31,7,0.0003444314558071704,0.9190933483804584,0.01533545154406818,True,1.681675430284181,0.005388572233989808,0.9218011013929381,0.9523809523809523,0.8571428571428571
25,7,0.0005831084176373551,0.8474827568656128,0.017660430671022978,True,1.691269655527538,0.006644344006836556,0.9218496922578555,0.9523809523809523,0.8571428571428571
11,4,0.01545508238572106,0.7406289513287481,0.09520145760425361,True,1.6977060893478086,0.00777831234327564,0.8629251700680272,0.9166666666666666,0.75
21,4,0.00689739546210353,0.28283451780787827,0.23022303078378356,True,1.720838832067816,0.010662526157010466,0.8639455782312925,0.9166666666666666,0.75
13,4,0.005110333258151403,0.2506372116239945,0.1949199100989717,True,1.7232513724770704,0.010905395855467015,0.8634637188208617,0.9166666666666666,0.75
0,4,0.6351221010640696,0.08471801418819976,0.024810409748678097,True,2.0079296512927822,0.01179691879491429,0.8625283446712018,0.8333333333333334,0.5
12,3,0.023900936098542522,0.6697376781283138,0.1475591802867448,True,2.2460105219134006,0.012932383979247564,0.7016628873771731,0.7777777777777778,0.3333333333333333
22,3,0.012722537890211041,0.31760768872011647,0.26727547081595865,True,2.2811517201096607,0.016207605640599976,0.699546485260771,0.7777777777777778,0.3333333333333333
