number,value,datetime_start,datetime_complete,duration,params_lambda_A,params_lambda_B,params_lambda_C,params_non_negative,params_rank,user_attrs_explained_variance,user_attrs_final_loss,user_attrs_sparsity_A,user_attrs_sparsity_B,user_attrs_sparsity_C,state
0,2.0079296512927822,2025-10-12 06:49:25.784591,2025-10-12 06:49:26.155307,0 days 00:00:00.370716,0.6351221010640696,0.08471801418819976,0.024810409748678097,True,4,0.01179691879491429,52351.91213127296,0.8625283446712018,0.8333333333333334,0.5,COMPLETE
1,2.6616040921579383,2025-10-12 06:49:26.156690,2025-10-12 06:49:26.205989,0 days 00:00:00.049299,0.29154431891537513,0.02537815508265665,0.06796578090758151,False,2,0.03594453207310755,51061.855766701985,0.2601473922902494,0.16666666666666666,0.0,COMPLETE
2,7.8189295445066245,2025-10-12 06:49:26.206526,2025-10-12 06:49:26.312571,0 days 00:00:00.106045,0.0007068974950624604,0.000533703276260396,0.0005415244119402539,False,7,0.15639916570148038,44643.82692433701,0.0007612568837058633,0.0,0.0,COMPLETE
3,5.860429267440763,2025-10-12 06:49:26.313396,2025-10-12 06:49:26.409889,0 days 00:00:00.096493,0.0014618962793704966,0.0280163515871626,0.0003613894271216529,False,5,0.11364708556451242,46906.63736411236,0.0019047619047619048,0.26666666666666666,0.0,COMPLETE
4,2.87574123711254,2025-10-12 06:49:26.410442,2025-10-12 06:49:26.466562,0 days 00:00:00.056120,0.13826232179369857,0.0006290644294586153,0.011400863701127324,True,5,0.02801331086875447,51459.94096127479,0.7550340136054422,0.8,0.4,COMPLETE
5,3.0258508685890133,2025-10-12 06:49:26.467770,2025-10-12 06:49:26.526880,0 days 00:00:00.059110,0.00048094619675015767,0.00018205657658407274,0.6245139574743068,True,6,0.028452603594810277,51430.6849558304,0.7561602418745276,0.8333333333333334,0.5,COMPLETE
6,4.883023952584918,2025-10-12 06:49:26.527413,2025-10-12 06:49:26.610039,0 days 00:00:00.082626,0.00024586032763280086,0.054567254856014755,0.005762487216478602,False,4,0.09108512220948517,48100.43686914737,0.0001984126984126984,0.25,0.0,COMPLETE
7,2.525940846533609,2025-10-12 06:49:26.610667,2025-10-12 06:49:26.651565,0 days 00:00:00.040898,0.43379206974909373,0.0010842262717330165,0.04467752817973906,False,2,0.03072751598389023,51353.014606367964,0.36887755102040815,0.0,0.0,COMPLETE
8,1.6139410563531613,2025-10-12 06:49:26.652094,2025-10-12 06:49:26.684402,0 days 00:00:00.032308,0.0005488047000766049,0.755681014127442,0.12604664585649453,True,5,0.0060633941819348,52600.64402679922,0.9142403628117913,0.9333333333333333,0.8,COMPLETE
9,5.4282379749748415,2025-10-12 06:49:26.684934,2025-10-12 06:49:26.824863,0 days 00:00:00.139929,0.48696409415208936,0.00022592797420156976,0.0006080390190296605,False,6,0.08299032242772486,48718.354342040206,0.40120937263794404,0.0,0.0,COMPLETE
10,2.2911750142360114,2025-10-12 06:49:26.825461,2025-10-12 06:49:26.908596,0 days 00:00:00.083135,0.00782184644489916,0.7553503645583184,0.5997863556602822,True,8,0.011383528089589978,52326.002240545065,0.8774659863945579,0.9166666666666666,0.75,COMPLETE
11,1.6977060893478086,2025-10-12 06:49:26.909134,2025-10-12 06:49:26.951310,0 days 00:00:00.042176,0.01545508238572106,0.7406289513287481,0.09520145760425361,True,4,0.00777831234327564,52510.68409360566,0.8629251700680272,0.9166666666666666,0.75,COMPLETE
12,2.2460105219134006,2025-10-12 06:49:26.951918,2025-10-12 06:49:26.978167,0 days 00:00:00.026249,0.023900936098542522,0.6697376781283138,0.1475591802867448,True,3,0.012932383979247564,52241.466507486635,0.7016628873771731,0.7777777777777778,0.3333333333333333,COMPLETE
13,1.7232513724770704,2025-10-12 06:49:26.978690,2025-10-12 06:49:27.017269,0 days 00:00:00.038579,0.005110333258151403,0.2506372116239945,0.1949199100989717,True,4,0.010905395855467015,52345.19349927739,0.8634637188208617,0.9166666666666666,0.75,COMPLETE
14,2.9799219727343242,2025-10-12 06:49:27.017943,2025-10-12 06:49:27.077305,0 days 00:00:00.059362,0.05729891581071095,0.0032925795867904555,0.003235766254967107,True,6,0.030273285550152296,51327.69706995078,0.7734126984126984,0.8333333333333334,0.5,COMPLETE
15,2.292075891340224,2025-10-12 06:49:27.077897,2025-10-12 06:49:27.112700,0 days 00:00:00.034803,0.00012233099077880031,0.3134788405035619,0.23856500792073068,True,3,0.016478284657092668,52052.46954372821,0.6945956160241874,0.7777777777777778,0.3333333333333333,COMPLETE
16,2.3073734147727833,2025-10-12 06:49:27.114064,2025-10-12 06:49:27.140251,0 days 00:00:00.026187,0.0031707970485015426,0.15598269755204594,0.0021004805863831153,True,3,0.01832004189024483,51951.20558537479,0.6962207105064248,0.7777777777777778,0.3333333333333333,COMPLETE
17,3.0313124403965555,2025-10-12 06:49:27.140728,2025-10-12 06:49:27.194279,0 days 00:00:00.053551,0.017532139988521826,0.012076097782624223,0.02369041044886914,True,5,0.031151164936469744,51275.22774072278,0.7135600907029478,0.8,0.4,COMPLETE
18,3.0163034751041664,2025-10-12 06:49:27.194832,2025-10-12 06:49:27.263180,0 days 00:00:00.068348,0.0014372804860889898,0.7421213311136444,0.082701466115382,True,7,0.02166521730532478,51777.50753912466,0.7819889860706187,0.8571428571428571,0.5714285714285714,COMPLETE
19,2.4371611559233997,2025-10-12 06:49:27.264363,2025-10-12 06:49:27.310651,0 days 00:00:00.046288,0.04436912442331291,0.004604203660649374,0.00011065136021091021,True,4,0.023437777260971404,51685.15430189779,0.7380102040816326,0.8333333333333334,0.5,COMPLETE
