"","1A1_ACR-173_TP1","1A10_ACR-145_TP4","1A12_ACR-237_TP3","1A2_ACR-244_TP4","1A8_ACR-186_TP2","1A9_ACR-244_TP2","1B1_ACR-225_TP3","1B10_ACR-150_TP4","1B2_ACR-173_TP3","1B5_ACR-229_TP1","1B9_ACR-265_TP4","1C10_ACR-173_TP4","1C4_ACR-139_TP4","1D10_ACR-265_TP2","1D3_ACR-225_TP4","1D4_ACR-237_TP4","1D6_ACR-229_TP2","1D8_ACR-237_TP2","1D9_ACR-229_TP4","1E1_ACR-265_TP3","1E3_ACR-150_TP2","1E5_ACR-139_TP3","1E9_ACR-237_TP1","1F11_ACR-173_TP2","1F4_ACR-150_TP3","1F8_ACR-145_TP3","1G5_ACR-244_TP3","1H11_ACR-225_TP1","1H12_ACR-186_TP3","1H6_ACR-225_TP2","1H7_ACR-229_TP3","1H8_ACR-186_TP4","2B2_ACR-145_TP1","2B3_ACR-139_TP2","2C1_ACR-244_TP1","2C2_ACR-139_TP1","2D2_ACR-150_TP1","2E2_ACR-186_TP1","2F1_ACR-265_TP1","2G1_ACR-145_TP2"
"Cluster_1819",102.85638875388,63.6137593819635,37.8829459523301,52.2020492042381,86.3439876709114,188.62359403254,22.0884917702834,16.887123666828,43.9727982624618,97.7800920740067,37.2813347485571,40.3473334400763,17.7153369866603,72.6167923842653,33.4608252028308,23.2702335746504,94.7556896551448,79.0706279903522,49.4126962933829,24.2518377033122,74.8656373793209,11.1377521260208,20.1424293460106,118.919791980253,35.9117364882118,47.6544113396588,49.5512730876696,23.3883972366022,59.4907479792865,29.0129528310913,41.6120776225278,30.8722294568464,36.5305712280643,32.800902503182,34.3272120384246,22.688847818354,21.4976151631238,56.7097564401983,35.7816064754623,42.837659452584
"Cluster_1832",1841.33103788808,558.769508084814,470.830899693246,642.017410343032,1272.54591353081,1206.08145125512,674.280275092862,264.162863073952,668.14224026574,1698.68944269745,332.549505957129,526.756853245441,373.793610418532,467.470600973708,1468.72743352426,555.080205756296,1378.08787621534,629.636482145398,822.047583789916,338.24931533567,560.857825790845,250.599422835469,305.316823771108,2063.52866311188,485.449723599578,443.393218551608,1433.85736545267,792.606795240408,791.407223118387,1058.04683303171,669.954449722697,962.552011279533,192.615739202521,853.305831296013,474.558650636467,505.961306349293,140.711662885902,498.573275370076,382.415919206503,713.039750888173
"Cluster_1833",40.3358387270117,27.5086527057139,56.2832339863191,20.3384607289239,6.16742769077938,0,31.3889093577712,7.23733871435485,36.6439985520515,69.5005556408381,8.94752033965371,6.72455557334605,23.0299380826584,0,41.5725404035171,53.3512672199302,14.5777984084838,55.6422937709886,8.9841265987969,26.8046627247135,0,0,20.1424293460106,32.4326705400689,7.69537210461682,14.5035164946788,0,25.9871080406691,19.8302493264288,23.4572810123717,9.15465707695611,46.3083441852696,0,8.68259183907758,31.9182848778334,10.8906469528099,3.90865730238615,0,0,18.6551097616092
"Cluster_1836",2353.59618972113,1841.36044048873,2216.69352315349,4230.39983161618,8224.26482565431,6304.46624289936,2353.0056496344,1946.84411416145,1926.25285721951,2647.25219865068,2972.06800615497,1983.74389413708,1900.85565866865,2070.33500787223,7466.32686003166,5786.90979334477,3933.09001060893,4716.90462283188,3422.20355692505,1544.45913794778,2161.79815054073,4159.95041906878,1510.6822009508,6374.37112239604,2035.42592167115,2125.80113193435,2243.89028234899,1376.01737075343,2949.2988998216,4152.55603605853,1793.48054553095,1791.69188812055,1051.08416306203,2818.94815042052,1224.33722937048,1327.75137433007,1238.06720053081,4085.46537021262,1467.04586549395,6091.92973215215
"Cluster_1865",204.704381539584,177.086951793034,323.628595421335,332.872807263388,111.013698434029,667.394657709251,138.34371161388,103.735188239086,167.340926721035,360.923575155525,170.00288645342,125.525037369126,131.093493701286,380.481735096723,330.552394427965,191.269968650175,260.456664898244,336.782304403352,189.415335791301,227.201426904714,282.966731111671,89.1020170081667,137.816621841125,235.1368614155,291.141577958003,109.812339173996,594.615277052035,203.998798119253,68.5044976731178,371.612714985467,180.596416881771,95.9244272409157,115.403395470476,98.4027075095459,207.167735810843,172.43524341949,91.8534466060746,16.5403456283912,76.0359137603573,223.86131713931
"Cluster_1950",416.467534856395,208.034186086962,193.74420929906,285.416398895899,230.250633789097,382.240165554176,345.278002935483,242.450846930887,304.145187982028,644.677567840878,193.862940692497,177.079963431446,90.3482186319674,302.569968267772,557.680420047181,152.675434916609,506.821458001621,201.093202049538,344.391519620548,130.194076091465,273.238427949386,100.239769134188,236.408512850546,333.786234308209,179.558682441059,209.265023708937,368.76579024192,498.952474380847,265.00424099864,411.119714585251,299.6069588822,464.186021476155,240.769674003151,316.914602126332,222.825762354686,204.199630365186,124.09986935076,148.86311065552,149.835477115998,176.187147748531
"Cluster_1951",187.561650080604,288.840853409996,300.898827849936,263.722040785047,476.947741420272,95.4213475694024,1261.36913530303,483.695470742716,223.528391167514,295.736847106187,590.536342417145,304.846519325021,0,208.016853184093,57.2889886048467,234.405035764162,139.946864721445,296.758900111939,0,0,334.146065139342,339.701439843636,343.481426742497,689.194248976464,0,275.566813398897,195.597130609222,547.028624256085,0,214.202013455078,315.41954837876,191.848854481831,83.024025518328,429.305929821058,537.792988601986,144.754849081098,0,354.435977751239,225.871390876356,598.345372353835
"Cluster_2372",1447.04821433154,711.786388760348,2618.25275024819,895.570220763616,2434.0781286276,3272.064581188,838.200135072334,749.064556935727,660.813440555329,2549.95142075351,512.991166140146,448.303704889737,508.43017151715,1562.01746118237,1921.46253816256,1618.13258344703,3060.36581255437,3447.86985261635,1638.1057498473,639.482667861021,1238.0323198264,840.900285514573,1080.27028966236,2885.15631679363,2268.21092783581,737.607410300806,1132.37698814032,1045.98109863693,1251.10845750378,1311.75584608657,1260.01371041014,1008.8603554648,512.258237448083,1833.47397668522,411.926544461096,809.53809015887,336.144528005209,659.250918617305,527.778695513068,3025.58243133654
"Cluster_2500",38.3190467906611,61.8944685878564,106.072248666524,44.0666649126685,33.9208522992866,136.474718035308,3.48765659530791,42.2178091670699,51.3015979728721,11.5035402440008,10.438773729596,15.6906296711408,3.54306739733206,28.7441469854383,5.06982200042891,30.6486003178323,22.838550839958,81.9991697677727,13.4761898981953,15.3169501284077,94.7452134065982,0,42.4051144126539,129.730682160276,41.6832655666745,29.0070329893576,40.1626108184269,3.89806620610037,5.40824981629877,12.3459373749325,4.99344931470333,8.82063698767041,30.7188894417813,5.30602834610297,31.3160530876856,3.17643869456956,16.6117935351412,0,22.3635040471639,135.422278269459
"Cluster_2746",902.514391516886,312.910924527496,278.169060278538,279.992809368186,418.357178357868,354.501401725861,287.150393013684,301.555779764785,473.929047939866,248.764057776517,220.705501711458,383.299667680725,214.355577538589,541.600243199312,527.261488044607,238.378002472029,387.283511052053,490.042657421689,223.854487753356,322.932365207262,452.57758189759,167.066281890313,361.503600367875,947.304252024513,418.115217684181,227.912402059238,343.207765175648,259.871080406691,225.343742345782,535.813682072069,367.850766183145,190.746274858373,195.936700223254,289.902094182535,154.171338277837,229.157362965375,122.145540699567,238.653558352501,190.089784400893,330.264535779599
