set,group_id,apul,peve,ptua,swissprot_accession,protein_name,evalue,source,go_terms,marker_family,subcategory,confidence,justification,reference
growth,OG_02404,FUN_009053-T1,Peve_00032043,Pocillopora_meandrina_HIv1___RNAseq.g14499.t1,Q68FD7,Folliculin-interacting protein 1,7.4e-115,GO,GO:0031929(TOR signaling),GO:TOR signaling,TOR signaling,high,Annotated with GO:0031929(TOR signaling).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_07964,FUN_035525-T1,Peve_00020841,Pocillopora_meandrina_HIv1___RNAseq.g27993.t1,Q5ZJX5,MTOR-associated protein MEAK7 (MEAK7) (TBC/LysM-associated domain-containing protein 1) (TLD domain-containing protein 1),2.8e-77,GO,GO:0031929(TOR signaling),GO:TOR signaling,TOR signaling,high,Annotated with GO:0031929(TOR signaling).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_00177,FUN_000870-T1,Peve_00002066,Pocillopora_meandrina_HIv1___RNAseq.g1813.t1,P55039,Developmentally-regulated GTP-binding protein 2 (DRG-2) (Translation factor GTPase DRG2) (TRAFAC GTPase DRG2) (EC 3.6.5.-),2.1000000000000002e-165,GO,GO:0002181(cytoplasmic translation),GO:cytoplasmic translation,cytoplasmic translation,high,Annotated with GO:0002181(cytoplasmic translation).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_09032,FUN_038632-T1,Peve_00013498,Pocillopora_meandrina_HIv1___RNAseq.g26496.t1,Q58DC5,GTP-binding protein 1,3.9e-228,GO,GO:0002181(cytoplasmic translation); GO:0006414(translational elongation),GO:cytoplasmic translation,cytoplasmic translation,high,Annotated with GO:0002181(cytoplasmic translation); GO:0006414(translational elongation).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_00401,FUN_001272-T1,Peve_00008789,Pocillopora_meandrina_HIv1___RNAseq.g2185.t1,P70445,Eukaryotic translation initiation factor 4E-binding protein 2 (4E-BP2) (eIF4E-binding protein 2) (Phosphorylated heat- and acid-stable protein regulated by insulin 2) (PHAS-II),7.5e-19,GO+curated,GO:0031929(TOR signaling),TOR pathway (growth signalling),growth signalling (TOR),high,TOR-pathway regulator linking nutrient status to ribosome biogenesis and cap-dependent translation; master controller of cell growth/anabolism.,"Saxton & Sabatini 2017, Cell 168:960-976 (mTOR signalling in growth and metabolism)"
growth,OG_00700,FUN_002432-T1,Peve_00034035,Pocillopora_meandrina_HIv1___RNAseq.g14853.t1,A4IIM3,Target of rapamycin complex 2 subunit MAPKAP1 (TORC2 subunit MAPKAP1) (Mitogen-activated protein kinase 2-associated protein 1) (Stress-activated map kinase-interacting protein 1) (SAPK-interacting protein 1),2.2e-99,curated,,TOR pathway (growth signalling),growth signalling (TOR),high,TOR-pathway regulator linking nutrient status to ribosome biogenesis and cap-dependent translation; master controller of cell growth/anabolism.,"Saxton & Sabatini 2017, Cell 168:960-976 (mTOR signalling in growth and metabolism)"
growth,OG_00872,FUN_004160-T1,Peve_00031557,Pocillopora_meandrina_HIv1___RNAseq.g16770.t1,Q6QI06,Rapamycin-insensitive companion of mTOR (AVO3 homolog) (mAVO3) (Protein pianissimo),4.7e-280,curated,,TOR pathway (growth signalling),growth signalling (TOR),high,TOR-pathway regulator linking nutrient status to ribosome biogenesis and cap-dependent translation; master controller of cell growth/anabolism.,"Saxton & Sabatini 2017, Cell 168:960-976 (mTOR signalling in growth and metabolism)"
growth,OG_02014,FUN_008187-T1,Peve_00010858,Pocillopora_meandrina_HIv1___RNAseq.g29995.t1,O75582,Ribosomal protein S6 kinase alpha-5 (S6K-alpha-5) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 5) (Nuclear mitogen- and stress-activated protein kinase 1) (RSK-like protein kinase) (RSKL),1.5e-266,curated,,TOR pathway (growth signalling),growth signalling (TOR),high,TOR-pathway regulator linking nutrient status to ribosome biogenesis and cap-dependent translation; master controller of cell growth/anabolism.,"Saxton & Sabatini 2017, Cell 168:960-976 (mTOR signalling in growth and metabolism)"
growth,OG_02998,FUN_012177-T1,Peve_00040996,Pocillopora_meandrina_HIv1___RNAseq.g23859.t1,P18654,Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2),1e-291,curated,,TOR pathway (growth signalling),growth signalling (TOR),high,TOR-pathway regulator linking nutrient status to ribosome biogenesis and cap-dependent translation; master controller of cell growth/anabolism.,"Saxton & Sabatini 2017, Cell 168:960-976 (mTOR signalling in growth and metabolism)"
growth,OG_03292,FUN_013354-T2,Peve_00041984,Pocillopora_meandrina_HIv1___RNAseq.g13178.t1,P42345,Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1) (Tyrosine-protein kinase mTOR) (EC 2.7.10.2),0.0,GO+curated,GO:0031929(TOR signaling),TOR pathway (growth signalling),growth signalling (TOR),high,TOR-pathway regulator linking nutrient status to ribosome biogenesis and cap-dependent translation; master controller of cell growth/anabolism.,"Saxton & Sabatini 2017, Cell 168:960-976 (mTOR signalling in growth and metabolism)"
