set,group_id,apul,peve,ptua,swissprot_accession,protein_name,evalue,source,go_terms,marker_family,subcategory,confidence,justification,reference
antioxidant,OG_00870,FUN_004158-T1,Peve_00031569,Pocillopora_meandrina_HIv1___RNAseq.g16773.t1,Q96SL4,Glutathione peroxidase 7 (GPx-7) (GSHPx-7) (EC 1.11.1.9) (CL683),2.7e-39,GO+curated,GO:0004601(peroxidase activity); GO:0004602(glutathione peroxidase activity),Glutathione peroxidase,ROS detoxification,high,GPx reduces peroxides using glutathione.,"Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
antioxidant,OG_02884,FUN_011934-T1,Peve_00015898,Pocillopora_meandrina_HIv1___RNAseq.g23335.t1,Q3T100,"Glutathione S-transferase 3, mitochondrial (EC 2.5.1.-) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (LTC4 synthase MGST3) (EC 4.4.1.20)",8.1e-33,GO+curated,GO:0004602(glutathione peroxidase activity),Glutathione peroxidase,ROS detoxification,high,GPx reduces peroxides using glutathione.,"Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
antioxidant,OG_03618,FUN_014803-T1,Peve_00010343,Pocillopora_meandrina_HIv1___RNAseq.g22413.t1,Q3UQ28,Peroxidasin homolog (EC 1.11.2.-) [Cleaved into: PXDN active fragment],0.0,GO+curated,GO:0004601(peroxidase activity); GO:0042744(hydrogen peroxide catabolic process),Peroxidase (other),ROS detoxification,high,Additional peroxidase scavenging activity.,"Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
antioxidant,OG_04563,FUN_022204-T1,Peve_00041452,Pocillopora_meandrina_HIv1___TS.g22213.t2,Q92626,Peroxidasin homolog (EC 1.11.2.-) (Melanoma-associated antigen MG50) (Peroxidasin 1) (hsPxd01) (Vascular peroxidase 1) (p53-responsive gene 2 protein) [Cleaved into: PXDN active fragment],2.3000000000000003e-22,GO+curated,GO:0004601(peroxidase activity); GO:0042744(hydrogen peroxide catabolic process),Peroxidase (other),ROS detoxification,high,Additional peroxidase scavenging activity.,"Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
antioxidant,OG_05750,FUN_025682-T1,Peve_00000456,Pocillopora_meandrina_HIv1___TS.g2103.t1,Q3UQ28,Peroxidasin homolog (EC 1.11.2.-) [Cleaved into: PXDN active fragment],5.6000000000000005e-126,GO+curated,GO:0004601(peroxidase activity); GO:0042744(hydrogen peroxide catabolic process),Peroxidase (other),ROS detoxification,high,Additional peroxidase scavenging activity.,"Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
antioxidant,OG_06198,FUN_028130-T1,Peve_00004260,Pocillopora_meandrina_HIv1___RNAseq.g15556.t1,A4IGL7,Peroxidasin (EC 1.11.2.-) [Cleaved into: PXDN active fragment],4.9e-14,GO+curated,GO:0042744(hydrogen peroxide catabolic process),Peroxidase (other),ROS detoxification,high,Additional peroxidase scavenging activity.,"Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
antioxidant,OG_03002,FUN_012186-T1,Peve_00027770,Pocillopora_meandrina_HIv1___RNAseq.g23458.t1,Q9Z0V5,Peroxiredoxin-4 (EC 1.11.1.24) (Antioxidant enzyme AOE372) (Peroxiredoxin IV) (Prx-IV) (Thioredoxin peroxidase AO372) (Thioredoxin-dependent peroxide reductase A0372) (Thioredoxin-dependent peroxiredoxin 4),1.3e-97,GO+curated,GO:0008379(thioredoxin peroxidase activity); GO:0042744(hydrogen peroxide catabolic process); GO:0045454(cell redox homeostasis),Peroxiredoxin,ROS detoxification,high,"Thioredoxin-linked peroxidase, abundant under oxidative stress.","Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
antioxidant,OG_10009,FUN_043244-T1,Peve_00001455,Pocillopora_meandrina_HIv1___RNAseq.g8844.t1,Q5ZJF4,Peroxiredoxin-6 (EC 1.11.1.27) (1-Cys peroxiredoxin) (1-Cys PRX) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.4) (Glutathione-dependent peroxiredoxin) (Lysophosphatidylcholine acyltransferase 5) (LPC acyltransferase 5) (LPCAT-5) (Lyso-PC acyltransferase 5) (EC 2.3.1.23) (Non-selenium glutathione peroxidase) (NSGPx),2.4e-87,GO+curated,GO:0004601(peroxidase activity); GO:0045454(cell redox homeostasis),Peroxiredoxin,ROS detoxification,high,"Thioredoxin-linked peroxidase, abundant under oxidative stress.","Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
antioxidant,OG_04744,FUN_022625-T1,Peve_00012278,Pocillopora_meandrina_HIv1___RNAseq.g4387.t1,P04179,"Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)",3e-77,GO+curated,GO:0004784(superoxide dismutase activity); GO:0006749(glutathione metabolic process),Superoxide dismutase,ROS detoxification,high,SOD dismutes superoxide to H2O2; front-line antioxidant.,"Downs et al. 2002, Free Radic Biol Med 33:533-543 (coral antioxidant bleaching biomarkers)"
antioxidant,OG_03247,FUN_012926-T1,Peve_00000427,Pocillopora_meandrina_HIv1___TS.g1951.t2a,D3ZG27,UbiA prenyltransferase domain-containing protein 1 (EC 2.5.1.-) (EC 2.5.1.39),3.7e-86,GO,GO:0016209(antioxidant activity),GO:antioxidant activity,antioxidant activity,high,Annotated with GO:0016209(antioxidant activity).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
antioxidant,OG_02085,FUN_008308-T1,Peve_00015425,Pocillopora_meandrina_HIv1___TS.g24505.t2,Q8R2E9,ERO1-like protein beta (ERO1-L-beta) (EC 1.8.4.-) (Endoplasmic reticulum oxidoreductase beta) (Endoplasmic reticulum oxidoreductin-1-like protein B) (Oxidoreductin-1-L-beta),3.2e-116,GO,GO:0045454(cell redox homeostasis),GO:cell redox homeostasis,cell redox homeostasis,high,Annotated with GO:0045454(cell redox homeostasis).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
antioxidant,OG_05766,FUN_025724-T1,Peve_00001160,Pocillopora_meandrina_HIv1___RNAseq.g10456.t1,Q5NUA6,"Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (Nuclear factor, erythroid derived 2, like 2)",1e-17,GO,GO:0045454(cell redox homeostasis),GO:cell redox homeostasis,cell redox homeostasis,high,Annotated with GO:0045454(cell redox homeostasis).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
antioxidant,OG_10268,FUN_044791-T1,Peve_00037649,Pocillopora_meandrina_HIv1___RNAseq.g13649.t1,P43138,"DNA repair nuclease/redox regulator APEX1 (EC 3.1.11.2) (EC 3.1.21.-) (APEX nuclease) (APEN) (Apurinic-apyrimidinic endonuclease 1) (AP endonuclease 1) (Redox factor-1) (REF-1) [Cleaved into: DNA repair nuclease/redox regulator APEX1, mitochondrial]",1.6e-92,GO,GO:0045454(cell redox homeostasis),GO:cell redox homeostasis,cell redox homeostasis,high,Annotated with GO:0045454(cell redox homeostasis).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
antioxidant,OG_03064,FUN_012330-T1,Peve_00023487,Pocillopora_meandrina_HIv1___RNAseq.g23754.t1,Q9Y6P5,Sestrin-1 (EC 1.11.1.-) (p53-regulated protein PA26),7.5e-119,GO,GO:0098869(cellular oxidant detoxification),GO:cellular oxidant detoxification,cellular oxidant detoxification,high,Annotated with GO:0098869(cellular oxidant detoxification).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
antioxidant,OG_02960,FUN_012106-T1,Peve_00029236,Pocillopora_meandrina_HIv1___RNAseq.g23936.t1,P78417,Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R),2.4e-45,GO+curated,GO:0006749(glutathione metabolic process),Glutathione S-transferase,conjugation/detox,high,Conjugates GSH to oxidised products.,"Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
