"Predictor_Type","N_stable","N_unique_predictors","N_genes_affected","Mean_Selection_Prob"
"Other",574,511,145,0.762212543554007
"lncRNA",5249,3057,195,0.809316060201943
"miRNA",7,6,7,0.73
