"Gene","N_stable","Top_predictor","Max_Selection_Prob","Mean_Selection_Prob"
"OG_00807",56,"lncRNA_6555",1,0.795535714285714
"OG_04799",54,"lncRNA_14781",1,0.822962962962963
"OG_01727",53,"lncRNA_8401",1,0.824811320754717
"OG_12331",53,"lncRNA_081",1,0.818962264150943
"OG_01486",52,"lncRNA_2251",1,0.827211538461538
"OG_04238",52,"lncRNA_4541",1,0.787596153846154
"OG_10008",50,"lncRNA_19920",1,0.7866
"OG_10183",50,"lncRNA_776",1,0.8782
"OG_12107",48,"lncRNA_8634",0.995,0.838125
"OG_05718",45,"lncRNA_4253",1,0.836333333333333
"OG_09969",45,"lncRNA_7791",1,0.812
"OG_10007",45,"lncRNA_6982",0.99,0.809
"OG_01354",44,"lncRNA_3901",0.995,0.795113636363636
"OG_02190",44,"lncRNA_7063",1,0.817159090909091
"OG_12166",44,"lncRNA_1392",1,0.869318181818182
"OG_00572",43,"lncRNA_16867",1,0.786279069767442
"OG_02090",43,"lncRNA_15891",0.995,0.814186046511628
"OG_13239",43,"lncRNA_23586",1,0.822209302325581
"OG_07331",42,"lncRNA_9814",1,0.815
"OG_09597",42,"lncRNA_1098",1,0.82452380952381
"OG_10002",42,"lncRNA_3543",1,0.817857142857143
"OG_10509",42,"gene-Peve_00016537",1,0.806190476190476
"OG_11245",42,"lncRNA_2891",1,0.810238095238095
"OG_13201",42,"lncRNA_2775",1,0.81547619047619
"OG_12568",41,"lncRNA_6019",1,0.86609756097561
"OG_02000",40,"lncRNA_11468",1,0.804375
"OG_04560",39,"lncRNA_2424",1,0.849358974358974
"OG_07892",39,"lncRNA_10638",1,0.818846153846154
"OG_11984",39,"lncRNA_16099",1,0.796794871794872
"OG_12518",39,"lncRNA_11001",1,0.840641025641026
"OG_13016",39,"lncRNA_14559",0.99,0.776025641025641
"OG_13481",39,"lncRNA_23169",0.99,0.831282051282051
"OG_13484",39,"lncRNA_4437",1,0.838333333333333
"OG_01117",38,"lncRNA_219",1,0.760263157894737
"OG_01630",38,"lncRNA_17857",1,0.788815789473684
"OG_04209",38,"lncRNA_8284",0.965,0.782105263157895
"OG_04547",38,"lncRNA_18468",0.995,0.807368421052632
"OG_06599",38,"lncRNA_20200",0.985,0.773421052631579
"OG_06998",38,"lncRNA_5308",1,0.821842105263158
"OG_09310",38,"lncRNA_1737",1,0.761578947368421
"OG_01121",37,"lncRNA_9406",1,0.781891891891892
"OG_01608",37,"lncRNA_11271",0.99,0.80972972972973
"OG_06279",37,"lncRNA_1258",1,0.834324324324324
"OG_08347",37,"lncRNA_2137",0.995,0.793108108108108
"OG_10675",37,"lncRNA_212",1,0.789324324324324
"OG_13466",37,"lncRNA_11142",1,0.832702702702703
"OG_00430",36,"lncRNA_9634",1,0.889722222222222
"OG_02102",36,"lncRNA_2576",1,0.757361111111111
"OG_05874",36,"lncRNA_4148",1,0.854444444444444
"OG_13197",36,"lncRNA_16862",0.97,0.779444444444444
"OG_13334",36,"lncRNA_2290",1,0.801527777777778
"OG_08432",35,"lncRNA_5983",0.965,0.795571428571429
"OG_10332",35,"lncRNA_4148",1,0.851285714285714
"OG_11813",35,"lncRNA_3500",1,0.809
"OG_16489",35,"lncRNA_15682",1,0.819714285714286
"OG_01155",34,"lncRNA_20366",0.995,0.746176470588235
"OG_02184",34,"lncRNA_20481",1,0.801764705882353
"OG_06198",34,"lncRNA_8113",0.99,0.814411764705882
"OG_09806",34,"lncRNA_14818",1,0.826911764705882
"OG_12108",34,"lncRNA_4148",1,0.821911764705882
"OG_12496",34,"lncRNA_23255",0.965,0.775147058823529
"OG_17106",34,"lncRNA_17295",1,0.7825
"OG_02012",33,"lncRNA_11372",1,0.816969696969697
"OG_05875",33,"lncRNA_4148",1,0.819393939393939
"OG_06152",33,"lncRNA_18055",0.98,0.780909090909091
"OG_06607",33,"lncRNA_18490",1,0.82469696969697
"OG_09423",33,"lncRNA_2249",1,0.826212121212121
"OG_01353",32,"lncRNA_14939",0.995,0.794375
"OG_10205",32,"lncRNA_8263",0.995,0.74828125
"OG_11957",32,"lncRNA_19235",0.98,0.77921875
"OG_12165",32,"lncRNA_20829",1,0.8303125
"OG_02358",31,"lncRNA_3544",1,0.783870967741935
"OG_05367",31,"lncRNA_7523",0.975,0.779193548387097
"OG_06181",31,"lncRNA_14207",1,0.814516129032258
"OG_08842",31,"lncRNA_3192",1,0.82758064516129
"OG_08856",31,"lncRNA_717",0.985,0.784838709677419
"OG_08920",31,"lncRNA_1389",0.995,0.77241935483871
"OG_12447",31,"lncRNA_15651",0.99,0.792258064516129
"OG_12880",31,"lncRNA_9149",0.99,0.794032258064516
"OG_13013",31,"lncRNA_15984",1,0.807741935483871
"OG_13066",31,"lncRNA_17857",0.995,0.75258064516129
"OG_16944",31,"lncRNA_11372",0.995,0.761129032258064
"OG_16980",31,"lncRNA_4493",1,0.840806451612903
"OG_17751",31,"lncRNA_3855",1,0.793870967741935
"OG_00843",30,"lncRNA_7376",1,0.816166666666667
"OG_05366",30,"lncRNA_4337",1,0.805166666666667
"OG_05856",30,"lncRNA_1444",1,0.774
"OG_16592",30,"lncRNA_8056",1,0.780333333333333
"OG_16654",30,"lncRNA_1331",0.995,0.749333333333333
"OG_16665",30,"lncRNA_9212",1,0.832333333333333
"OG_03330",29,"lncRNA_775",1,0.770689655172414
"OG_05713",29,"lncRNA_8407",1,0.813275862068966
"OG_08528",29,"lncRNA_16510",1,0.786379310344828
"OG_09896",29,"lncRNA_8886",1,0.893793103448276
"OG_11642",29,"lncRNA_23773",0.92,0.75948275862069
"OG_12109",29,"lncRNA_13402",0.99,0.758103448275862
"OG_12242",29,"lncRNA_8874",1,0.85
"OG_17483",29,"lncRNA_15573",1,0.819137931034483
"OG_17556",29,"lncRNA_11431",0.99,0.770344827586207
