,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Species,Sample_ID
apul_ACR.139,-0.2856309590130612,0.3265287723902664,0.03549526259682359,0.02642802439049487,-0.22710730321166323,0.05561729187264668,-0.026621211357661465,0.12761384908544032,0.11096194710497802,0.2259909423765728,apul,ACR.139
apul_ACR.145,-0.1349864005705105,0.08338525436642938,0.024246210242872504,0.005333526954081085,-0.23738215160650125,0.05599695042757381,0.015559552791241412,0.28327691425461404,0.2640874783855886,0.10338020968600667,apul,ACR.145
apul_ACR.150,-0.12380033388340003,0.04153738722745964,0.06658413244079367,-0.11009026025444382,-0.16230949116332036,0.06556359953317467,0.15946063835668897,0.3184564061709194,0.3076765824283648,-0.11667120735100882,apul,ACR.150
apul_ACR.173,-0.1292676835309831,0.09651136014715507,0.12697927261451122,0.1239692513931109,-0.1639440937383609,-0.07084566651676895,0.08059006374034886,0.2870759598351783,0.22177432564155056,0.1517686510591698,apul,ACR.173
apul_ACR.186,-0.19469214190625428,0.1991838482526607,0.03240831561641088,-0.14039765182623523,-0.35288999755924416,0.15240423878616569,0.2026397580309713,0.3189835042717499,0.27794684226723054,-0.078083533133756,apul,ACR.186
apul_ACR.225,0.01488235185753541,-0.2268954903217564,0.05758388323154622,0.0340244196620071,-0.0458420313271648,-0.04696990190606055,-0.058095536892382935,0.362957700263681,0.3964010765843011,0.08839321715595215,apul,ACR.225
apul_ACR.229,0.029573759567910345,-0.24843012351807933,0.05364763088195667,0.020922917781418172,0.051292506673034734,-0.08031364589186137,-0.1825162195412603,0.26349880669635223,0.34301588013237316,0.14197220034711933,apul,ACR.229
apul_ACR.237,0.054943835688957346,-0.25860084801628896,0.061842874954341015,-0.01645925389413333,0.003018269785457515,-0.045667008026311,-0.031240723726042665,0.3260051014971629,0.35635423691865203,-0.008632846239641842,apul,ACR.237
apul_ACR.244,0.08891627311567751,-0.34307542552536,0.05872717850018359,0.05433713889882422,0.06150976157114591,-0.08431431587531892,-0.0364355930008717,0.33440887171255174,0.36465360796402,0.033710641855970565,apul,ACR.244
apul_ACR.265,0.03429644857114378,-0.18964013813964567,0.08937623910324634,-0.023809115692675558,-0.05730325377728205,-0.04218226629347022,0.03535475124872569,0.3314140705376818,0.34450627601475786,-0.03799488899697031,apul,ACR.265
