species,total_rows,cpg_total,lncrna_total,mirna_total,cpg_mean,lncrna_mean,mirna_mean,cpg_rows_with_occurrence,lncrna_rows_with_occurrence,mirna_rows_with_occurrence
species_1,25,25,25,25,1.0,1.0,1.0,25,25,25
species_2,25,30,25,20,1.2,1.0,0.8,25,25,20
species_3,25,25,25,25,1.0,1.0,1.0,25,25,25
