gene,n_regulators,r2_base_model,r2_full_model,improvement_from_regulators,has_significant_interactions,interaction_p_value,regulator_types
FUN_001503,57,0.13785055171756977,1,0.8621494482824302,FALSE,1,"['mirna_Cluster_11565', 'mirna_Cluster_16354', 'lncrna_lncRNA_46434', 'lncrna_lncRNA_20384', 'lncrna_lncRNA_53992', 'lncrna_lncRNA_46435', 'lncrna_lncRNA_53993', 'lncrna_lncRNA_36534', 'lncrna_lncRNA_27124', 'lncrna_lncRNA_54409', 'lncrna_lncRNA_41165', 'lncrna_lncRNA_8536', 'lncrna_lncRNA_8537', 'lncrna_lncRNA_8538', 'lncrna_lncRNA_9304', 'lncrna_lncRNA_41604', 'lncrna_lncRNA_453', 'lncrna_lncRNA_455', 'lncrna_lncRNA_452', 'lncrna_lncRNA_8541', 'lncrna_lncRNA_8540', 'lncrna_lncRNA_971', 'lncrna_lncRNA_7548', 'lncrna_lncRNA_38139', 'lncrna_lncRNA_8539', 'lncrna_lncRNA_18547', 'lncrna_lncRNA_7547', 'lncrna_lncRNA_2535', 'lncrna_lncRNA_48775', 'lncrna_lncRNA_48776', 'lncrna_lncRNA_8519', 'lncrna_lncRNA_9250', 'methylation_CpG_ptg000021l_3927442', 'methylation_CpG_ptg000026l_13944041', 'methylation_CpG_ptg000026l_4411703', 'methylation_CpG_ptg000002l_6524951', 'methylation_CpG_ntLink_6_11749084', 'methylation_CpG_ptg000015l_4188073', 'methylation_CpG_ptg000011l_9521767', 'methylation_CpG_ptg000020l_8003031', 'methylation_CpG_ptg000002l_6525031', 'methylation_CpG_ptg000047l_3020999', 'methylation_CpG_ptg000020l_7937927', 'methylation_CpG_ptg000004l_7865487', 'methylation_CpG_ptg000001l_20455436', 'methylation_CpG_ptg000021l_14106610', 'methylation_CpG_ptg000023l_36118375', 'methylation_CpG_ptg000011l_9521777', 'methylation_CpG_ptg000011l_9521754', 'methylation_CpG_ptg000036l_3272856', 'methylation_CpG_ptg000011l_86826', 'methylation_CpG_ptg000024l_4280409', 'methylation_CpG_ptg000002l_6524940', 'methylation_CpG_ptg000059l_441013', 'methylation_CpG_ptg000025l_15763067', 'methylation_CpG_ptg000017l_4975973', 'methylation_CpG_ptg000021l_14106628']"
FUN_001545,59,0.12328541905145474,1,0.8767145809485453,FALSE,1,"['mirna_Cluster_9706', 'mirna_Cluster_13647', 'mirna_Cluster_4752', 'mirna_Cluster_11565', 'lncrna_lncRNA_456', 'lncrna_lncRNA_452', 'lncrna_lncRNA_453', 'lncrna_lncRNA_455', 'lncrna_lncRNA_1218', 'lncrna_lncRNA_146', 'lncrna_lncRNA_912', 'lncrna_lncRNA_8536', 'lncrna_lncRNA_8537', 'lncrna_lncRNA_8538', 'lncrna_lncRNA_46434', 'lncrna_lncRNA_8540', 'lncrna_lncRNA_8539', 'lncrna_lncRNA_8541', 'lncrna_lncRNA_10064', 'lncrna_lncRNA_18437', 'lncrna_lncRNA_46435', 'lncrna_lncRNA_971', 'lncrna_lncRNA_8542', 'lncrna_lncRNA_8519', 'lncrna_lncRNA_53992', 'lncrna_lncRNA_53993', 'lncrna_lncRNA_21222', 'lncrna_lncRNA_19839', 'lncrna_lncRNA_20384', 'lncrna_lncRNA_36602', 'lncrna_lncRNA_4297', 'lncrna_lncRNA_18547', 'lncrna_lncRNA_18455', 'lncrna_lncRNA_14558', 'methylation_CpG_ptg000017l_5029346', 'methylation_CpG_ptg000002l_2790558', 'methylation_CpG_ptg000011l_7177655', 'methylation_CpG_ptg000026l_8827443', 'methylation_CpG_ptg000026l_4411703', 'methylation_CpG_ptg000025l_18119303', 'methylation_CpG_ptg000009l_8650507', 'methylation_CpG_ptg000025l_15763067', 'methylation_CpG_ptg000020l_10077497', 'methylation_CpG_ptg000035l_1125252', 'methylation_CpG_ptg000023l_36118375', 'methylation_CpG_ptg000008l_28024624', 'methylation_CpG_ptg000004l_13902371', 'methylation_CpG_ntLink_6_6551362', 'methylation_CpG_ptg000011l_9521767', 'methylation_CpG_ptg000020l_7937927', 'methylation_CpG_ptg000020l_1632005', 'methylation_CpG_ptg000026l_13944041', 'methylation_CpG_ptg000025l_1034158', 'methylation_CpG_ptg000002l_7622991', 'methylation_CpG_ptg000015l_4188073', 'methylation_CpG_ptg000011l_9521777', 'methylation_CpG_ptg000011l_7177668', 'methylation_CpG_ptg000017l_9235765', 'methylation_CpG_ptg000011l_9521754']"
FUN_001462,70,0.1769688857621049,1,0.8230311142378951,FALSE,1,"['mirna_Cluster_13647', 'mirna_Cluster_14532', 'mirna_Cluster_16354', 'mirna_Cluster_17245', 'mirna_Cluster_15097', 'mirna_Cluster_3301', 'mirna_Cluster_2372', 'mirna_Cluster_5516', 'mirna_Cluster_1951', 'mirna_Cluster_1865', 'mirna_Cluster_4036', 'mirna_Cluster_9420', 'mirna_Cluster_17623', 'mirna_Cluster_10452', 'mirna_Cluster_2500', 'lncrna_lncRNA_17967', 'lncrna_lncRNA_26927', 'lncrna_lncRNA_2970', 'lncrna_lncRNA_8708', 'lncrna_lncRNA_8706', 'lncrna_lncRNA_14835', 'lncrna_lncRNA_4623', 'lncrna_lncRNA_3035', 'lncrna_lncRNA_31119', 'lncrna_lncRNA_25952', 'lncrna_lncRNA_1108', 'lncrna_lncRNA_17857', 'lncrna_lncRNA_4622', 'lncrna_lncRNA_4188', 'lncrna_lncRNA_17993', 'lncrna_lncRNA_51062', 'lncrna_lncRNA_18508', 'lncrna_lncRNA_8682', 'lncrna_lncRNA_873', 'lncrna_lncRNA_4104', 'lncrna_lncRNA_13659', 'lncrna_lncRNA_51246', 'lncrna_lncRNA_34908', 'lncrna_lncRNA_28455', 'lncrna_lncRNA_46113', 'lncrna_lncRNA_15381', 'lncrna_lncRNA_25969', 'lncrna_lncRNA_41454', 'lncrna_lncRNA_27784', 'lncrna_lncRNA_20374', 'methylation_CpG_ptg000002l_4656069', 'methylation_CpG_ptg000047l_5462797', 'methylation_CpG_ptg000015l_9451389', 'methylation_CpG_ptg000002l_4656074', 'methylation_CpG_ptg000020l_4439327', 'methylation_CpG_ntLink_6_15838612', 'methylation_CpG_ptg000027l_7605780', 'methylation_CpG_ptg000020l_14224559', 'methylation_CpG_ptg000009l_8419213', 'methylation_CpG_ptg000026l_13355677', 'methylation_CpG_ptg000020l_12173390', 'methylation_CpG_ntLink_8_20667078', 'methylation_CpG_ptg000002l_4656059', 'methylation_CpG_ptg000004l_193846', 'methylation_CpG_ptg000047l_7103966', 'methylation_CpG_ptg000047l_5462688', 'methylation_CpG_ptg000007l_8414342', 'methylation_CpG_ntLink_8_20667091', 'methylation_CpG_ptg000027l_4920405', 'methylation_CpG_ntLink_1_126095', 'methylation_CpG_ptg000027l_4920376', 'methylation_CpG_ptg000020l_14623100', 'methylation_CpG_ptg000016l_11604939', 'methylation_CpG_ptg000012l_5394684', 'methylation_CpG_ptg000009l_8419215']"
FUN_001472,55,0.4833070174661017,1,0.5166929825338983,FALSE,1,"['lncrna_lncRNA_44692', 'lncrna_lncRNA_46244', 'lncrna_lncRNA_31120', 'lncrna_lncRNA_45380', 'lncrna_lncRNA_45379', 'lncrna_lncRNA_26986', 'lncrna_lncRNA_26987', 'lncrna_lncRNA_52181', 'lncrna_lncRNA_52182', 'lncrna_lncRNA_17901', 'lncrna_lncRNA_17926', 'lncrna_lncRNA_36723', 'lncrna_lncRNA_1209', 'lncrna_lncRNA_51292', 'lncrna_lncRNA_14836', 'lncrna_lncRNA_51288', 'lncrna_lncRNA_54047', 'lncrna_lncRNA_19791', 'lncrna_lncRNA_43080', 'lncrna_lncRNA_51287', 'lncrna_lncRNA_38569', 'lncrna_lncRNA_275', 'lncrna_lncRNA_274', 'lncrna_lncRNA_132', 'lncrna_lncRNA_41571', 'lncrna_lncRNA_14837', 'lncrna_lncRNA_51285', 'lncrna_lncRNA_8796', 'lncrna_lncRNA_1245', 'lncrna_lncRNA_48903', 'methylation_CpG_ptg000007l_3836582', 'methylation_CpG_ptg000002l_2668172', 'methylation_CpG_ntLink_8_33753111', 'methylation_CpG_ntLink_6_12991747', 'methylation_CpG_ntLink_6_12991738', 'methylation_CpG_ptg000007l_3836594', 'methylation_CpG_ntLink_8_33753105', 'methylation_CpG_ptg000004l_101175', 'methylation_CpG_ntLink_8_30062503', 'methylation_CpG_ptg000007l_6510299', 'methylation_CpG_ptg000007l_3836603', 'methylation_CpG_ntLink_8_33753100', 'methylation_CpG_ptg000004l_5260587', 'methylation_CpG_ntLink_8_15005119', 'methylation_CpG_ptg000007l_6510239', 'methylation_CpG_ptg000026l_4068572', 'methylation_CpG_ptg000015l_10232566', 'methylation_CpG_ptg000007l_3836549', 'methylation_CpG_ptg000018l_9021387', 'methylation_CpG_ptg000021l_11634037', 'methylation_CpG_ptg000004l_3078857', 'methylation_CpG_ptg000015l_9917019', 'methylation_CpG_ptg000018l_1844717', 'methylation_CpG_ntLink_8_15005134', 'methylation_CpG_ptg000025l_5647468']"
FUN_008245,70,0.3371034228352737,1,0.6628965771647263,FALSE,1,"['mirna_Cluster_16354', 'mirna_Cluster_13647', 'mirna_Cluster_1951', 'mirna_Cluster_2372', 'mirna_Cluster_4036', 'mirna_Cluster_5516', 'mirna_Cluster_17245', 'mirna_Cluster_3301', 'mirna_Cluster_1836', 'mirna_Cluster_13327', 'mirna_Cluster_14532', 'mirna_Cluster_9420', 'mirna_Cluster_4034', 'mirna_Cluster_10452', 'mirna_Cluster_9512', 'lncrna_lncRNA_25952', 'lncrna_lncRNA_1826', 'lncrna_lncRNA_13378', 'lncrna_lncRNA_9195', 'lncrna_lncRNA_21162', 'lncrna_lncRNA_30623', 'lncrna_lncRNA_21163', 'lncrna_lncRNA_36614', 'lncrna_lncRNA_13659', 'lncrna_lncRNA_17967', 'lncrna_lncRNA_42474', 'lncrna_lncRNA_15881', 'lncrna_lncRNA_15381', 'lncrna_lncRNA_31098', 'lncrna_lncRNA_25971', 'lncrna_lncRNA_52605', 'lncrna_lncRNA_52606', 'lncrna_lncRNA_52608', 'lncrna_lncRNA_51236', 'lncrna_lncRNA_51235', 'lncrna_lncRNA_14797', 'lncrna_lncRNA_1108', 'lncrna_lncRNA_51246', 'lncrna_lncRNA_2925', 'lncrna_lncRNA_14798', 'lncrna_lncRNA_30242', 'lncrna_lncRNA_2924', 'lncrna_lncRNA_14828', 'lncrna_lncRNA_52607', 'lncrna_lncRNA_52604', 'methylation_CpG_ntLink_8_25157622', 'methylation_CpG_ntLink_8_19214955', 'methylation_CpG_ptg000023l_25098602', 'methylation_CpG_ptg000030l_2091486', 'methylation_CpG_ptg000023l_3320851', 'methylation_CpG_ntLink_8_14716148', 'methylation_CpG_ptg000017l_6715522', 'methylation_CpG_ptg000008l_8762139', 'methylation_CpG_ptg000018l_13690980', 'methylation_CpG_ptg000009l_2274051', 'methylation_CpG_ptg000004l_102310', 'methylation_CpG_ptg000026l_4053733', 'methylation_CpG_ptg000001l_14558379', 'methylation_CpG_ptg000004l_13995821', 'methylation_CpG_ptg000002l_1475416', 'methylation_CpG_ptg000023l_15489185', 'methylation_CpG_ptg000011l_8235154', 'methylation_CpG_ptg000026l_1271801', 'methylation_CpG_ptg000024l_10214561', 'methylation_CpG_ptg000047l_7816015', 'methylation_CpG_ntLink_8_14716159', 'methylation_CpG_ntLink_6_15262739', 'methylation_CpG_ptg000017l_5055634', 'methylation_CpG_ptg000024l_10054868', 'methylation_CpG_ptg000012l_5394684']"
FUN_008308,70,0.3712619276900133,1,0.6287380723099867,FALSE,1,"['mirna_Cluster_16354', 'mirna_Cluster_14532', 'mirna_Cluster_3301', 'mirna_Cluster_5516', 'mirna_Cluster_15097', 'mirna_Cluster_9420', 'mirna_Cluster_2746', 'mirna_Cluster_2372', 'mirna_Cluster_13327', 'mirna_Cluster_17245', 'mirna_Cluster_4036', 'mirna_Cluster_14605', 'mirna_Cluster_1819', 'mirna_Cluster_2500', 'mirna_Cluster_10452', 'lncrna_lncRNA_15381', 'lncrna_lncRNA_1108', 'lncrna_lncRNA_872', 'lncrna_lncRNA_17993', 'lncrna_lncRNA_51246', 'lncrna_lncRNA_18508', 'lncrna_lncRNA_18392', 'lncrna_lncRNA_30241', 'lncrna_lncRNA_35024', 'lncrna_lncRNA_25410', 'lncrna_lncRNA_25409', 'lncrna_lncRNA_36666', 'lncrna_lncRNA_1129', 'lncrna_lncRNA_31098', 'lncrna_lncRNA_3035', 'lncrna_lncRNA_10355', 'lncrna_lncRNA_34908', 'lncrna_lncRNA_51248', 'lncrna_lncRNA_10352', 'lncrna_lncRNA_10353', 'lncrna_lncRNA_10354', 'lncrna_lncRNA_18420', 'lncrna_lncRNA_344', 'lncrna_lncRNA_345', 'lncrna_lncRNA_1123', 'lncrna_lncRNA_2770', 'lncrna_lncRNA_15026', 'lncrna_lncRNA_10198', 'lncrna_lncRNA_2970', 'lncrna_lncRNA_53546', 'methylation_CpG_ptg000026l_10340767', 'methylation_CpG_ptg000022l_9886152', 'methylation_CpG_ptg000022l_9886155', 'methylation_CpG_ptg000017l_5225531', 'methylation_CpG_ptg000016l_5928051', 'methylation_CpG_ptg000002l_4656069', 'methylation_CpG_ptg000002l_8742176', 'methylation_CpG_ptg000024l_3989836', 'methylation_CpG_ptg000002l_4656059', 'methylation_CpG_ptg000020l_15080829', 'methylation_CpG_ptg000004l_14590699', 'methylation_CpG_ptg000020l_16600226', 'methylation_CpG_ptg000018l_6968923', 'methylation_CpG_ptg000012l_3158600', 'methylation_CpG_ptg000010l_1056458', 'methylation_CpG_ptg000020l_14623100', 'methylation_CpG_ntLink_8_19223262', 'methylation_CpG_ptg000031l_5731452', 'methylation_CpG_ptg000023l_14370631', 'methylation_CpG_ptg000008l_33405472', 'methylation_CpG_ptg000002l_13999986', 'methylation_CpG_ptg000022l_9886192', 'methylation_CpG_ptg000002l_4656074', 'methylation_CpG_ptg000049l_2321206', 'methylation_CpG_ptg000004l_13995821']"
FUN_011416,70,0.5674146639854831,1,0.4325853360145169,FALSE,1,"['mirna_Cluster_14532', 'mirna_Cluster_16354', 'mirna_Cluster_15097', 'mirna_Cluster_17245', 'mirna_Cluster_2372', 'mirna_Cluster_3301', 'mirna_Cluster_5516', 'mirna_Cluster_9420', 'mirna_Cluster_14605', 'mirna_Cluster_17623', 'mirna_Cluster_1819', 'mirna_Cluster_1865', 'mirna_Cluster_14610', 'mirna_Cluster_2746', 'mirna_Cluster_4036', 'lncrna_lncRNA_18392', 'lncrna_lncRNA_4159', 'lncrna_lncRNA_35024', 'lncrna_lncRNA_8596', 'lncrna_lncRNA_17862', 'lncrna_lncRNA_17863', 'lncrna_lncRNA_17861', 'lncrna_lncRNA_17864', 'lncrna_lncRNA_17865', 'lncrna_lncRNA_18557', 'lncrna_lncRNA_909', 'lncrna_lncRNA_910', 'lncrna_lncRNA_283', 'lncrna_lncRNA_18419', 'lncrna_lncRNA_12187', 'lncrna_lncRNA_15381', 'lncrna_lncRNA_18181', 'lncrna_lncRNA_6168', 'lncrna_lncRNA_53546', 'lncrna_lncRNA_25410', 'lncrna_lncRNA_25409', 'lncrna_lncRNA_4113', 'lncrna_lncRNA_10355', 'lncrna_lncRNA_18508', 'lncrna_lncRNA_10352', 'lncrna_lncRNA_10353', 'lncrna_lncRNA_10354', 'lncrna_lncRNA_4114', 'lncrna_lncRNA_27802', 'lncrna_lncRNA_30058', 'methylation_CpG_ptg000002l_13999986', 'methylation_CpG_ptg000012l_3158600', 'methylation_CpG_ptg000015l_9509367', 'methylation_CpG_ptg000016l_5928051', 'methylation_CpG_ptg000027l_4256141', 'methylation_CpG_ptg000009l_1702365', 'methylation_CpG_ptg000002l_4656069', 'methylation_CpG_ptg000007l_3278940', 'methylation_CpG_ptg000012l_1003528', 'methylation_CpG_ptg000020l_14224559', 'methylation_CpG_ptg000036l_4258040', 'methylation_CpG_ptg000020l_16600226', 'methylation_CpG_ptg000011l_6034383', 'methylation_CpG_ptg000002l_1805158', 'methylation_CpG_ptg000015l_9123006', 'methylation_CpG_ptg000047l_10028701', 'methylation_CpG_ptg000024l_835249', 'methylation_CpG_ptg000020l_14622816', 'methylation_CpG_ptg000027l_7605780', 'methylation_CpG_ptg000004l_193846', 'methylation_CpG_ptg000027l_4256133', 'methylation_CpG_ptg000024l_3989836', 'methylation_CpG_ptg000047l_10028722', 'methylation_CpG_ptg000022l_9886192', 'methylation_CpG_ptg000027l_4256136']"
FUN_012105,70,0.5446362965079528,1,0.4553637034920472,FALSE,1,"['mirna_Cluster_17623', 'mirna_Cluster_3109', 'mirna_Cluster_14532', 'mirna_Cluster_1819', 'mirna_Cluster_2372', 'mirna_Cluster_1865', 'mirna_Cluster_2500', 'mirna_Cluster_17245', 'mirna_Cluster_5516', 'mirna_Cluster_16354', 'mirna_Cluster_14605', 'mirna_Cluster_15097', 'mirna_Cluster_14692', 'mirna_Cluster_9420', 'mirna_Cluster_14610', 'lncrna_lncRNA_138', 'lncrna_lncRNA_54434', 'lncrna_lncRNA_42955', 'lncrna_lncRNA_8980', 'lncrna_lncRNA_8463', 'lncrna_lncRNA_8465', 'lncrna_lncRNA_8462', 'lncrna_lncRNA_8460', 'lncrna_lncRNA_8452', 'lncrna_lncRNA_8455', 'lncrna_lncRNA_8444', 'lncrna_lncRNA_31017', 'lncrna_lncRNA_20152', 'lncrna_lncRNA_20153', 'lncrna_lncRNA_8437', 'lncrna_lncRNA_8439', 'lncrna_lncRNA_48784', 'lncrna_lncRNA_20151', 'lncrna_lncRNA_20150', 'lncrna_lncRNA_20154', 'lncrna_lncRNA_33354', 'lncrna_lncRNA_26751', 'lncrna_lncRNA_30058', 'lncrna_lncRNA_54176', 'lncrna_lncRNA_46604', 'lncrna_lncRNA_909', 'lncrna_lncRNA_16014', 'lncrna_lncRNA_38384', 'lncrna_lncRNA_910', 'lncrna_lncRNA_586', 'methylation_CpG_ptg000022l_9450066', 'methylation_CpG_ptg000035l_6969068', 'methylation_CpG_ptg000017l_5711777', 'methylation_CpG_ptg000019l_4953321', 'methylation_CpG_ptg000020l_4277832', 'methylation_CpG_ptg000024l_4149013', 'methylation_CpG_ptg000027l_15530119', 'methylation_CpG_ptg000024l_4149004', 'methylation_CpG_ptg000008l_4719122', 'methylation_CpG_ptg000002l_5169721', 'methylation_CpG_ptg000004l_5341011', 'methylation_CpG_ptg000008l_31685994', 'methylation_CpG_ptg000021l_9999090', 'methylation_CpG_ntLink_8_34514389', 'methylation_CpG_ptg000015l_10466273', 'methylation_CpG_ntLink_8_27400669', 'methylation_CpG_ptg000023l_7964434', 'methylation_CpG_ptg000002l_3104748', 'methylation_CpG_ntLink_8_37167860', 'methylation_CpG_ptg000021l_3453337', 'methylation_CpG_ptg000011l_11807297', 'methylation_CpG_ptg000008l_3637464', 'methylation_CpG_ntLink_8_8302888', 'methylation_CpG_ptg000049l_2148264', 'methylation_CpG_ptg000007l_9140394']"
FUN_014626,70,0.6091853763895183,1,0.3908146236104817,FALSE,1,"['mirna_Cluster_14532', 'mirna_Cluster_16354', 'mirna_Cluster_15097', 'mirna_Cluster_17245', 'mirna_Cluster_3301', 'mirna_Cluster_1819', 'mirna_Cluster_5516', 'mirna_Cluster_2372', 'mirna_Cluster_17623', 'mirna_Cluster_14605', 'mirna_Cluster_2500', 'mirna_Cluster_3109', 'mirna_Cluster_1865', 'mirna_Cluster_14610', 'mirna_Cluster_9420', 'lncrna_lncRNA_17861', 'lncrna_lncRNA_17862', 'lncrna_lncRNA_17863', 'lncrna_lncRNA_17864', 'lncrna_lncRNA_17865', 'lncrna_lncRNA_18181', 'lncrna_lncRNA_30058', 'lncrna_lncRNA_18399', 'lncrna_lncRNA_18419', 'lncrna_lncRNA_18392', 'lncrna_lncRNA_909', 'lncrna_lncRNA_910', 'lncrna_lncRNA_283', 'lncrna_lncRNA_48784', 'lncrna_lncRNA_18557', 'lncrna_lncRNA_4159', 'lncrna_lncRNA_42568', 'lncrna_lncRNA_41396', 'lncrna_lncRNA_33354', 'lncrna_lncRNA_42955', 'lncrna_lncRNA_853', 'lncrna_lncRNA_12187', 'lncrna_lncRNA_8596', 'lncrna_lncRNA_854', 'lncrna_lncRNA_53546', 'lncrna_lncRNA_8437', 'lncrna_lncRNA_8439', 'lncrna_lncRNA_35024', 'lncrna_lncRNA_4249', 'lncrna_lncRNA_8444', 'methylation_CpG_ptg000015l_9123006', 'methylation_CpG_ptg000015l_9509367', 'methylation_CpG_ptg000020l_16600226', 'methylation_CpG_ptg000024l_3989836', 'methylation_CpG_ptg000008l_10047646', 'methylation_CpG_ptg000002l_4656069', 'methylation_CpG_ptg000012l_3158600', 'methylation_CpG_ptg000023l_7964434', 'methylation_CpG_ptg000016l_5928051', 'methylation_CpG_ptg000027l_4256141', 'methylation_CpG_ptg000002l_2084449', 'methylation_CpG_ptg000149l_72899', 'methylation_CpG_ptg000047l_10028701', 'methylation_CpG_ptg000018l_13836905', 'methylation_CpG_ntLink_8_15050135', 'methylation_CpG_ptg000008l_19740590', 'methylation_CpG_ptg000047l_10028722', 'methylation_CpG_ptg000020l_15080829', 'methylation_CpG_ptg000026l_1767896', 'methylation_CpG_ptg000024l_835249', 'methylation_CpG_ptg000047l_5132540', 'methylation_CpG_ptg000019l_4953321', 'methylation_CpG_ptg000015l_9571992', 'methylation_CpG_ptg000012l_1514954', 'methylation_CpG_ntLink_8_14938288']"
FUN_014755,70,0.42444729612857024,1,0.5755527038714298,FALSE,1,"['mirna_Cluster_14532', 'mirna_Cluster_16354', 'mirna_Cluster_15097', 'mirna_Cluster_3301', 'mirna_Cluster_17245', 'mirna_Cluster_2372', 'mirna_Cluster_5516', 'mirna_Cluster_9420', 'mirna_Cluster_14605', 'mirna_Cluster_17623', 'mirna_Cluster_2500', 'mirna_Cluster_1819', 'mirna_Cluster_14610', 'mirna_Cluster_4036', 'mirna_Cluster_2746', 'lncrna_lncRNA_15381', 'lncrna_lncRNA_18508', 'lncrna_lncRNA_1108', 'lncrna_lncRNA_8596', 'lncrna_lncRNA_53546', 'lncrna_lncRNA_18392', 'lncrna_lncRNA_18557', 'lncrna_lncRNA_14828', 'lncrna_lncRNA_34908', 'lncrna_lncRNA_35024', 'lncrna_lncRNA_25410', 'lncrna_lncRNA_25409', 'lncrna_lncRNA_8437', 'lncrna_lncRNA_8439', 'lncrna_lncRNA_17993', 'lncrna_lncRNA_8444', 'lncrna_lncRNA_17861', 'lncrna_lncRNA_17862', 'lncrna_lncRNA_17863', 'lncrna_lncRNA_17864', 'lncrna_lncRNA_17865', 'lncrna_lncRNA_28455', 'lncrna_lncRNA_8452', 'lncrna_lncRNA_8455', 'lncrna_lncRNA_8460', 'lncrna_lncRNA_51246', 'lncrna_lncRNA_8462', 'lncrna_lncRNA_8980', 'lncrna_lncRNA_26645', 'lncrna_lncRNA_8463', 'methylation_CpG_ptg000002l_4656069', 'methylation_CpG_ptg000015l_1306419', 'methylation_CpG_ptg000022l_9886152', 'methylation_CpG_ptg000012l_3158600', 'methylation_CpG_ptg000007l_8414342', 'methylation_CpG_ptg000047l_10028701', 'methylation_CpG_ntLink_6_15838612', 'methylation_CpG_ptg000015l_9123006', 'methylation_CpG_ptg000020l_15080829', 'methylation_CpG_ptg000002l_4656059', 'methylation_CpG_ptg000020l_16600244', 'methylation_CpG_ptg000007l_3278940', 'methylation_CpG_ntLink_1_126095', 'methylation_CpG_ptg000004l_13995774', 'methylation_CpG_ptg000024l_3989836', 'methylation_CpG_ptg000011l_6034383', 'methylation_CpG_ptg000030l_2148139', 'methylation_CpG_ptg000020l_16600226', 'methylation_CpG_ptg000002l_13999986', 'methylation_CpG_ntLink_8_26760791', 'methylation_CpG_ptg000026l_13355683', 'methylation_CpG_ptg000024l_11259843', 'methylation_CpG_ptg000021l_1761539', 'methylation_CpG_ptg000026l_10340767', 'methylation_CpG_ntLink_8_19223262']"
