trial,rank,lambda_A,lambda_B,lambda_C,non_negative,value,explained_variance,sparsity_A,sparsity_B,sparsity_C
12,30,0.005751707844202112,0.6697376781283138,0.1711941591483064,True,7.702411290712876,0.0,1.0,1.0,1.0
11,28,0.01152597508263691,0.8839094438875608,0.7169219063367045,True,7.702411290712876,0.0,1.0,1.0,1.0
10,29,0.00782184644489916,0.7553503645583184,0.5997863556602815,True,7.702411290712876,0.0,1.0,1.0,1.0
8,18,0.0005488047000766049,0.755681014127442,0.12604664585649453,True,7.702411290712876,0.0,1.0,1.0,1.0
25,22,0.0020597175059583485,0.8405753359041572,0.37670819502931896,True,7.702411290712876,0.0,1.0,1.0,1.0
31,30,0.004756662549199691,0.6665849665132884,0.17813256299118949,True,7.702411290712876,0.0,1.0,1.0,1.0
21,27,0.008686865419501416,0.9552243923232476,0.6178449911287014,True,7.702411290712876,0.0,1.0,1.0,1.0
19,30,0.011424502475070332,0.7534933229670142,0.00011065136021091021,True,7.702411290712876,0.0,1.0,1.0,1.0
49,23,0.0031868229082082943,0.7060511236142365,0.031164014938860073,False,7.702411290712876,0.0,1.0,1.0,1.0
50,27,0.03802544950289038,0.9357919338705497,0.008278699652681593,True,7.702411290712876,0.0,1.0,1.0,1.0
51,29,0.9702623759258517,0.9586570849364209,0.6239878027747205,True,7.702411290712876,0.0,1.0,1.0,1.0
58,29,0.004661306217339234,0.9975375683267106,0.0033101676735387236,True,7.702411290712876,0.0,1.0,1.0,1.0
41,30,0.01392646946320707,0.6442648339007867,0.0002690793124588626,True,7.702411290712876,0.0,1.0,1.0,1.0
42,29,0.054123079865322186,0.8726317095919451,0.00011458422209579283,True,7.702411290712876,0.0,1.0,1.0,1.0
39,29,0.013918970121871436,0.5945357193954297,0.059077682475768556,True,7.702411290712876,0.0,1.0,1.0,1.0
33,29,0.0009945556840825593,0.9202694747785678,0.14456187515898158,True,7.702411290712876,0.0,1.0,1.0,1.0
61,21,0.0006849905332388105,0.7013540331395108,0.4213384102686047,True,7.702411290712876,0.0,1.0,1.0,1.0
63,26,0.0021215656630557615,0.75456695927985,0.3334078633529735,True,7.702411290712876,0.0,1.0,1.0,1.0
83,29,0.0005001692734654153,0.9927996049673214,0.72743611174937,True,7.702411290712876,0.0,1.0,1.0,1.0
85,29,0.001252971421324456,0.5901916555236231,0.01043457001669746,True,7.702411290712876,0.0,1.0,1.0,1.0
87,27,0.002090721593835961,0.7984899767324513,0.054377972391540935,False,7.702411290712876,0.0,1.0,1.0,1.0
94,29,0.00814758013913939,0.8435594946569757,0.00013978122483368087,True,7.702411290712876,0.0,1.0,1.0,1.0
95,28,0.01235337242848547,0.9854879445406823,0.0018337432308381811,True,7.702411290712876,0.0,1.0,1.0,1.0
90,25,0.0008016365396662871,0.811341733881362,0.18713778689838095,True,7.702411290712876,0.0,1.0,1.0,1.0
92,28,0.0056218209168558755,0.6366110826933181,0.0632980719116021,True,7.702411290712876,0.0,1.0,1.0,1.0
82,30,0.0008765424797641972,0.6442067905338374,0.33613658026806575,True,7.702411290712876,0.0,1.0,1.0,1.0
78,14,0.007562650866769657,0.9846421914280261,0.0811825818579365,True,7.702411290712876,0.0,1.0,1.0,1.0
76,23,0.005735743712639571,0.8095296729776793,0.2543165733907181,False,7.702411290712876,0.0,1.0,1.0,1.0
73,30,0.01212198336015896,0.5924770559489551,0.32004671210870145,True,7.702411290712876,0.0,1.0,1.0,1.0
71,30,0.004682374878204598,0.6848942691611007,0.1458748266820725,True,7.702411290712876,0.0,1.0,1.0,1.0
67,30,0.0047062523582045625,0.770160260950635,0.09247248408398182,False,7.702411290712876,0.0,1.0,1.0,1.0
64,28,0.006370834749726971,0.599541030413235,0.5300932950141273,True,7.702411290712876,0.0,1.0,1.0,1.0
96,30,0.004309557114685113,0.6164066994882925,0.11409480914141784,True,7.702411290712876,0.0,1.0,1.0,1.0
81,28,0.0010935490191139527,0.7752882360303991,0.1615221981850723,True,7.702411290712876,0.0,1.0,1.0,1.0
99,19,0.018556489315822426,0.7190810423979014,0.22679695624884716,True,7.702411290712876,0.0,1.0,1.0,1.0
17,10,0.003844180704394389,0.012001686164551854,0.2668178233993521,True,8.860229829229166,0.01048920685961019,0.9,0.9,0.9
0,14,0.6351221010640696,0.08471801418819976,0.024810409748678097,True,9.91927074157517,0.01819095606520149,0.8571428571428571,0.8571428571428571,0.8571428571428571
98,16,0.0027865119502672887,0.47634398324957056,0.6053103536005864,True,10.864846727267931,0.016885378527336292,0.8125,0.8125,0.8125
15,21,0.002507752044857025,0.31327657894882527,0.9057268923024396,True,10.997196851341496,0.023044647005272423,0.8571428571428571,0.8571428571428571,0.8571428571428571
38,6,0.0014156313951346191,0.19324693679480404,0.945112740519758,False,11.066703903036125,0.026256923758714024,0.5,0.5,0.5
30,8,0.0003022852418669405,0.08813985910837592,0.005246845012264985,True,11.153448552569126,0.03025470078562542,0.625,0.625,0.625
4,16,0.13826232179369857,0.0006290644294586153,0.011400863701127324,True,11.163634949007252,0.03120804414240219,0.8125,0.8125,0.8125
14,9,0.00012748888933395585,0.003265509226695849,0.18781323389598886,True,11.182859773230964,0.03160871080601191,0.6666666666666666,0.6666666666666666,0.6666666666666666
68,27,0.00794321899943011,0.5205414779314799,0.1866251326237264,True,11.855945615730572,0.019501086829295744,0.8518518518518519,0.8518518518518519,0.8518518518518519
35,27,0.03381177152383052,0.5063166491716194,0.32039237557244943,True,11.877868413837776,0.02060731799632609,0.8518518518518519,0.8518518518518519,0.8518518518518519
23,28,0.056105382606156606,0.4471215250907212,0.9918005895525797,True,11.93470491873419,0.023355623899610656,0.8571428571428571,0.8571428571428571,0.8571428571428571
93,27,0.0005068952575351023,0.4160601423928182,0.2888571735494726,True,12.02210808803982,0.027264789198421457,0.8518518518518519,0.8518518518518519,0.8518518518518519
26,18,0.020217288216278686,0.39191606617531327,0.1119876399575546,True,12.056497791050809,0.028914157490036008,0.7777777777777778,0.7777777777777778,0.7777777777777778
43,27,0.1160789381682145,0.3516872326378421,0.0012671298290049629,True,12.089143480743413,0.030749919469698517,0.8518518518518519,0.8518518518518519,0.8518518518518519
7,4,0.43379206974909373,0.0010842262717330165,0.04467752817973906,False,12.231858595297059,0.039315669204464165,0.0,0.0,0.0
74,27,0.003924637870491414,0.18137310874128393,0.20975580042571393,True,12.234489727409514,0.03706881625445779,0.8518518518518519,0.8518518518518519,0.8518518518518519
29,12,0.15059863513309535,0.10337667684888936,0.01557318063896172,True,12.259785814371917,0.03887310473092831,0.6666666666666666,0.6666666666666666,0.6666666666666666
69,19,0.017818969878239704,0.03355514389935884,0.7255937916240696,True,12.295637474963636,0.039933639489198036,0.7894736842105263,0.7894736842105263,0.7894736842105263
