,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29,Component_30,Component_31,Component_32,Component_33,Component_34,Component_35,Component_36,Component_37,Component_38,Component_39,Component_40,Component_41,Component_42,Component_43,Component_44,Component_45,Species,Sample_ID
apul_ACR.139,-0.04536062602667088,-0.10202767808629008,-0.018424115515554753,0.31244122868713725,-0.03230663892947983,0.02191852067842882,-0.0422487582175718,0.00488325287739904,0.16388907687981938,0.28049034917675586,-0.06459070380568878,0.4369092056135155,-0.20543034192842885,0.02596329381500768,0.006434014347984199,0.12062913575110383,0.04217023489298468,0.0609420809168981,0.037107442736838914,-0.14833976671916554,-0.22961217354981409,-0.25646896766571503,0.12003695494672947,0.048400757822858256,-0.18305584302556574,0.10746168256664809,0.06218787902371388,-0.25026874018533757,0.13966111498603473,0.13352690253617672,-0.08984264885564906,-0.011186882685209135,0.11103119168526968,-0.3190281470093458,-0.17115996636350253,-0.10720243436683538,-0.17498681515735354,0.062430049047308846,-0.004589423050668649,-0.0032916935468194296,-0.007946797508273614,-0.06780557647484045,-0.08747769439490789,0.17258795393367066,0.3916506922617987,apul,ACR.139
apul_ACR.145,-0.033055116523490635,-0.12951716112014527,0.11169336362647586,0.29154412837517263,0.0463890928722472,-0.07408779876799909,-0.06430277708351465,-0.11607392357657657,0.12456378748003448,0.1907664655950316,0.2351076719484099,0.16279804567601594,-0.02717905907684445,-0.061645878986601885,-0.028993211291010373,-0.021851586345208836,0.10350835834830738,0.040441879165188384,0.07818588466604807,0.03487080891094473,0.07447973776884875,0.22876678284136107,0.05721852091452051,0.08076581612502859,-0.30394292451486626,-0.12589500249095775,-0.0547883736651155,-0.10820868013608345,-0.02990135457964156,-0.11080078263264943,0.06064157275946021,-0.08755908787908818,-0.010176140896170699,-0.0733093922330084,-0.004447522468572235,0.14514363313051226,0.13687057092910337,0.03549572673428597,0.055312105465557614,-0.06450060243027904,0.2111377400686366,0.36007186013172904,-0.07015733831991468,0.09341771727382077,0.2152341664470464,apul,ACR.145
apul_ACR.150,-0.04753009825590486,0.03528498117683308,0.1180778043633486,0.19122520111296193,0.14492341354714997,-0.030057787897271038,-0.09657487214860591,-0.11448469303179068,0.21098049055103432,0.0734701269877403,0.07938867160561151,0.00859151847068984,-0.15046872903727224,-0.2869995272669325,0.0490782801972527,-0.012107129176398449,0.023871896189700377,-0.01195572433698,0.1712261153548445,0.010361431810199655,-0.20086501860862074,0.23993410588966807,0.02418218816441214,0.12398159099962981,-0.18695541708084432,0.2453089114894215,-0.08771949821637205,0.032571989271440775,0.36766921587202284,-0.10972682786190706,0.05251638075345595,-0.07306341786687412,0.004727500192913386,0.12241434427324788,-0.044768683283758895,0.06538541777723647,0.07452022711424389,-0.01335910799910251,0.14084697506172073,-0.02489887895477387,0.2080598446110032,0.22602580597752692,-0.010340162478705549,0.1413311621590596,0.4337445311417227,apul,ACR.150
apul_ACR.173,-0.20288632686997093,0.011038414407161707,-0.029031383701268287,-0.07741953444670738,0.09220259669383969,-0.022623109881676536,-0.047994315830964994,-0.02133400831984116,-0.04785396662913593,0.3236228380010167,0.08449753342873005,0.1440679074845467,-0.11636292609268976,-0.061560737016297815,-0.13280224664594645,0.1419781911555243,0.08132195858717164,0.06296166175707565,0.12170913609669264,0.012875641977730525,-0.08110183470513725,0.3337599836249344,0.039853801770544525,-0.05090653931552337,0.0665345632504091,-0.03948851781212769,-0.012341949784688465,-0.06638642733423314,0.15802307916161618,-0.15337154541582587,0.02287834222652457,0.08916355571842435,-0.0645817451995755,-0.06367881394000015,-0.13865521599329628,0.23781215755580903,-0.10151855351669314,0.023156671440283567,0.04659885019525199,-0.04868532775434961,0.174023508660282,0.010769435189555462,-0.11738385094177933,0.14766632480301173,0.4253465509427908,apul,ACR.173
apul_ACR.186,0.3572386058450675,-0.07328740768322776,0.1224724567932507,0.09792533790392483,0.28035916412526635,-0.09259689900239017,-0.12727330292238823,-0.12159496364058163,0.2821799453127673,0.46371869561713813,-0.08770062483971856,0.4620874433482536,-0.13717113954967267,-0.6435967051896675,0.08530522565487167,0.056999252016405086,0.08942157455605833,-0.02111753510298045,0.03200874486416853,-0.07556551988494263,-0.2086081908474254,-0.4033959482688529,0.055686292351970444,0.17681524073392424,-0.26510398842909016,0.14831079286119242,-0.029888818998061836,-0.11153733089361541,0.011813125410064995,0.06250529364222547,0.09152499535486777,-0.16787688326449196,0.09493020288725919,-0.1364160146948984,-0.092630224915552,-0.06746089367716308,-0.07856005704718245,0.0038513711460795063,0.21972020524001867,-0.04169420427628158,0.08060197757222984,0.20898466058165957,-0.1279388265418311,0.10353399602393784,0.4688310976890738,apul,ACR.186
apul_ACR.225,0.24272060454654382,-0.21055912879532096,0.06846416685235931,0.11140332922028287,0.02085245765970787,0.13258415164816106,-0.05245639567450327,-0.3696365729100623,-0.07102595487957437,0.1732992423959011,-0.11973681423661782,0.40935429006878765,-0.12370760680128266,0.26223598817892274,0.24557134079463797,0.18174746226862645,0.12233877026638776,0.11329056750191438,0.06190952122572186,-0.17558856270622258,0.6729659121976845,-0.26234321290538404,0.028728325286734486,0.031399577129556946,0.0986635952661606,-0.00013739968077938663,-0.13444167393572673,0.0036513960571584493,0.4085162345085752,-0.1813810364657812,0.00560529964837619,-0.04466415345228575,-0.0046227894682201775,-0.03695858474347826,-0.10719584288257303,0.10952192940705255,-0.19236249337138311,0.045911375427300165,0.0047638109553353415,-0.0816898863933024,0.5203933065555731,0.2727858442122137,-0.04135600509528174,0.34167100253837,0.13295938563620052,apul,ACR.225
apul_ACR.229,0.04642431535908536,-0.03117893461841627,0.1445166644607954,0.016996262709682203,-0.004146625405742035,0.059077827004164224,0.035783147459798686,-0.304272869140349,-0.48645150336240656,0.16631518758096941,0.04289101224669783,0.3527144920441787,-0.18240620141819572,0.1502961885919316,-0.05694002913700103,0.4958386329080606,0.1475929867971456,0.47214897775135184,0.1387456954227239,-0.22751956296716933,0.1725616243019432,0.07226915278868722,0.0005780568350779344,0.06395834488459473,0.255268684420416,-0.10185684540297205,-0.0683783120575832,-0.024632692328289768,0.3723639166778435,-0.04164421806336201,0.0014609541737049898,-0.02297881157657839,0.003519786491272563,-0.30782878849482864,-0.047109394233145224,-0.03381603071934524,0.19271544001272106,0.022490769991119968,0.060911926011713136,0.20392657657214355,0.21326551030938504,0.24751684430263887,-0.053737424656706397,0.233074736920878,0.17192890223391327,apul,ACR.229
apul_ACR.237,-0.056716750163965914,-0.022717395618098688,0.04449474057451361,0.26572759187257805,0.07448522965141569,0.06857701789236435,0.008081372031017714,-0.17517131262199453,-0.10132840642086786,0.11543666957740485,0.23323458250608742,0.10403048418255828,-0.16392515214086342,0.01725595168846519,-0.0011917647715365691,0.025807485805104023,0.1631532188751859,0.10034186467704814,0.23531832006649472,-0.0617473849080457,0.30479343820151156,0.186020118463094,-0.03935671901443044,-0.030059002162227292,0.09550588582015712,-0.13956629919587002,-0.03660641502824443,0.005093989567039522,0.31336823755735205,-0.07727580375172827,-0.007435817170833052,-0.03794301723314676,-0.0033060914131159075,0.04329849544585435,-0.03673509203099395,0.022178982907102962,0.1396039736511256,0.0760863752880174,0.03554948130365687,-0.03477663258835251,0.32863366292352847,0.2694780182614708,-0.06088545003514561,0.1414325559601432,-0.07063579617028866,apul,ACR.237
apul_ACR.244,0.1614289008502098,-0.005626120926288567,0.1341664572699856,0.2129537401553612,0.07080740355403907,0.1447598357040707,0.009442450882485607,-0.0882617910798251,-0.14819749702565133,0.09837013455819692,0.17056879370501843,0.21162635725608128,-0.10460391918552302,0.09928474132122564,-0.4438584393803114,0.24170497496399285,0.16400775950655294,0.1736450883090994,0.19988132938206912,-0.048496760263380095,0.4162577171371215,0.053539236580212105,-0.05740296992206616,0.05066043575844309,0.17357127986708243,-0.027791557216845245,-0.1370299924193236,0.12630900672009596,0.3978400207453242,-0.2954484379076146,0.04472753452781888,0.027158635428634777,-0.08872342758907914,-0.09588109452099625,-0.13311913388172972,-0.37843609241769033,0.18992222840172485,0.26145027465847354,0.09573641643100919,-0.09162488437152433,0.35086010103821397,0.14389534826202932,-0.04390719160232414,0.2481545266148405,0.04141828618121947,apul,ACR.244
apul_ACR.265,-0.0004762266623417023,-0.06965780283771304,0.09535844064491089,0.3521928052178806,0.18666046916053503,0.12457716325760078,-0.01735058102958477,-0.22080669443899428,-0.11500550498109295,0.014989584533271693,0.05968815017540618,0.16572674273758092,-0.05590251760910254,-0.13660726666394188,-0.06121308812450115,0.1441223817228129,0.1085975545233039,0.13223968439600076,0.17782841256425755,-0.06763579826095198,0.1700119243126436,0.15520020687442662,-0.013042014300209553,-0.003968070739821213,0.11009888284099423,-0.07108628742068866,-0.10235589052712912,0.03032440167664852,0.21406686731960342,-0.12166406725848819,0.03200460939412671,-0.08141710974819136,0.0127129122407044,-0.07795970757291326,-0.024690072604032158,-0.05326036546019245,0.21128547541903756,0.05414773891723375,-0.030728248403562638,-0.010718686641936908,0.3080190905051178,0.28328140408962865,-0.06061735737621,0.18597414513516836,0.11108403553881256,apul,ACR.265
