,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10
OG_05105,1.3844864778963073,0.49756347718798655,0.7718874630160528,0.786874167124646,1.0417130804998116,1.5271910898209098,0.5895358101886864,0.7510024603248279,1.1151010237146888,0.5063705716304843
OG_05106,1.5244477099233051,1.7928113620791093,0.5566601493838431,0.6196398139400443,1.8962863780020924,2.7807917105730433,1.252820844446752,1.767510538920985,2.0293731802761825,0.9084731043853155
OG_05107,0.8768470684734316,0.0,0.47069822047269133,0.5348624211203202,0.6888191790725746,1.0723905522546706,0.17892433701410387,0.11068577934579274,0.18038468332968607,0.45844384647033126
OG_05108,1.0223921959462712,0.02219498634201686,0.548847795400695,0.4286076365886688,0.43155258705715815,0.2854345329231239,0.3930847544227083,0.36856747508884047,0.9542820622430089,0.0
OG_05109,2.7530010133801595,1.250580404478704,1.2183896748376692,0.8692760312530919,1.6317995647326466,2.3844790116495447,0.9002888767183507,1.4156646418984185,1.9942964839653101,0.9710006150785054
OG_05110,4.055154767014721,3.043103469625598,1.8273975294653528,1.6168282485113363,3.4793806386443227,5.62224747783555,2.0375270391328613,3.230283090218698,3.774624078177439,2.229058938319919
OG_05111,0.0,0.19588930980749325,0.016702486651232383,0.08701775194745984,0.2119392927039806,0.30236102550257493,0.06430617010010257,0.1750231021686208,0.0935616268726734,0.11676391641586145
OG_05112,1.171318278361116,0.6437229704853045,0.3853818187010167,0.5692478916662608,0.8460188587773887,1.4203709685278687,0.6624477837995008,0.8108631906513604,1.1759587686510162,0.3899166692244123
OG_05113,0.971343308995372,0.05297547848681185,1.1957760466227783,0.32546366088953166,0.38073137806339297,0.0,0.0944913618074316,0.16446863389046873,0.8223121846915419,0.25618793086032915
OG_05114,1.4195107536155809,1.1857161493993071,0.5130343503186444,0.5990492392876258,1.3138798079286578,2.3581031811470416,0.7240850750973569,1.1607957179953274,1.211355485808388,0.907704252078094
OG_05115,0.671917858457603,0.5610839100766639,0.3046449495102799,0.3124184963652925,0.672036160945748,0.9084743051794879,0.35607751074952226,0.6491331236781598,0.841927688473069,0.3409793417398139
OG_05116,1.1511410083134137,0.34784902832800585,0.34284281983507386,0.7779886433808335,1.043910822601649,1.3646821456521634,0.8961353733444966,0.8219056480399998,1.430268149397082,0.24559713603712902
OG_05117,1.4189561740333496,0.7470466060371654,0.8250027080640491,0.8307506825225006,1.2434514078903989,2.1207652819655363,0.5324082217157338,0.982386496353675,1.1315885591808903,0.8906818863953726
OG_05118,1.557235371393826,0.563396897215898,0.9541735964111553,0.747817133271762,1.1596633766545907,1.5757489257015354,0.5212583292353253,0.743825204335304,1.2111155552233765,0.7328052393042576
OG_05119,3.5336381752231554,1.726210654110797,1.916379699740439,1.4901980310676848,2.721917706369675,3.800254758316292,1.6111218085540011,2.0917130083967934,3.123767537210466,1.4974466052629962
OG_05120,1.5011621498870085,1.0070880840792673,1.00436521747419,0.5140546008409608,1.1115574670327883,1.6402572387514691,0.5781351342078065,0.911259096399089,1.3672103091120567,0.8275646820894876
