,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Species,Sample_ID
apul_ACR.139,1.231030240328715,1.6315556271415876,4.132120046235054,2.1782089557310367,0.2800252759746411,0.03969273610566867,0.8216885698956166,0.884512551923843,-2.7536707458533196,-4.383999181994793,apul,ACR.139
apul_ACR.145,3.0367060071793097,0.4914248200109479,3.2063339834168314,-0.6337236798557871,1.8181113544118173,0.020501646522867945,0.4645363341842929,2.7983782509161093,-3.257437734456888,-3.5570668544400554,apul,ACR.145
apul_ACR.150,3.2441644756640806,-2.5343014935874506,1.437253843892611,-2.722998669022475,2.724395133306594,-1.1884112658259756,1.8324060539379794,3.722148527233551,-1.7582538101307545,-0.06563590560203487,apul,ACR.150
apul_ACR.173,3.070849757515966,1.4206887366936358,2.268940792556328,1.709534687093923,1.7742628195143582,-1.2199779309907608,1.487223469997512,2.739104242340569,-3.835300804559482,-1.8615910222302412,apul,ACR.173
apul_ACR.186,3.2929243613843537,-1.7219870543687101,4.528261219640788,-3.4280645395617597,1.8467940111241994,0.755945879808541,0.9336166997217623,4.765677793772349,-3.738755180603452,-4.657020481321859,apul,ACR.186
apul_ACR.225,3.8824825857021894,1.1110690542801893,-1.1018688487878325,2.2875972899485517,3.348456887725076,-2.509436378572397,1.1112630769909935,1.6897760775300934,-2.214676988679236,1.6074662644678672,apul,ACR.225
apul_ACR.229,2.963872747040334,3.0124366087050576,-1.496370749469766,4.563571780477501,2.458369908299089,-2.9068868543322224,1.4457534905497458,0.458962451721403,-2.089960992254401,1.456778844679391,apul,ACR.229
apul_ACR.237,3.5127156590515085,0.13401382201024212,-2.0243068615592246,0.8765126415193208,3.4192623001487146,-2.4627792109525166,1.2901557110406987,1.1443872256706684,-1.0224388387674164,2.711971499685674,apul,ACR.237
apul_ACR.244,3.645648327713564,1.6805111114977789,-2.681791206511185,3.044449643163443,3.3397161590433666,-3.148462441475081,1.093271682156651,1.0239100264704166,-1.4230637309708858,3.114020783684602,apul,ACR.244
apul_ACR.265,3.4445333364930613,0.3499916335589462,-0.44343445007778054,-0.08070927479461497,2.9216630923421714,-1.7013050653834016,1.589966439532512,2.275290489825013,-2.3041052912764455,0.6367543615824826,apul,ACR.265
peve_POR.216,-0.49523197493266363,-1.3394644203467099,0.017578641969695517,-0.6649269335754998,-0.3317007396276298,-0.9586184463531368,4.3487600066694725,1.018057009741069,-1.5461393280674278,2.7170756862166554,peve,POR.216
peve_POR.245,-0.20287446684844682,3.3713225605210164,-0.39395738625505705,3.264325497966489,0.4522678282077138,-0.4369129176488892,1.3782563520185027,-3.3399773945407776,-0.6245135359548244,-0.5113336377588543,peve,POR.245
peve_POR.260,-0.2885366886377011,1.3836086960629885,-0.14169889858679935,1.4295688856814255,1.1062898436793898,-0.4695343811700157,3.1386295660397514,-2.6404069779261694,-0.8746261210956998,-0.11640481998362981,peve,POR.260
peve_POR.262,-1.308680266724384,1.7213563081291674,-1.086518634396877,0.5202728863455006,0.11535519388935338,-0.399377578881573,3.021348009462248,-3.243655691765092,0.5934383640743471,1.0052799223470898,peve,POR.262
peve_POR.69,0.2964190087593944,-2.6938087896773384,1.0628100109965282,-0.6067655003317617,-1.0103822633198811,-1.2226687370824822,2.373617093405584,4.930872322069323,-2.4771173296178355,2.6496348192951915,peve,POR.69
peve_POR.72,0.5837334885507868,-2.886827041951658,-0.039320922264334944,-1.0223199810553736,-0.4880247204752865,-1.2643925822591293,0.4603953064493724,4.145065989672713,-1.1281136963682843,3.9787399236726264,peve,POR.72
peve_POR.73,0.013019482731952844,-1.831627724460401,0.6951852283434169,-0.46338405674046373,-0.07139995154106309,-1.2175170826897037,4.080491513871579,2.506847168256929,-2.0290065254177234,1.666848481077928,peve,POR.73
peve_POR.74,-0.4756279075639973,-1.68104893308213,-0.8143160099280716,0.36076442815756754,0.07444029476555056,-1.4134550751324944,3.29980119452288,-0.026001913206255944,-0.6664214014882262,4.334421988683393,peve,POR.74
peve_POR.83,0.9454722206881463,-3.1027267350550454,0.42555218224643987,0.08839665230357367,-0.9833715286898372,-2.257432684117977,1.9366179358848794,6.904179563995472,-2.9372247085172214,4.430454798641808,peve,POR.83
ptua_POC.219,0.6124866612257164,1.5059548964463665,2.3856021964630174,1.150633237242773,-0.14178570771369528,0.365553588636243,2.5840296096814575,1.6908939724374512,-3.899743031792756,-2.934723901099552,ptua,POC.219
ptua_POC.222,0.5941734756585366,-0.16560976198979982,0.6507106719509106,2.168093766405348,-0.3275296415379605,-1.9988328303109781,3.2263358468491408,3.5964121250608887,-3.142803930184242,1.914477025204863,ptua,POC.222
ptua_POC.255,0.05445883384456327,-0.7463242700460272,3.00592634540026,-0.3358334093818036,-1.148044914616891,-0.026670170296063042,3.357237679901735,4.136285884267082,-4.0375910153317855,-1.443532469773736,ptua,POC.255
ptua_POC.259,0.6435415522848019,0.3573416033560318,1.7526802821898486,1.0232695071205722,0.194964970596312,1.4754227476747783,-0.1634492052004374,0.3230994147793153,-2.142756051246675,-3.352782977040654,ptua,POC.259
ptua_POC.40,0.29845319398486103,1.7123996292796875,0.6619870830115742,3.7824908381477877,-0.559867781148882,-3.077309858285832,2.2961049580509965,1.7509870287960632,-1.699312131825651,2.677012794636044,ptua,POC.40
ptua_POC.42,0.59873446120891,7.3734718683265,-1.6811062431153252,8.292973373967497,-0.08663990462673625,-3.7006137811350213,-0.5648962772124451,-2.191718561129887,-0.5618667181799991,2.4576336415902014,ptua,POC.42
ptua_POC.52,1.4570502556121712,-6.508766103591882,0.6667401878502798,-6.993523554135224,2.0418409220604476,0.004532801500515728,3.145549269303091,4.809053682253975,-1.2262763175718772,2.168125344250646,ptua,POC.52
ptua_POC.53,0.4685685512434515,3.197365963313456,0.021155657535744183,5.592961454114096,0.12628536408270227,-2.8272375432776164,3.522587954526667,0.18967387683031034,-2.725869606311651,1.571482811608857,ptua,POC.53
ptua_POC.57,-0.45298370483324657,1.6902911081688232,-0.28257314204562095,3.8431358049304145,-0.6256800587201212,-2.097299732869463,2.8806614668967754,-0.30293868594186046,-1.4854728698260982,2.7259187194150645,ptua,POC.57
