Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
1A1-fastp-adapters-polyG-31bp-merged	82.1286469351747	44.0	27.510828802478464	29	27.27272727272727	8707334.0
1A10-fastp-adapters-polyG-31bp-merged	81.71995359396338	47.0	27.277033557299582	28	27.27272727272727	5951492.0
1A11-fastp-adapters-polyG-31bp-merged	78.42498861407549	45.0	28.518638892277057	29	36.36363636363637	2615311.0
1A12-fastp-adapters-polyG-31bp-merged	79.34964847700701	42.0	27.563513458658203	29	27.27272727272727	6183343.0
1A2-fastp-adapters-polyG-31bp-merged	80.87554692192722	45.0	27.575248778918695	28	27.27272727272727	10520184.0
1A8-fastp-adapters-polyG-31bp-merged	80.95962233705447	45.0	27.36703994324528	28	36.36363636363637	7769574.0
1A9-fastp-adapters-polyG-31bp-merged	81.364763857945	40.0	27.20099269723087	28	27.27272727272727	13617848.0
1B1-fastp-adapters-polyG-31bp-merged	81.50786989119045	47.0	27.21480227158449	28	36.36363636363637	9060812.0
1B10-fastp-adapters-polyG-31bp-merged	80.55987797805501	47.0	27.02742596283582	28	36.36363636363637	6911225.0
1B11-fastp-adapters-polyG-31bp-merged	82.37021531501387	49.0	25.292727824134822	25	36.36363636363637	4965804.0
1B12-fastp-adapters-polyG-31bp-merged	87.06250030090703	45.0	26.449148816259616	27	36.36363636363637	6957311.0
1B2-fastp-adapters-polyG-31bp-merged	83.4309824915297	47.0	27.362293056753717	28	27.27272727272727	9380108.0
1B5-fastp-adapters-polyG-31bp-merged	78.29336943775344	42.0	27.84349185261111	29	27.27272727272727	12874186.0
1B9-fastp-adapters-polyG-31bp-merged	81.94536557706749	49.0	27.655934363472568	29	36.36363636363637	6836681.0
1C10-fastp-adapters-polyG-31bp-merged	77.55483699445651	49.0	26.1602517149022	27	27.27272727272727	6142187.0
1C4-fastp-adapters-polyG-31bp-merged	82.19531930246958	52.0	25.745463791173687	26	27.27272727272727	10192432.0
1D10-fastp-adapters-polyG-31bp-merged	76.38774854378963	42.0	27.63635925472341	29	27.27272727272727	8008624.0
1D3-fastp-adapters-polyG-31bp-merged	83.4358389378518	43.0	27.688641731553357	29	27.27272727272727	15206508.0
1D4-fastp-adapters-polyG-31bp-merged	81.06198019040822	43.0	27.569278937943427	29	27.27272727272727	11513059.0
1D6-fastp-adapters-polyG-31bp-merged	83.33647975734092	41.0	27.772083288454112	29	27.27272727272727	13916983.0
1D8-fastp-adapters-polyG-31bp-merged	81.30159609274197	42.0	27.361833707061084	28	27.27272727272727	7489855.0
1D9-fastp-adapters-polyG-31bp-merged	76.52788958593311	45.0	27.464249896481647	29	27.27272727272727	8967009.0
1E1-fastp-adapters-polyG-31bp-merged	82.50910998830581	48.0	27.139719645220172	28	36.36363636363637	10473087.0
1E10-fastp-adapters-polyG-31bp-merged	89.3947755870189	45.0	26.40736550353569	27	36.36363636363637	7499528.0
1E11-fastp-adapters-polyG-31bp-merged	83.55726289010701	57.0	23.825761358716992	23	27.27272727272727	5959740.0
1E12-fastp-adapters-polyG-31bp-merged	89.20516362803141	54.0	24.66798462839815	25	36.36363636363637	6928881.0
1E3-fastp-adapters-polyG-31bp-merged	84.51837478851579	43.0	27.40954458677324	28	36.36363636363637	17188214.0
1E5-fastp-adapters-polyG-31bp-merged	84.01521121345966	50.0	25.858476426706645	27	27.27272727272727	8005903.0
1E9-fastp-adapters-polyG-31bp-merged	74.69540792668697	47.0	26.756548572786503	28	27.27272727272727	7877518.0
1F11-fastp-adapters-polyG-31bp-merged	83.154022292288	43.0	26.57521184646565	27	36.36363636363637	7439586.0
1F4-fastp-adapters-polyG-31bp-merged	82.25840744045934	44.0	27.496134309272694	29	36.36363636363637	10897535.0
1F8-fastp-adapters-polyG-31bp-merged	84.60163074781185	49.0	27.40462769818048	28	36.36363636363637	7066753.0
1G5-fastp-adapters-polyG-31bp-merged	81.5334684380866	42.0	28.011372317136253	29	27.27272727272727	13186143.0
1H12-fastp-adapters-polyG-31bp-merged	81.09512981014542	47.0	27.60086799290489	29	36.36363636363637	6805816.0
1H7-fastp-adapters-polyG-31bp-merged	72.97251230345714	43.0	27.96511386678538	29	27.27272727272727	7832969.0
1H8-fastp-adapters-polyG-31bp-merged	79.88535517557912	46.0	27.872547878917114	29	36.36363636363637	7090647.0
2B2-fastp-adapters-polyG-31bp-merged	82.03081004714028	48.0	26.835856479420205	28	27.27272727272727	11611826.0
2B3-fastp-adapters-polyG-31bp-merged	86.57293735305929	46.0	27.952369602474693	29	36.36363636363637	17445078.0
2C1-fastp-adapters-polyG-31bp-merged	82.33191596839347	48.0	27.53184864763854	29	36.36363636363637	13442486.0
2C2-fastp-adapters-polyG-31bp-merged	84.63257719945666	43.0	28.118706946271715	29	36.36363636363637	15758943.0
2D2-fastp-adapters-polyG-31bp-merged	82.08545113402627	46.0	26.638201804111006	28	36.36363636363637	11056415.0
2E2-fastp-adapters-polyG-31bp-merged	86.29828372320222	51.0	26.85690943757902	28	36.36363636363637	11769120.0
2F1-fastp-adapters-polyG-31bp-merged	83.11388806740695	52.0	25.768254650678728	27	27.27272727272727	10783211.0
2G1-fastp-adapters-polyG-31bp-merged	85.37017937491282	43.0	27.008181512500194	28	36.36363636363637	12374729.0
