Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
1A1-fastp-adapters-polyG-31bp-merged	1A1-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8707334.0	239.5 Mbp	0.0	15-31	44.0	17.871353064825303	27.510828802478464	29	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
1A10-fastp-adapters-polyG-31bp-merged	1A10-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5951492.0	162.3 Mbp	0.0	15-31	47.0	18.28004640603662	27.277033557299582	28	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
1A12-fastp-adapters-polyG-31bp-merged	1A12-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6183343.0	170.4 Mbp	0.0	15-31	42.0	20.650351522992988	27.563513458658203	29	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
1A2-fastp-adapters-polyG-31bp-merged	1A2-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10520184.0	290 Mbp	0.0	15-31	45.0	19.124453078072783	27.575248778918695	28	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
1A8-fastp-adapters-polyG-31bp-merged	1A8-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7769574.0	212.6 Mbp	0.0	15-31	45.0	19.040377662945538	27.36703994324528	28	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1A9-fastp-adapters-polyG-31bp-merged	1A9-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13617848.0	370.4 Mbp	0.0	15-31	40.0	18.635236142055003	27.20099269723087	28	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
1B1-fastp-adapters-polyG-31bp-merged	1B1-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9060812.0	246.5 Mbp	0.0	15-31	47.0	18.492130108809548	27.21480227158449	28	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1B10-fastp-adapters-polyG-31bp-merged	1B10-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6911225.0	186.7 Mbp	0.0	15-31	47.0	19.44012202194499	27.02742596283582	28	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1B2-fastp-adapters-polyG-31bp-merged	1B2-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9380108.0	256.6 Mbp	0.0	15-31	47.0	16.569017508470296	27.362293056753717	28	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
1B5-fastp-adapters-polyG-31bp-merged	1B5-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12874186.0	358.4 Mbp	0.0	15-31	42.0	21.706630562246556	27.84349185261111	29	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
