rank,lambda,mean_cv_sse,std_cv_sse,se_cv_sse,n_sse_scores,mean_cv_fms,std_cv_fms,se_cv_fms,n_fms_scores,n_successful_folds,fold_metadata
5,0.0,509691.61987024016,41852.52990439314,17086.223785056205,6,0.36310169745499987,0.0539377446132133,0.031140971371919988,3,3,"[{'fold': 1, 'group': 'apul', 'sse_own': 622773.9971275608, 'sse_others_mean': 506097.272421847, 'converged': True}, {'fold': 2, 'group': 'peve', 'sse_own': 564641.5657092043, 'sse_others_mean': 521957.86587479553, 'converged': True}, {'fold': 3, 'group': 'ptua', 'sse_own': 593585.4413750147, 'sse_others_mean': 501019.72131407796, 'converged': True}]"
5,0.01,506856.22700963874,44031.36047347555,17975.727640094505,6,0.4107860382930837,0.041766863503862044,0.024114109887161107,3,3,"[{'fold': 1, 'group': 'apul', 'sse_own': 618455.360877799, 'sse_others_mean': 515920.6881215683, 'converged': True}, {'fold': 2, 'group': 'peve', 'sse_own': 562676.8322353708, 'sse_others_mean': 511400.1586685125, 'converged': True}, {'fold': 3, 'group': 'ptua', 'sse_own': 598533.2847253435, 'sse_others_mean': 493247.8342388354, 'converged': True}]"
5,0.05,507124.1919631325,44050.021636826845,17983.346028130738,6,0.4224317833891494,0.04842624793815504,0.027958907282937373,3,3,"[{'fold': 1, 'group': 'apul', 'sse_own': 618275.8303270894, 'sse_others_mean': 516123.51297899574, 'converged': True}, {'fold': 2, 'group': 'peve', 'sse_own': 562544.6367715754, 'sse_others_mean': 511906.13881260675, 'converged': True}, {'fold': 3, 'group': 'ptua', 'sse_own': 598636.4672370239, 'sse_others_mean': 493342.92409779504, 'converged': True}]"
5,0.1,507569.848870836,44099.009659795345,18003.34530476083,6,0.45036234573514844,0.06737756543287357,0.03890045554001118,3,3,"[{'fold': 1, 'group': 'apul', 'sse_own': 618233.1897277833, 'sse_others_mean': 516235.24012992624, 'converged': True}, {'fold': 2, 'group': 'peve', 'sse_own': 562882.9931150584, 'sse_others_mean': 513087.543390968, 'converged': True}, {'fold': 3, 'group': 'ptua', 'sse_own': 598674.2296531943, 'sse_others_mean': 493386.763091614, 'converged': True}]"
5,0.5,509834.4470941895,44817.19795358936,18296.5444479334,6,0.4498776838888984,0.07072744343686674,0.04083450850736904,3,3,"[{'fold': 1, 'group': 'apul', 'sse_own': 618284.5688071692, 'sse_others_mean': 516410.4060014625, 'converged': True}, {'fold': 2, 'group': 'peve', 'sse_own': 566085.0406456644, 'sse_others_mean': 519337.1558705809, 'converged': True}, {'fold': 3, 'group': 'ptua', 'sse_own': 598963.2688441267, 'sse_others_mean': 493755.77941052517, 'converged': True}]"
5,1.0,509651.2973946018,44446.8043677809,18145.331899728313,6,0.4184590051550939,0.06664843185234523,0.03847949007101795,3,3,"[{'fold': 1, 'group': 'apul', 'sse_own': 618321.0630435715, 'sse_others_mean': 516522.32777724054, 'converged': True}, {'fold': 2, 'group': 'peve', 'sse_own': 567084.8105486839, 'sse_others_mean': 518175.8759013828, 'converged': True}, {'fold': 3, 'group': 'ptua', 'sse_own': 598844.3426798085, 'sse_others_mean': 494255.6885051821, 'converged': True}]"
5,2.0,509916.6005187772,45865.74638100861,18724.61255089588,6,0.41613560874110717,0.0762153679849548,0.044002963222500045,3,3,"[{'fold': 1, 'group': 'apul', 'sse_own': 618372.366005781, 'sse_others_mean': 516810.1389084135, 'converged': True}, {'fold': 2, 'group': 'peve', 'sse_own': 564668.8585675299, 'sse_others_mean': 518646.40186302783, 'converged': True}, {'fold': 3, 'group': 'ptua', 'sse_own': 598427.8789308161, 'sse_others_mean': 494293.2607848903, 'converged': True}]"
5,5.0,509878.41327974777,40363.75835605479,16478.435345555834,6,0.3869650044678707,0.082135197491136,0.047420778381450444,3,3,"[{'fold': 1, 'group': 'apul', 'sse_own': 625458.4791655887, 'sse_others_mean': 508217.5257833269, 'converged': True}, {'fold': 2, 'group': 'peve', 'sse_own': 563260.0128072, 'sse_others_mean': 520251.38782793714, 'converged': True}, {'fold': 3, 'group': 'ptua', 'sse_own': 592600.531328585, 'sse_others_mean': 501166.3262279792, 'converged': True}]"
10,0.0,495048.74600050785,29922.214411752688,12215.6928804912,6,0.4849813191477124,0.03498834903341429,0.02020053273294232,3,3,"[{'fold': 1, 'group': 'apul', 'sse_own': 625203.2618388379, 'sse_others_mean': 498092.94306861376, 'converged': True}, {'fold': 2, 'group': 'peve', 'sse_own': 570929.6650862917, 'sse_others_mean': 500022.4969358684, 'converged': True}, {'fold': 3, 'group': 'ptua', 'sse_own': 597692.4767672375, 'sse_others_mean': 487030.7979970414, 'converged': True}]"
10,0.01,496311.3612544254,33509.16601736425,13680.05974145873,6,0.48624810754126807,0.011777903747592895,0.00679997589916226,3,3,"[{'fold': 1, 'group': 'apul', 'sse_own': 626703.9118980019, 'sse_others_mean': 499974.63772562845, 'converged': True}, {'fold': 2, 'group': 'peve', 'sse_own': 568525.0703942066, 'sse_others_mean': 500894.1156835997, 'converged': True}, {'fold': 3, 'group': 'ptua', 'sse_own': 595492.6490070953, 'sse_others_mean': 488065.3303540481, 'converged': True}]"
