gene_id	1A1	1A10	1A12	1A2	1A8	1A9	1B1	1B10	1B2	1B5	1B9	1C10	1C4	1D10	1D3	1D4	1D6	1D8	1D9	1E1	1E3	1E5	1E9	1F11	1F4	1F8	1G5	1H11	1H12	1H6	1H7	1H8	2B2	2B3	2C1	2C2	2D2	2E2	2F1	2G1
FUN_002438	25	0	0	21	0	96	18	0	32	0	0	7	8	56	0	0	3	0	0	21	13	7	0	69	0	0	98	0	0	0	0	0	4	25	15	10	0	0	0	0
FUN_002447	386	0	3	859	0	183	4	0	303	0	1	446	0	4	0	0	3	2	0	8	0	0	0	194	0	22	140	3	0	22	0	0	5	0	156	0	0	0	0	0
FUN_002494	0	0	52	46	0	343	33	0	0	0	0	11	12	25	0	0	5	8	0	0	29	10	12	24	23	0	378	52	0	0	0	0	0	42	48	36	0	0	0	16
FUN_002499	0	6	19	36	17	460	19	20	10	0	0	10	10	21	31	4	5	0	0	9	52	11	0	50	23	0	627	19	3	0	15	9	0	44	23	65	0	0	0	14
FUN_002503	0	0	0	2	0	14	0	0	0	14	2	0	0	22	0	0	9	0	0	17	2	0	0	0	0	0	22	0	0	0	10	0	0	1	17	0	0	0	0	0
FUN_002507	0	0	0	11	2	184	8	0	0	0	0	0	0	0	0	8	0	9	0	0	4	0	4	7	13	0	215	0	0	0	0	0	0	16	3	12	0	0	0	0
FUN_002508	0	32	15	174	0	9668	0	10	7	0	78	3	3	105	0	0	0	24	0	69	103	5	0	9	13	7	6023	15	0	7	0	0	36	15	277	3	0	0	10	14
FUN_002519	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	190	0	0	0	0	0	0	0	14	12	0	0	0	0
FUN_002504	14	0	8	14	2	194	0	0	28	11	22	3	21	40	0	0	21	2	20	15	32	31	0	79	2	0	177	8	0	0	16	0	8	96	22	73	0	0	6	3
FUN_002515	47	0	147	113	39	289	120	83	42	0	0	40	65	7	17	82	44	35	0	10	33	23	50	142	106	0	344	147	13	0	14	25	4	176	87	195	42	0	0	71
FUN_002600	11	0	0	0	18	19	0	0	0	5	0	14	29	0	0	0	8	0	0	24	0	0	0	0	8	0	56	0	0	0	23	15	0	29	0	56	24	0	0	0
FUN_002663	63	0	7	14	0	129	24	0	3	0	0	0	12	21	17	0	0	10	0	11	0	0	30	7	21	0	77	7	0	0	0	7	0	0	13	42	0	0	0	6
FUN_002680	63	0	6	8	0	37	94	4	0	10	0	0	14	21	0	0	0	0	0	19	7	0	0	37	6	23	27	6	0	23	0	3	17	13	0	14	0	0	7	0
FUN_002681	12	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	13	0	0	0	18	0	0	25	4	0	0	0	0	0	0	0	0	0	0	0	0
FUN_002743	374	0	1	300	1	750	1874	0	653	0	0	341	0	1	447	0	0	0	0	0	0	0	0	516	0	0	1634	1	0	0	0	1	0	0	422	0	0	0	0	0
FUN_002744	130	0	0	42	0	154	375	0	159	0	0	97	0	0	113	0	0	0	0	0	0	0	0	160	0	0	248	0	0	0	0	0	0	0	88	0	0	0	0	0
FUN_002746	88	0	0	89	0	79	357	0	159	0	0	34	0	0	104	0	0	0	0	0	0	0	0	82	0	0	198	0	0	0	0	0	0	0	90	0	0	0	0	0
FUN_002760	137	0	0	111	5	108	379	0	248	4	0	57	0	4	62	0	3	0	0	2	1	0	0	81	0	2	279	0	10	2	0	2	0	3	52	0	0	0	0	0
FUN_002818	29	3	2	0	0	2	2	0	0	1	0	3	15	8	0	3	3	1	0	34	7	1	2	2	5	0	10	2	1	0	5	3	15	1	0	18	4	0	3	4
FUN_002821	86	5	0	33	6	56	0	0	140	113	56	144	4	0	0	6	13	1	13	33	0	167	29	60	0	0	36	0	12	0	15	0	9	2	42	0	0	8	0	0
FUN_002836	72	3	2	4	4	12	10	6	3	0	0	27	32	15	3	0	0	0	0	23	6	0	0	7	14	2	140	2	5	2	19	0	15	1	2	12	8	0	10	6
FUN_002838	27	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	2	0	0	0	0	0	17	0	0	0	2	0	17	0	0	0	16	0	0	0
FUN_002851	24	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	16	0	0	0	12	0	15	6	0	3	19	0	0	2
FUN_002853	66	0	0	1	0	8	2	0	4	0	8	8	12	6	0	2	1	34	0	29	3	0	0	3	9	0	84	0	2	0	6	0	4	0	0	16	23	0	0	4
FUN_002866	126	0	0	2	0	3	9	0	0	0	0	6	26	13	0	0	0	16	0	67	2	1	0	1	18	0	94	0	0	0	0	4	64	0	0	11	12	1	0	16
FUN_002860	15	0	1	0	0	7	6	0	0	0	0	9	6	23	0	0	0	1	0	15	13	0	0	4	6	0	32	1	0	0	0	0	5	0	0	9	4	6	0	0
FUN_002950	44	14	0	0	0	8	15	0	3	0	0	8	27	53	0	0	12	40	0	50	11	14	0	5	11	9	41	0	0	9	9	0	23	0	0	8	9	0	7	11
FUN_002879	35	1	3	0	0	13	3	3	0	1	0	3	17	8	0	13	3	11	2	23	3	1	0	7	10	0	49	3	0	0	12	0	10	0	0	7	8	0	0	12
FUN_002901	42	43	7	0	0	10	16	0	3	8	0	9	31	48	0	0	9	0	0	55	19	0	0	0	12	0	54	7	0	0	14	0	23	0	0	13	0	0	7	12
FUN_002925	11	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	21	9	0	18	7	0	0	0	8	0	9	11	0	0	19	0	0	0	0	0	58	0	0	0
FUN_002926	26	1	3	0	0	9	2	4	0	1	0	1	5	14	0	2	1	5	3	3	2	1	0	3	21	0	35	3	0	0	3	0	2	0	0	2	3	0	0	1
FUN_003167	46	0	1	0	1	1	3	4	0	1	0	6	18	16	1	0	4	2	0	24	4	1	1	0	3	0	9	1	0	0	1	1	19	0	0	3	9	0	0	1
FUN_003388	82	0	2	3	0	10	9	0	6	0	0	47	5	0	0	4	0	0	0	0	0	0	5	4	21	0	73	2	0	0	0	0	0	0	8	2	0	0	0	0
FUN_003400	35	0	0	0	6	0	2	0	0	0	0	14	0	3	0	0	1	0	0	11	0	0	0	0	5	0	20	0	0	0	3	0	7	0	0	5	21	4	0	7
FUN_003454	0	0	16	45	0	302	229	5	0	0	0	0	96	0	62	0	4	0	0	0	0	83	5	0	11	0	247	16	0	0	3	0	3	227	23	121	0	0	0	0
FUN_003186	76	4	3	0	1	0	6	0	0	0	0	5	9	15	0	0	1	7	0	76	0	0	0	7	10	3	73	3	0	3	16	4	28	0	0	20	26	0	0	0
FUN_003195	179	12	5	3	2	10	20	2	0	0	0	21	22	24	0	0	4	41	0	137	3	4	0	13	33	1	154	5	3	1	37	14	34	0	0	34	39	0	0	8
FUN_003340	104	2	5	3	0	7	6	1	0	0	0	19	9	10	0	0	3	9	0	67	0	3	0	6	18	1	85	5	0	1	16	4	35	0	0	15	28	0	0	5
FUN_003352	48	0	2	0	1	2	0	0	0	0	1	0	15	10	0	0	0	8	0	29	4	0	0	6	8	0	68	2	0	0	12	0	18	0	0	4	0	0	0	4
FUN_003353	33	0	0	0	0	1	0	0	0	2	0	13	6	4	0	0	2	2	0	36	2	0	0	1	2	0	33	0	0	0	16	0	9	0	0	5	13	0	0	2
FUN_003365	32	0	2	0	0	2	0	0	0	2	0	4	10	5	0	0	2	0	0	60	3	0	0	1	1	0	31	2	0	0	17	0	17	0	0	10	4	0	0	1
FUN_003382	58	0	0	6	0	8	0	1	0	5	0	8	7	7	15	5	9	0	0	17	0	0	0	12	4	0	55	0	0	0	12	10	35	0	0	13	0	0	0	0
FUN_003444	12	0	0	23	0	52	11	0	24	0	0	0	40	0	0	0	0	0	20	0	0	24	0	0	0	0	54	0	0	0	0	6	0	11	38	25	0	0	0	0
FUN_003500	55	0	2	0	0	0	1	4	0	12	0	12	0	0	4	8	5	9	12	16	0	0	24	5	11	1	0	2	0	1	14	0	16	0	0	0	26	0	23	0
FUN_003508	125	9	7	13	1	10	28	10	4	7	31	42	29	13	21	15	2	9	3	69	7	0	9	13	11	3	49	7	12	3	12	11	58	0	0	16	45	59	31	2
FUN_003535	54	13	0	0	0	0	0	0	3	0	0	0	0	18	0	11	0	0	0	18	0	0	0	0	17	0	0	0	0	0	9	1	6	0	0	0	0	0	6	0
FUN_003549	31	16	7	2	0	13	13	5	0	11	16	4	16	32	3	2	5	10	63	18	7	16	6	2	5	12	23	7	6	12	2	3	12	3	3	16	16	0	8	7
FUN_003478	892	487	945	103	1524	112	1198	1250	955	2726	1450	1227	2029	1002	1115	1416	1096	547	1097	703	1056	1931	1265	646	901	929	127	945	1423	929	1335	2473	1429	1668	94	1370	950	1288	1676	440
FUN_003614	60	0	8	0	0	0	0	1	0	0	0	2	0	0	0	0	0	11	0	0	0	0	0	4	32	0	0	8	0	0	5	0	0	0	0	0	24	0	0	0
FUN_003622	100	36	33	53	5	81	16	39	77	56	24	41	3	43	21	73	34	35	20	20	26	4	55	19	60	19	68	33	8	19	23	13	25	3	52	25	25	12	24	20
FUN_003640	61	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	14	0	0	0	0	0	9	11	0	0	0	0	0	16	0	0	0	0	0	13	0	0	0
FUN_003742	34	0	0	1	1	1	0	0	0	0	0	0	0	6	6	0	0	1	0	13	3	0	0	7	11	0	23	0	1	0	1	2	3	0	0	0	0	0	0	0
FUN_003783	38	12	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	11	0	0	0	0	14	0	22	6	0	0	0	0	5	0	0	0	0	0	0	6
FUN_003821	14	0	0	6	0	6	8	0	16	7	0	0	14	0	4	0	3	0	0	0	0	6	0	8	0	0	3	0	0	0	5	16	2	11	7	6	0	0	0	0
FUN_003882	214	56	133	39	173	227	224	129	307	272	105	113	52	139	38	85	165	95	109	137	193	67	118	321	172	53	272	133	30	53	211	84	106	108	78	85	54	0	52	89
FUN_003934	30	0	0	0	0	10	0	13	0	6	0	22	9	0	0	11	0	7	0	0	12	12	5	17	44	0	43	0	0	0	20	4	14	0	0	0	0	0	0	14
FUN_003944	82	0	5	0	3	1	3	0	0	0	0	13	15	6	0	0	2	0	0	31	2	0	1	4	23	0	20	5	0	0	5	3	14	0	2	5	31	0	7	7
FUN_003977	21	0	20	0	7	19	13	0	0	23	0	35	39	4	21	0	18	4	0	19	27	7	0	26	39	0	28	20	0	0	18	35	0	0	0	27	24	0	0	0
FUN_004067	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	24	6	0	0	0	0	0	12	0	0	0	23	0	12	0	0	17	0	0	0	11
FUN_004105	38	0	5	0	5	0	0	0	209	0	0	76	10	0	0	0	0	0	0	0	0	0	0	86	0	0	12	5	0	0	0	0	0	28	0	6	0	0	0	0
FUN_004307	4824	5968	4077	0	4694	1119	11955	2725	4037	6858	4649	3173	1637	8612	5223	3146	4701	2948	2646	6519	12601	1700	1824	5733	3250	4937	0	4077	2205	4937	5202	8975	6154	0	0	1384	3453	4910	4567	4049
FUN_004339	237	46	13	13	28	37	29	35	51	84	50	95	131	42	24	103	46	63	59	143	18	27	111	39	54	13	214	13	53	13	69	41	96	11	65	32	53	16	74	17
FUN_004380	1	1	0	2	0	4	4	7	1	9	2	1	2	0	2	2	19	3	0	0	0	0	2	7	1	0	26	0	0	0	11	0	16	0	1	0	13	0	3	0
FUN_004478	14	3	0	0	0	0	5	0	0	0	8	0	20	1	0	0	1	9	0	10	3	0	0	7	1	0	17	0	0	0	2	0	38	0	0	17	10	0	37	0
FUN_004504	42	0	0	0	4	9	6	12	0	0	0	8	8	4	0	0	0	13	0	19	4	0	0	3	15	0	30	0	6	0	9	12	17	0	26	6	7	0	9	10
FUN_004609	27	15	0	52	0	197	0	25	44	0	28	5	32	59	0	0	0	0	0	22	0	33	58	8	3	0	184	0	0	0	3	27	0	20	97	60	0	0	38	0
FUN_004645	40	0	2	0	0	0	0	0	0	0	0	7	12	0	0	0	2	8	0	10	0	0	0	6	4	0	18	2	5	0	7	0	8	0	0	0	14	0	0	6
FUN_004649	29	0	9	0	0	0	0	0	0	0	0	21	16	10	0	0	0	0	0	0	0	0	5	0	14	0	37	9	0	0	12	0	0	0	0	14	22	4	0	3
FUN_004654	28	28	0	0	124	68	15	0	75	0	0	0	0	37	17	0	0	0	0	29	37	0	0	84	0	10	59	0	42	10	4	54	12	0	11	0	0	0	0	0
FUN_004655	187	131	24	49	350	283	181	14	275	22	62	82	17	255	45	0	23	6	0	133	280	0	0	262	26	52	290	24	124	52	20	260	66	0	83	0	0	0	0	12
FUN_004792	111	24	40	23	27	31	128	43	62	45	93	100	97	28	30	23	37	25	48	31	60	31	30	69	41	54	69	40	43	54	36	43	126	47	34	31	33	0	73	8
FUN_004802	41	0	14	29	5	43	51	10	16	64	7	36	24	15	102	25	10	3	0	10	0	29	33	16	0	0	34	14	6	0	24	10	52	18	65	12	0	48	0	0
FUN_004950	111	9	11	3	9	12	5	2	3	2	2	47	24	0	3	2	2	33	7	9	6	1	2	21	34	0	64	11	2	0	10	11	7	3	0	10	104	0	4	4
FUN_004944	0	0	28	9	6	50	9	30	0	19	0	0	3	0	0	0	31	0	0	0	0	7	0	0	21	0	43	28	0	0	20	0	0	0	14	2	0	0	0	3
FUN_004943	104	6	12	10	8	25	12	6	7	16	16	23	22	13	5	30	5	13	45	35	16	11	40	7	9	0	83	12	7	0	11	9	50	0	12	33	23	0	16	4
FUN_005021	24	0	9	22	2	4	35	13	9	66	4	5	10	5	10	3	20	0	19	45	30	5	1	19	16	21	38	9	4	21	17	31	12	4	5	4	20	0	0	19
FUN_005043	57	0	11	0	0	2	11	0	0	4	0	0	26	0	0	0	0	13	16	29	0	0	0	0	14	2	43	11	0	2	8	0	14	0	14	26	18	0	0	12
FUN_005128	71	12	12	766	51	22	100	12	149	51	74	100	36	6	174	134	21	3	0	62	21	4	140	27	44	26	53	12	226	26	71	178	24	16	137	0	0	48	21	5
FUN_005146	388	0	0	9	0	61	11	0	340	102	2	243	41	0	3	0	253	5	82	0	5	13	0	776	0	0	25	0	10	0	162	0	0	49	0	65	0	0	0	3
FUN_005151	454	171	20	241	204	1620	31	38	475	103	238	455	404	356	0	11	474	20	101	314	453	93	10	1096	26	121	1628	20	70	121	391	192	64	462	162	571	17	26	38	35
FUN_005164	54	22	5	0	0	0	0	8	22	8	17	25	0	7	0	0	13	10	0	27	6	20	5	0	12	0	17	5	7	0	10	0	33	0	0	10	25	0	0	3
FUN_005206	181	17	14	3	2	15	23	0	0	3	0	27	30	33	0	0	7	4	0	119	2	0	0	3	17	0	117	14	0	0	34	6	16	10	0	41	55	0	0	0
FUN_005309	117	4	7	3	2	4	5	1	0	4	3	12	15	13	0	2	3	13	0	61	3	2	0	1	21	7	86	7	1	7	21	4	48	0	0	27	27	1	0	7
FUN_005345	79	27	35	8	4	18	43	51	33	27	28	49	24	27	8	27	25	28	10	98	10	11	40	23	74	7	120	35	13	7	52	21	94	61	37	21	58	0	10	12
FUN_005434	30	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	11	0	0	23	5	5	0	0	0	0	0	0	0	3	0	0	8	17	0	0	0
FUN_005444	49	0	6	0	0	4	22	0	0	0	0	19	13	8	0	0	0	0	0	38	0	5	0	11	16	0	17	6	0	0	3	9	12	0	2	12	27	0	0	3
FUN_005483	0	0	0	14	6	52	7	0	0	10	3	0	37	5	14	0	13	0	0	2	0	14	0	0	0	0	16	0	6	0	16	1	1	19	27	26	0	0	1	0
FUN_005498	14	0	3	14	0	52	0	0	4	0	0	0	9	7	0	0	0	0	0	0	0	13	0	16	0	0	25	3	0	0	0	0	0	33	23	15	0	0	0	0
FUN_005494	6	0	0	15	0	2	0	0	0	0	0	2	1	0	9	30	0	0	0	4	0	0	5	0	11	0	14	0	0	0	0	5	0	0	7	0	0	9	0	0
FUN_005529	25	83	214	59	50	474	192	168	96	123	59	0	82	170	56	54	97	212	59	83	85	157	84	70	206	103	475	214	51	103	91	22	67	150	138	141	44	15	62	65
FUN_000009	111	41	58	26	3	84	32	64	138	54	0	84	8	79	10	42	35	41	16	34	21	3	34	80	50	36	136	58	2	36	41	4	51	0	18	4	26	0	44	13
FUN_000133	47	3	2	1	1	2	4	1	1	0	3	15	6	6	1	1	1	4	1	51	6	1	1	5	6	2	29	2	1	2	3	2	19	1	1	7	16	1	3	2
FUN_000141	85	2	3	1	1	2	3	2	0	0	2	19	4	15	1	1	0	6	0	78	9	0	1	8	8	3	30	3	2	3	3	3	48	0	1	5	27	1	4	4
FUN_000142	136	3	3	1	0	3	3	2	1	0	4	27	8	24	1	2	0	9	0	124	10	0	1	9	17	3	52	3	2	3	3	4	60	0	0	7	35	1	4	5
FUN_000149	99	4	5	1	1	2	5	2	0	0	2	28	7	16	2	2	0	6	0	94	6	0	1	5	13	3	45	5	2	3	5	3	47	0	1	10	31	0	3	5
FUN_000278	0	7	21	0	0	0	19	23	0	38	30	0	33	11	8	62	17	14	42	26	6	14	81	0	16	15	0	21	9	15	26	6	17	10	0	16	2	0	14	5
FUN_000272	18	0	0	0	13	44	0	0	0	0	0	6	0	4	0	0	0	7	0	10	0	0	0	2	7	0	60	0	0	0	5	0	13	9	0	10	13	0	0	0
FUN_000273	11	0	49	30	16	127	12	12	6	107	92	3	71	51	91	10	24	23	35	59	27	114	17	9	7	20	153	49	20	20	41	134	94	21	70	115	0	68	20	2
FUN_000280	3	64	103	0	47	0	27	111	0	101	9	0	32	42	11	53	77	102	26	47	56	106	58	0	167	41	13	103	54	41	121	47	46	54	0	79	30	0	25	55
FUN_000316	64	181	0	58	256	2279	0	0	109	128	45	0	30	324	0	0	200	0	0	360	253	33	0	814	0	28	2173	0	50	28	159	129	121	212	78	168	0	0	57	0
FUN_000349	46	0	4	0	0	3	0	0	0	0	0	0	15	1	1	0	1	3	0	21	0	0	0	0	2	0	51	4	0	0	5	2	10	1	0	6	18	0	0	5
FUN_000453	23	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	11	0	0	0	6	4	0	22	0	0	0	0	7	7	0	0	0	0	0	0	0
FUN_000487	15	7	9	8	0	0	1	6	17	25	25	8	5	5	5	6	0	7	0	12	7	20	15	5	28	2	15	9	2	2	2	4	17	6	27	0	13	0	6	0
FUN_000514	39	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	2	3	0	5	7	2	0	0	7	0	31	0	0	0	4	3	11	0	0	5	36	0	0	0
FUN_000557	2	0	32	45	3	14	51	0	18	8	15	21	4	8	28	11	12	5	5	0	0	16	14	19	15	12	7	32	11	12	15	21	18	30	14	2	0	23	8	21
FUN_000577	122	39	110	45	109	62	113	155	65	118	57	70	124	77	8	41	24	21	56	72	75	79	69	180	147	71	199	110	50	71	98	123	25	79	31	114	79	42	58	47
FUN_000603	0	0	0	4	0	111	46	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	19	0	0	152	0	0	0	0	0	0	0	14	0	0	0	0	0
FUN_000881	19	19	0	0	0	0	0	2	0	0	0	0	0	9	0	0	5	0	0	27	0	0	0	0	0	0	27	0	0	0	5	0	19	0	0	24	0	0	0	0
