gene_id	1A1	1A10	1A12	1A2	1A8	1A9	1B1	1B10	1B2	1B5	1B9	1C10	1C4	1D10	1D3	1D4	1D6	1D8	1D9	1E1	1E3	1E5	1E9	1F11	1F4	1F8	1G5	1H11	1H12	1H6	1H7	1H8	2B2	2B3	2C1	2C2	2D2	2E2	2F1	2G1
FUN_002363	0	0	31	0	4	0	9	38	12	11	0	0	58	6	0	41	0	17	0	0	0	52	40	0	31	0	26	31	12	0	13	6	0	57	0	51	38	16	0	4
FUN_002411	0	0	18	0	0	0	0	28	0	0	0	0	31	0	0	46	0	37	0	0	0	30	33	0	19	0	0	18	0	0	0	0	0	35	0	23	70	0	0	18
FUN_002413	0	0	198	0	51	0	103	265	0	128	21	0	382	0	82	303	202	198	127	0	0	259	315	0	254	24	31	198	78	24	138	72	26	191	0	268	299	0	0	144
FUN_002415	0	0	292	0	0	0	0	551	0	0	0	0	662	0	0	382	0	144	0	0	0	583	494	0	357	0	0	292	0	0	0	0	0	557	0	460	764	0	0	119
FUN_002416	0	0	50	0	0	0	0	37	0	0	0	0	13	0	0	16	0	22	0	0	0	10	33	0	12	0	0	50	0	0	0	0	0	41	0	28	0	0	0	9
FUN_002418	0	0	596	0	0	0	0	339	0	363	0	0	449	0	0	295	213	385	124	0	0	239	238	0	543	0	0	596	0	0	251	0	0	532	0	478	229	0	0	369
FUN_002419	0	0	42	0	0	0	0	24	0	21	0	0	12	0	0	0	40	34	0	0	0	21	13	0	26	0	0	42	0	0	30	0	0	67	0	97	0	0	0	63
FUN_002409	12	0	117	23	91	15	0	118	19	3	3	4	53	3	0	39	8	49	0	4	4	54	78	16	147	0	48	117	12	0	7	22	0	151	22	91	37	6	0	72
FUN_002437	0	0	23	0	0	0	10	2	0	8	0	0	6	0	0	0	11	13	0	0	0	16	13	0	21	0	0	23	0	0	4	0	0	37	0	7	0	0	0	24
FUN_002532	0	0	28	0	0	11	0	34	0	2	0	0	26	0	0	21	0	8	0	0	0	48	7	0	31	0	13	28	0	0	4	0	0	37	1	71	0	0	0	10
