rank1,rank2,shared_count,jaccard_similarity,percent_overlap
5,8,58,0.4084507042253521,57.99999999999999
5,10,59,0.41843971631205673,59.0
5,12,34,0.20481927710843373,34.0
5,15,50,0.3333333333333333,50.0
5,20,12,0.06382978723404255,12.0
5,25,4,0.02040816326530612,4.0
5,35,3,0.015228426395939087,3.0
5,45,1,0.005025125628140704,1.0
5,55,4,0.02040816326530612,4.0
5,65,7,0.03626943005181347,7.000000000000001
5,75,8,0.041666666666666664,8.0
8,10,57,0.3986013986013986,56.99999999999999
8,12,44,0.28205128205128205,44.0
8,15,52,0.35135135135135137,52.0
8,20,4,0.02040816326530612,4.0
8,25,1,0.005025125628140704,1.0
8,35,1,0.005025125628140704,1.0
8,45,0,0.0,0.0
8,55,0,0.0,0.0
8,65,3,0.015228426395939087,3.0
8,75,4,0.02040816326530612,4.0
10,12,28,0.16279069767441862,28.000000000000004
10,15,40,0.25,40.0
10,20,5,0.02564102564102564,5.0
10,25,2,0.010101010101010102,2.0
10,35,5,0.02564102564102564,5.0
10,45,4,0.02040816326530612,4.0
10,55,1,0.005025125628140704,1.0
10,65,5,0.02564102564102564,5.0
10,75,6,0.030927835051546393,6.0
12,15,36,0.21951219512195122,36.0
12,20,9,0.04712041884816754,9.0
12,25,6,0.030927835051546393,6.0
12,35,5,0.02564102564102564,5.0
12,45,2,0.010101010101010102,2.0
12,55,2,0.010101010101010102,2.0
12,65,4,0.02040816326530612,4.0
12,75,3,0.015228426395939087,3.0
15,20,23,0.12994350282485875,23.0
15,25,10,0.05263157894736842,10.0
15,35,7,0.03626943005181347,7.000000000000001
15,45,5,0.02564102564102564,5.0
15,55,4,0.02040816326530612,4.0
15,65,6,0.030927835051546393,6.0
15,75,7,0.03626943005181347,7.000000000000001
20,25,57,0.3986013986013986,56.99999999999999
20,35,39,0.2422360248447205,39.0
20,45,14,0.07526881720430108,14.000000000000002
20,55,21,0.11731843575418995,21.0
20,65,15,0.08108108108108109,15.0
20,75,22,0.12359550561797752,22.0
25,35,32,0.19047619047619047,32.0
25,45,18,0.0989010989010989,18.0
25,55,20,0.1111111111111111,20.0
25,65,14,0.07526881720430108,14.000000000000002
25,75,18,0.0989010989010989,18.0
35,45,31,0.1834319526627219,31.0
35,55,29,0.1695906432748538,28.999999999999996
35,65,19,0.10497237569060773,19.0
35,75,21,0.11731843575418995,21.0
45,55,40,0.25,40.0
45,65,31,0.1834319526627219,31.0
45,75,22,0.12359550561797752,22.0
55,65,48,0.3157894736842105,48.0
55,75,37,0.22699386503067484,37.0
65,75,53,0.36054421768707484,53.0
