Rank,mse,rmse,relative_error,variance_explained,gene_sparsity,sample_sparsity,time_sparsity,weight_max,weight_min,weight_ratio,weight_cv,converged,n_iterations,final_loss
5,1.0952747771554148,1.0465537621906553,0.8532875735074735,0.2706551947697393,0.15017118262740878,0.38571428571428573,0.0,1.0,1.0,1.0,0.0,1.0,331.0,1257903.4504967853
8,0.9601238722374165,0.9798591083606951,0.7989093643905676,0.36063697186501986,0.13520982099188106,0.4375,0.0,1.0,1.0,1.0,0.0,1.0,679.0,1104318.1652064049
10,0.8768762163031308,0.936416689462085,0.7634894198559482,0.4160981234605683,0.10651472170595716,0.4928571428571429,0.025,1.0,1.0,1.0,0.0,1.0,343.0,1011288.896433278
12,0.8079974324222097,0.8988867739722337,0.7328901217795237,0.46198171595125204,0.12395252535133196,0.5535714285714286,0.0,1.0,1.0,1.0,0.0,1.0,477.0,932051.8992902903
15,0.7191018522688689,0.8479987336481517,0.6913995323636537,0.5211493508495639,0.1739411131761714,0.49047619047619045,0.0,1.0,1.0,1.0,0.0,1.0,892.0,829910.129413982
20,0.6052862598577785,0.7780014523494018,0.634328589169577,0.5969407665676336,0.17677296292673383,0.4928571428571429,0.0,1.0,1.0,1.0,0.0,1.0,1084.0,701319.0459749202
25,0.5120327488686246,0.7155646364016494,0.5834219266527164,0.6590349181458304,0.19327007727672896,0.46,0.02,1.0,1.0,1.0,0.0,1.0,1531.0,594816.3340157412
35,0.37001176307941197,0.6082859221446868,0.49595428085713517,0.7536058167841648,0.24158410307290284,0.4969387755102041,0.0,1.0,1.0,1.0,0.0,1.0,1640.0,432963.58963211556
45,0.26747357139418704,0.5171784715107417,0.4216715652542949,0.8218858247884113,0.38693142913039225,0.5412698412698412,0.005555555555555556,1.0,1.0,1.0,0.0,1.0,2957.0,314820.478795418
55,0.1954749617318873,0.44212550450283605,0.3604785655094374,0.869830619709298,0.49945488337349825,0.5097402597402597,0.0,1.0,1.0,1.0,0.0,1.0,3102.0,232032.41738866866
65,0.13994308127216176,0.3740896700955023,0.3050068504859582,0.9068107837774139,0.6709832278647695,0.510989010989011,0.0,1.0,1.0,1.0,0.0,1.0,3857.0,167549.9446197874
75,0.0956769310709544,0.30931687808937036,0.2521955946126572,0.9362881986866948,0.749639049202778,0.5295238095238095,0.006666666666666667,1.0,1.0,1.0,0.0,1.0,4760.0,116599.60652343062
