Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
POR-262-TP2_R2_001	POR-262-TP2_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47015136.0	6.2 Gbp	0.0	15-135	20.0	83.11655468833644	133.55928337631525	135	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	warn
POR-262-TP3_R1_001	POR-262-TP3_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46610673.0	6.2 Gbp	0.0	15-135	20.0	80.07477990321539	133.46367616275353	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
POR-262-TP3_R2_001	POR-262-TP3_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46610673.0	6.2 Gbp	0.0	15-135	20.0	79.51028748249776	133.48442488697813	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	warn
POR-262-TP4_R1_001	POR-262-TP4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47364179.0	6.2 Gbp	0.0	15-135	19.0	83.4549841114474	131.76923564958236	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
POR-262-TP4_R2_001	POR-262-TP4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47364179.0	6.2 Gbp	0.0	15-135	19.0	83.34774550709858	131.88949589942223	135	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	warn
POR-69-TP1_R1_001	POR-69-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27676602.0	3.7 Gbp	0.0	15-135	20.0	81.40102732345579	133.84691737085353	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
POR-69-TP1_R2_001	POR-69-TP1_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27676602.0	3.7 Gbp	0.0	15-135	19.0	81.11159303738992	133.85024100863248	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	warn
POR-69-TP2_R1_001	POR-69-TP2_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30469312.0	4 Gbp	0.0	15-135	20.0	81.704418888226	133.7719714183241	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
POR-69-TP2_R2_001	POR-69-TP2_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30469312.0	4 Gbp	0.0	15-135	19.0	81.76799387386605	133.7759565427667	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	warn
POR-69-TP3_R1_001	POR-69-TP3_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44913527.0	5.9 Gbp	0.0	15-135	20.0	81.63950488511374	133.01379684565856	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
POR-69-TP3_R2_001	POR-69-TP3_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44913527.0	5.9 Gbp	0.0	15-135	20.0	81.19061643186352	133.04653174977776	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	warn
POR-69-TP4_R1_001	POR-69-TP4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35747686.0	4.7 Gbp	0.0	15-135	20.0	79.11078500677033	133.79666323017383	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
POR-69-TP4_R2_001	POR-69-TP4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35747686.0	4.7 Gbp	0.0	15-135	20.0	79.01259310419549	133.81118693948468	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	warn
POR-72-TP1_R1_001	POR-72-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35427019.0	4.7 Gbp	0.0	15-135	20.0	82.6806880520045	133.65304283716335	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
POR-72-TP1_R2_001	POR-72-TP1_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35427019.0	4.7 Gbp	0.0	15-135	20.0	82.33015394416124	133.66932936129908	135	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	warn
POR-72-TP2_R1_001	POR-72-TP2_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36518777.0	4.8 Gbp	0.0	15-135	19.0	82.16643395821981	133.58781834342372	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
POR-72-TP2_R2_001	POR-72-TP2_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36518777.0	4.8 Gbp	0.0	15-135	19.0	82.35872585424366	133.57667730767653	135	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	warn
POR-72-TP3_R1_001	POR-72-TP3_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33295631.0	4.4 Gbp	0.0	15-135	20.0	82.96032592323364	133.39022870598248	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
POR-72-TP3_R2_001	POR-72-TP3_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33295631.0	4.4 Gbp	0.0	15-135	19.0	82.69377833678807	133.41976921836982	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	warn
POR-72-TP4_R1_001	POR-72-TP4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40468095.0	5.4 Gbp	0.0	15-135	20.0	79.49655894658041	133.80242119131134	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
POR-72-TP4_R2_001	POR-72-TP4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40468095.0	5.4 Gbp	0.0	15-135	20.0	79.55775299114825	133.7849883717037	135	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	warn
