Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ACR-139-TP1	34.0553	0.934865	4414928490.0	35426094.0	0.41108	97.73903553629167	9.566095123175524						
ACR-139-TP1_R1_001								63.008386468076104	40.0	133.2829639079036	135	18.181818181818183	17713047.0
ACR-139-TP1_R2_001								63.34213076651733	41.0	133.32861048694784	135	18.181818181818183	17713047.0
ACR-139-TP2	28.436899999999998	0.933855	4810106230.0	38568828.0	0.421487	97.73626604087877	8.786998051246377						
ACR-139-TP2_R1_001								58.846293133187835	41.0	133.53166800920164	135	18.181818181818183	19284414.0
ACR-139-TP2_R2_001								59.33404846824378	42.0	133.56336381286982	135	18.181818181818183	19284414.0
ACR-139-TP3	33.8298	0.941882	4495123499.0	35917252.0	0.409253	98.20473908023021	12.775743476595627						
ACR-139-TP3_R1_001								66.99659349572508	40.0	132.85508301136178	135	18.181818181818183	17958626.0
ACR-139-TP3_R2_001								66.94494052889716	41.0	132.89077109796708	135	18.181818181818183	17958626.0
ACR-139-TP4	32.7528	0.939832	5055371838.0	40484212.0	0.411427	97.7001112671115	12.408517636631142						
ACR-139-TP4_R1_001								64.87448625987511	40.0	132.84503633169393	135	18.181818181818183	20242106.0
ACR-139-TP4_R2_001								65.21921952661592	41.0	132.88577853509906	135	18.181818181818183	20242106.0
ACR-145-TP1	40.436299999999996	0.940986	5362905288.0	43165798.0	0.416404	97.26601146061533	16.443517421864943						
ACR-145-TP1_R1_001								72.77684041121782	41.0	131.98960867119843	135	18.181818181818183	21582899.0
ACR-145-TP1_R2_001								73.50329586983577	42.0	132.06642851824492	135	18.181818181818183	21582899.0
ACR-145-TP2	35.9191	0.937774	4410278501.0	35388754.0	0.427049	97.94454787243612	12.07140278856479						
ACR-145-TP2_R1_001								66.51817030862733	42.0	132.8555359140364	135	18.181818181818183	17694377.0
ACR-145-TP2_R2_001								67.23136937025097	43.0	132.92694667916254	135	18.181818181818183	17694377.0
ACR-145-TP3	55.588300000000004	0.948964	5738225042.0	46092124.0	0.400704	98.22924844512333	20.763911286687595						
ACR-145-TP3_R1_001								84.37253955695117	39.0	131.15739339762254	135	18.181818181818183	23046062.0
ACR-145-TP3_R2_001								85.08443747819582	40.0	131.21455817484133	135	18.181818181818183	23046062.0
ACR-145-TP4	48.633700000000005	0.945291	5344753579.0	42754124.0	0.40518	98.2210765912198	15.78147649691827						
ACR-145-TP4_R1_001								78.27798597918962	40.0	132.22070736380894	135	18.181818181818183	21377062.0
ACR-145-TP4_R2_001								78.679777871671	40.0	132.26679573647678	135	18.181818181818183	21377062.0
ACR-150-TP1	54.318999999999996	0.943052	5636630551.0	45895450.0	0.422307	97.08702025584098	22.30292596404065						
ACR-150-TP1_R1_001								83.32696490143573	41.0	130.12501108497682	135	18.181818181818183	22947725.0
ACR-150-TP1_R2_001								84.08536071605185	42.0	130.3286273911684	135	18.181818181818183	22947725.0
ACR-150-TP2	33.0968	0.940639	4583850471.0	36614632.0	0.415541	97.85733185020234	11.524344711428215						
ACR-150-TP2_R1_001								65.45172841630232	41.0	133.0719545672342	135	18.181818181818183	18307316.0
ACR-150-TP2_R2_001								66.33535479824509	41.0	133.10856157177818	135	18.181818181818183	18307316.0
ACR-150-TP3	32.1363	0.937748	4404787070.0	35245446.0	0.409697	97.83155609411962	10.28685586875321						
ACR-150-TP3_R1_001								61.67732548564954	40.0	133.25132063870038	135	18.181818181818183	17622723.0
ACR-150-TP3_R2_001								62.60307133228002	41.0	133.2888976351725	135	18.181818181818183	17622723.0
ACR-150-TP4	34.102199999999996	0.939605	5287192623.0	42206256.0	0.407028	98.09767071624485	10.41485259360617						
ACR-150-TP4_R1_001								67.47530353093026	40.0	133.3073219287681	135	18.181818181818183	21103128.0
ACR-150-TP4_R2_001								67.33232920460408	41.0	133.33507757712505	135	18.181818181818183	21103128.0
ACR-173-TP1	33.1364	0.945174	4555221262.0	36607956.0	0.401633	97.65112588885225	18.231861631005167						
ACR-173-TP1_R1_001								63.5639610155358	39.0	131.6187329333547	135	18.181818181818183	18303978.0
ACR-173-TP1_R2_001								64.72799435700108	40.0	131.67723327683194	135	18.181818181818183	18303978.0
ACR-173-TP2	25.1765	0.935147	3994327682.0	32061424.0	0.423302	97.7432971380107	10.495916974933586						
ACR-173-TP2_R1_001								55.03536977962639	41.0	133.19883589699572	135	18.181818181818183	16030712.0
ACR-173-TP2_R2_001								56.15620741725867	42.0	133.24552577577342	135	18.181818181818183	16030712.0
ACR-173-TP3	39.1781	0.944882	5181039831.0	41518124.0	0.404249	96.82564062547154	16.06629413852373						
ACR-173-TP3_R1_001								72.46665499869658	39.0	132.02910767355482	135	18.181818181818183	20759062.0
ACR-173-TP3_R2_001								72.72460485876755	40.0	132.10520465712756	135	18.181818181818183	20759062.0
ACR-173-TP4	43.8619	0.946933	4264146649.0	34446960.0	0.415801	97.95436737875491	21.555186844326734						
ACR-173-TP4_R1_001								74.2428954240658	41.0	130.66129643951163	135	18.181818181818183	17223480.0
ACR-173-TP4_R2_001								75.15789459021245	41.0	130.78201315878093	135	18.181818181818183	17223480.0
ACR-186-TP1	56.2866	0.938055	4028460962.0	33086282.0	0.458471	96.49633164823464	23.12173092516287						
ACR-186-TP1_R1_001								84.86341158596878	45.0	129.6894855094326	135	27.27272727272727	16543141.0
ACR-186-TP1_R2_001								85.95506375809286	46.0	129.89392377179158	135	27.27272727272727	16543141.0
