Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
1G5_R1_001	21757242.0	9727892.0	14.0	1041388.0	4657323.0	13414123.0	11190142.0	50.98324847389387	0.6	0.7	7.8	16583.0	18534.0	10878796.0	10843315.0	998398210.0	42675276.0	175617304.0	645340815.0	158327257.0
1H11_R1_001	19937438.0	7878074.0	12.0	901687.0	3884045.0	12440494.0	10154940.0	52.507771042599124	0.6	0.6	8.2	11176.0	12175.0	9947264.0	9966811.0	927121530.0	37970452.0	159910168.0	609876395.0	140108741.0
1H2_R1_001	23605198.0	10082260.0	12.0	1179446.0	5039543.0	15355228.0	10504839.0	53.41473424655885	0.6	0.7	8.3	16807.0	18016.0	11798095.0	11772268.0	1102592494.0	44192297.0	192429725.0	717911386.0	170677166.0
1H3_R1_001	24126112.0	7361540.0	20.0	1085823.0	4804136.0	17936169.0	7744589.0	61.49562549842615	0.6	0.6	10.2	9697.0	10777.0	12036198.0	12069420.0	1130458716.0	39232241.0	190065670.0	759247266.0	157319652.0
1H5_R1_001	21954966.0	9817988.0	21.0	979200.0	4704180.0	14531995.0	9124049.0	53.68355720344593	0.6	0.7	8.8	14703.0	17189.0	10980809.0	10942244.0	994016903.0	40897003.0	170151898.0	653293027.0	150356603.0
1H6_R1_001	21131314.0	7140096.0	29.0	989733.0	4303539.0	18786996.0	10621785.0	54.33164850560619	0.6	0.6	12.3	7208.0	7913.0	10548243.0	10567921.0	992135980.0	38893195.0	166142802.0	667705281.0	134207629.0
1H9_R1_001	24067987.0	8500670.0	25.0	1060210.0	4504280.0	16809650.0	8724941.0	58.2850324643544	0.6	0.6	9.4	10529.0	11097.0	12021160.0	12025176.0	1122404978.0	41293598.0	190199487.0	747946312.0	161885039.0
2A3_R1_001	19848121.0	6476237.0	33.0	834445.0	3899963.0	16543613.0	7489268.0	58.69858795977693	0.5	0.6	11.7	7277.0	8961.0	9916798.0	9915052.0	930996440.0	33813626.0	156789755.0	627472108.0	125456556.0
2C2_R1_001	23778303.0	9118825.0	11.0	1119480.0	4845569.0	15529126.0	9620230.0	55.9261066974105	0.6	0.7	8.5	14691.0	15513.0	11858091.0	11889997.0	1110539087.0	42517358.0	191317889.0	731561117.0	166165906.0
2D1_R1_001	23193848.0	8285951.0	3.0	1038004.0	4751090.0	17338471.0	6670984.0	60.795208318529134	0.6	0.7	10.0	13289.0	14659.0	11581577.0	11584320.0	1079748200.0	38150783.0	183430569.0	716884450.0	156305616.0
2D2_R1_001	17677818.0	5686497.0	20.0	707033.0	3168458.0	14079126.0	6675752.0	58.84746528694493	0.5	0.6	10.9	5525.0	6232.0	8832976.0	8833065.0	830728571.0	30040067.0	139762691.0	558100940.0	114910323.0
2G2_R1_001	26451900.0	8127370.0	28.0	1088373.0	4780673.0	20248606.0	9050742.0	60.62776237604519	0.5	0.6	10.6	9452.0	10055.0	13193453.0	13238912.0	1238369019.0	43630012.0	209398023.0	831393233.0	171460111.0
2H3_R1_001	18852699.0	5202930.0	6.0	877595.0	3810762.0	17357119.0	8048163.0	58.7242123921062	0.6	0.6	12.8	7405.0	7952.0	9405981.0	9431355.0	884524305.0	32103792.0	148704491.0	595794175.0	117980163.0
39--2E2_R1_001	22802024.0	8923698.0	6.0	1102118.0	4917437.0	14193743.0	7087421.0	58.74820289611692	0.6	0.7	8.1	15661.0	17129.0	11372382.0	11396846.0	1077310212.0	38813143.0	186542714.0	709243625.0	161310575.0
6--1E3_R1_001	28414629.0	9309041.0	11.0	1379967.0	6194728.0	22394477.0	10823022.0	58.530515323268574	0.6	0.7	10.9	14403.0	16293.0	14175941.0	14207981.0	1325175058.0	48546692.0	223143644.0	888615390.0	183446852.0
