,Component_1,Component_2,Component_3,Component_4,Component_5,Species,Sample_ID
apul_ACR.139,-0.1901800590321811,0.19151920095473762,-0.09898746698647089,0.12580563910760664,0.04014568545087511,apul,ACR.139
apul_ACR.145,0.18316827160232033,0.12214123623383373,-0.1983984720931024,0.08265369937031947,0.2201548423473567,apul,ACR.145
apul_ACR.150,0.085777951968095,0.3055251142373569,-0.22518568134797243,0.03810683210475391,0.29235358951669105,apul,ACR.150
apul_ACR.173,0.20642661477909352,0.0789925438083893,-0.23880365863458525,0.16360633179921513,0.22806933956818742,apul,ACR.173
apul_ACR.186,0.07022110660836971,0.2539152709360429,-0.17554934479638507,0.015937966146447196,0.23972652826944832,apul,ACR.186
apul_ACR.225,0.4003708954685712,0.16793752693095393,-0.27547791622728524,0.034560300919157134,0.3815167605976435,apul,ACR.225
apul_ACR.229,0.24343498878405082,0.2603601135896738,-0.1977864952734921,-0.05550606608083352,0.34170156687398123,apul,ACR.229
apul_ACR.237,0.3214231038598048,0.23956693851746344,-0.2187248766351986,-0.048572055907393726,0.3851164892652733,apul,ACR.237
apul_ACR.244,0.4298105083588816,0.16626345845208318,-0.2524106519889357,-0.015519941584443652,0.39626757205019897,apul,ACR.244
apul_ACR.265,0.31538787647920086,0.24107802445216006,-0.21507932630937604,-0.06644871492430086,0.380505194817088,apul,ACR.265
peve_POR.216,-0.11592094285522489,0.1225320740172954,0.023332553659198795,-0.007753465186302319,0.058293497123430286,peve,POR.216
peve_POR.245,-0.02858175641906031,0.10784278654241042,0.05380424235543916,-0.09841702800445341,0.06120532182752736,peve,POR.245
peve_POR.260,-0.12625984061364864,0.256727714801049,0.038406990509498265,-0.15047864465104954,0.07666617538857659,peve,POR.260
peve_POR.262,-0.15549053392050927,0.16782098399047182,0.13749102202139774,-0.15991146716705706,0.015378677129561175,peve,POR.262
peve_POR.69,0.06812708223889911,-0.19783094802824092,-0.11023861079938964,0.2608662196518811,-0.04231050195958463,peve,POR.69
peve_POR.72,0.22427292640230118,-0.3499124266076457,-0.20755207969517886,0.3958073562235078,-0.054748268305175554,peve,POR.72
peve_POR.73,-0.17891296026801962,0.22341087767520276,-0.03050559040543878,-0.02133277979369475,0.054255907487281145,peve,POR.73
peve_POR.74,-0.06938024191589498,0.005050103390943155,-0.07428733024330833,0.15589767785491263,0.004411617911705994,peve,POR.74
peve_POR.83,0.19576238521605663,-0.3124627105833537,-0.23159798036792714,0.41193669260548366,-0.04187836409820992,peve,POR.83
ptua_POC.219,0.02499981972762621,0.08748447058137586,0.005074540692731675,-0.05477027822288294,0.07247320511079382,ptua,POC.219
ptua_POC.222,0.036597391493542984,-0.040521147675648746,-0.10924196014137079,0.16257123232791582,0.013210913743723221,ptua,POC.222
ptua_POC.255,-0.06780058069270958,-0.008834424311234435,-0.015520785230371273,0.08380131326125499,-0.02748705858076994,ptua,POC.255
ptua_POC.259,0.07867943607180931,-0.022896418772166107,0.06605744885307724,-0.06967450572178828,0.007644600700521475,ptua,POC.259
ptua_POC.40,-0.020699672086341495,-0.1497435403840873,-0.25061626317984653,0.4511903492514075,-0.041254471455995485,ptua,POC.40
ptua_POC.42,0.2285440713091732,-0.2712510249870854,-0.25931110492220333,0.40215698652292126,0.008195465666790813,ptua,POC.42
ptua_POC.52,0.09228871149908681,0.0625357093175039,-0.12017648586566815,0.06471914959488054,0.08988556611171562,ptua,POC.52
ptua_POC.53,-0.030145801848379603,0.07433599883157115,-0.12953761863886917,0.14577509550435158,0.05884897342621396,ptua,POC.53
ptua_POC.57,-0.09489595453597129,-0.0004815492930654466,-0.06853018141518137,0.16852818800499694,-0.014411263255397884,ptua,POC.57
