,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29,Component_30,Component_31,Component_32,Component_33,Component_34,Component_35,Component_36,Component_37,Component_38,Component_39,Component_40,Component_41,Component_42,Component_43,Component_44,Component_45,Component_46,Component_47,Component_48,Component_49,Component_50,Component_51,Component_52,Component_53,Component_54,Component_55,Component_56,Component_57,Component_58,Component_59,Component_60,Component_61,Component_62,Component_63,Component_64,Component_65,Component_66,Component_67,Component_68,Component_69,Component_70,Component_71,Component_72,Component_73,Component_74,Component_75,Species,Sample_ID
apul_ACR.139,0.02873679341531761,0.3500321452339273,0.4756436892843342,-0.1331307677643396,0.09086611663928207,-0.005037716258924592,-0.47557686897805634,0.06857112548681012,-0.26886482119807037,0.037862664582255914,0.2693938331952199,-0.0663316435466834,-0.10214600711361298,-0.05092325111819661,-0.04631507605697444,-0.06938533177482836,0.06270595650999776,0.010819447032864722,-0.06174205646632903,-0.0670536399870104,-0.004175714617878302,-0.06278184782867516,-0.3912086825577174,0.07846867456264153,0.06150444948524874,0.039975674299708684,0.31628513837851824,-0.0747405651783734,0.04238807412645943,0.04705303752039333,-0.11052666754746465,-0.04535145567018193,-0.07860531203050418,-0.01521263056157039,-0.00011283360352881646,0.060523158226734576,0.18730198492287098,-0.03155096268018675,0.09687160290035654,0.1194084835047469,-0.0949015310314795,-0.021419478934377158,-0.07794177449404877,0.43265561088285687,0.06453671742096874,0.10672154405038338,0.050691750636565676,-0.2436434992875778,0.009961002738450256,0.049003059003387216,-0.02939484414117566,-0.10861345767296562,-0.2109045474661993,0.07385339804800423,-0.04707699738499805,0.13092784818198966,0.03175207659685265,0.051154233620458525,0.08711875387048654,-0.18979715570638386,0.11386020251287386,0.3758101301841817,-0.07032586010027249,0.0024025416356811447,0.03900371601077118,0.054144125181437526,0.1231967432194498,0.056920522079467274,-0.17335468258322737,0.010864526235151573,-0.28721255608017754,-0.07295146654078999,0.3399094484661997,0.05848621726678036,0.11387164635789902,apul,ACR.139
apul_ACR.145,0.21732673658135138,0.0007676094195115785,0.08547734839313807,0.00925252792743417,-0.022004778232233124,-0.12342237630410015,-0.11635974854646695,-0.07576548071971531,0.05786447353070499,-0.08777415353236212,0.222877464960164,0.03682680218158193,0.08557653564620364,-0.04901796600046514,0.015465584837938359,-0.06796979993326273,0.30364209013337984,0.05304903058353946,-0.029654808264678603,-0.08889746973697263,-0.06447083081219623,0.1348336698862101,-0.12591791146414327,0.05276325871857353,-0.060734363088171685,0.06815063788682689,0.00784392333361317,-0.032707074431598704,0.2227075824508814,0.12306612764083148,0.0521824437999514,0.31719103952128475,-0.13723402212820243,0.24832252525054918,0.19251106997401105,0.09163611215005513,0.46480174060342316,-0.0732550061546033,-0.10157846416439933,-0.02570542000772958,0.05546546239779026,-0.06578889589382939,-0.0386076306143352,-0.017453602836290792,0.14345253126677532,0.13796411541883402,-0.08936776682355012,-0.12100377048304992,0.2350209764101216,0.44095457701772994,0.014176135329615034,0.3476000305769353,-0.13366281737437488,0.08572427614770299,-0.009772541801211213,-0.0001477412334575142,0.11028054468552781,0.04825531104621958,-0.11118079409238497,0.009459721494606731,0.055671449650211584,-0.02669041281688775,-0.31788880971865674,-0.1778539076298238,-0.199403062014377,0.14305614557597368,-0.2566621731647172,0.096068057156519,-0.16678901862547937,-0.0033526073264339203,0.16616967617661235,-0.14869360547972726,-0.045918644695131454,-0.01570126690525351,-0.03425259157991593,apul,ACR.145
apul_ACR.150,0.05659037935640563,-0.03581475432386581,-0.08384031094028614,-0.10898386665826504,-0.028202692028832743,0.01333063938980664,0.3829194368173154,0.21574636042744594,0.003022175850431007,0.1468730378522222,0.035245592433738614,0.06499057009719687,0.027814823186385323,0.005083059738984704,-0.09977680732984955,0.06082965241100271,0.19594269874285436,0.1258352035223686,0.22467626701161122,-0.025879426574367575,0.16471613459360235,0.07257336809861292,-0.07184315195867566,0.007662361144503805,-0.3465571549267948,0.06327636962856646,-0.028881728108155445,0.11066061046987068,-0.021944522298448482,0.10644103766212189,-0.07406722148399696,0.29865779650499635,-0.08748700376340467,0.12277714630032255,0.07078102645798393,0.05176544816938759,0.03365427824612022,-0.006447245761596198,-0.1345155511202806,0.08379405161525551,-0.1112263791432833,-0.08409139814757867,-0.009999702532104209,0.014692042362716142,-0.12071724750225507,0.10608290637430616,0.04096080592271412,0.003697612866076584,-0.1021515729312941,0.01983698411762081,0.04284937073291324,0.2403519435476715,-0.19420449468841597,-0.3283213193669347,-0.10153917032413788,-0.08548270460380264,0.49444900038787887,-0.011707068354165413,0.05078916907548495,0.04246589589004323,0.0364218416406465,-0.07445935472266212,-0.04861439046953568,0.0681435448204397,0.005225563065488085,-0.09777659314968064,-0.2294305275442467,0.10759231967963148,0.09066991517734481,0.11955708399317141,0.17703010234768346,0.5353410632212557,0.3665845351514497,0.18902900798483885,0.018269425092523755,apul,ACR.150
apul_ACR.173,0.2559874644700417,0.012437729231704102,-0.07564586284720604,-0.001165610772619963,-0.03245193560769667,-0.035625581327301606,-0.20154405919960425,0.008028568154123766,-0.29601589775642023,0.04957667579605516,0.33307839164261016,0.020771066969138594,0.20835744620928562,0.07793418890283242,0.02928772420127623,-0.12840693372502812,0.127343707839755,0.20601943447580648,0.14494286504415776,-0.1394952621276721,0.12062754621396625,0.06582561756714603,-0.23112434511601118,-0.08280054192997129,-0.29802714126783925,-0.05953353960388237,0.1697387439841178,-0.12165781148148615,0.24839988214122125,-0.18457515400634467,0.00950958816413999,-0.01550461772210725,-0.0739327634337966,0.2026675339591299,-0.19809148271831142,-0.032287731616273276,-0.047114124423124217,-0.07623038480675193,-0.11675218930381269,-0.08975532865298637,-0.23093909698381093,-0.011851757777401543,-0.1710404802916558,0.11631924415139774,0.06612623191000602,0.15360797071861346,-0.08699983814940623,0.053799811382339066,0.0528074497508438,-0.04969336518375785,-0.019705246899224538,0.3407222056619343,-0.15148861868005734,0.06052030316870382,-0.054059374448975996,0.040438522425257716,0.47636595195447956,-0.03482886904215464,-0.030917379532506974,0.06947027933131118,-0.15132846908383513,0.22876022442962757,0.0765045581740682,-0.0171107967025495,0.044829663862278955,0.14023605346199902,0.5613233807675699,0.06402942867358306,0.0660557604851822,-0.1047975042331537,0.536573948635366,0.02425196700353471,0.11704537196376655,-0.26451649143046196,0.0315713735428209,apul,ACR.173
apul_ACR.186,-0.40179432178152474,0.08661435362895627,0.03246377868197438,-0.13352021970793324,0.15495088180360148,-0.011087674638325011,-0.018813417236993545,-0.034619732370062536,0.35597895726707385,0.21544429296513076,0.15511780003877165,0.14254766382967493,-0.22299494544037296,-0.023456002780981193,-0.0694645964723813,-0.13268442787151868,0.2983700479863974,0.03729032110036471,0.07357735878668828,-0.060310251211568106,-0.03823516104346058,0.11400681322062142,-0.2977441135613376,0.1828402872057012,0.2582066476308595,0.12669202748292782,-0.18014258396175364,-0.06857900388746416,0.5576028502748293,0.7742006584400869,-0.17884456906670954,-0.18023268466101613,0.13921476650366554,-0.010341336125410458,0.015634143286852822,0.2878445324644752,0.2852394560917958,-0.07787041246923708,0.01345495522142504,0.15056269867027075,-0.2285035131009505,0.11126067273110721,0.08514645308579354,0.378493935943535,0.17490997570626152,0.1286530764392177,-0.09324829724299229,-0.21775408521196954,-0.028031351010557575,0.12254455424628505,-0.06050595297452636,-0.04871424927352411,-0.2104527500483044,0.00946404970677372,-0.12122624275111475,0.04196487884450781,0.4554749360981601,0.009315065494595893,0.11119685055778845,-0.16290497336994314,0.1594829534884532,0.1013989949656409,-0.10460923848994434,-0.0720816990025778,-0.00845209168252038,-0.12297264837030183,0.10862049467344555,0.017788980101958413,-0.18006097537851795,-0.008052343420116482,-0.24847261557424577,-0.13687024377363435,0.14629122592654656,0.1096777965734446,0.04393025479474585,apul,ACR.186
apul_ACR.225,0.19740483970499154,0.1555150860555016,0.0006894388185092322,-0.04722733936765656,-0.04724242428732102,-0.01648810930144312,0.031120760546408763,0.1750049265087724,-0.02956749934631562,-0.003600529454025484,0.1507907245897753,0.07969212535386365,-0.19714353669284068,0.15098545682007666,-0.011010564173353641,-0.10967939704079438,0.3640726577932722,0.16499111480838088,0.21403334426815673,-0.12274088471863874,0.11840420160753848,-0.010620775720820236,-0.07441866285473826,0.5058771043453288,-0.24361761013069702,0.022754127955672922,-0.38068081295820994,0.18017886294878213,-0.027289063214025515,0.19819617007181975,0.13831070650911997,-0.05484227716308221,-0.1544159446813551,0.33010175012414134,-0.07002785072125829,0.050663280127850784,-0.05976310323087478,-0.059296622314209416,0.15946663820627385,-0.49418665271562445,-0.08140723262983574,-0.0724721544774456,0.6676567752824761,0.3116978986366254,0.004860570091667466,0.1725091585869216,0.03778283051226286,0.15103201248887732,0.09096805247356385,-0.03494213900291866,0.21843528747822388,-0.2717373239757564,-0.10075172237669298,0.025307090283024324,-0.11114302651039466,-0.13576183488749122,-0.01882649341682727,-0.070002191019481,-0.10492897507802394,-0.054415626112221636,-0.06414334446473442,-0.003431717615957703,0.24562559858414035,0.05932362750528637,0.002623653892054302,0.09219646050720802,0.06221169240248167,0.1283810054739952,-0.20990727950923121,-0.2036833582904437,0.1638856401925301,0.2599379410051194,0.004505120533774599,-0.022737409016926443,-0.0022915148301991413,apul,ACR.225
apul_ACR.229,-0.0008042962757151104,0.03189519475606727,0.16339397592480637,-0.07601987999386106,-0.04654023544292168,-0.08513468348308206,0.1011347431703313,0.20821966453819768,-0.1188080802453197,-0.21226028186290138,0.022484914988322217,0.11910120124945311,-0.08819652939055936,0.05180714963870306,-0.018234457329104326,0.14181479883090606,0.25022889033598955,0.23674420305971838,-0.040982539505077194,-0.06348527254106189,0.014976530790980103,0.036970364862845974,-0.01340436076673415,0.3552823941454123,-0.02953729258357938,0.19418396368041468,-0.085967475889532,0.16876969000306016,-0.1022676878983199,-0.0025795330425220885,-0.01499088568217509,0.29091322832951455,-0.009140822077491591,0.16258800087587696,0.22213182397089795,-0.1910222903881712,0.1066191811830955,0.03782260989535323,-0.08368768703503894,-0.024310024072024088,0.22162116008133864,0.3227442400225719,-0.20213240444298775,0.05625134997003209,-0.06598620732956506,0.11237249942964762,0.054831104978624125,0.06773553511279512,-0.09268298504356466,0.03790712683752189,0.1878381034831468,-0.033234244628177194,-0.16638466518149533,0.09366852921595074,-0.07159645736171238,-0.10787119971782107,-0.0676011460736613,0.009221936987074204,-0.03659357805182065,-0.2134258562226288,0.08637698509505037,-0.11441519898351024,0.6605554032001204,0.11472957778601102,-0.03314304715133795,-0.0356257184251283,0.4121141683431847,0.15237825197001906,-0.25796470773524294,0.023796585008285055,-0.12187059723065072,0.14868826394040618,0.05650701673584344,0.006021302422078397,0.0027446813503974542,apul,ACR.229
apul_ACR.237,0.12321830672389973,0.03934455140003134,-0.04917986579710023,-0.009189489273969136,0.08364298695676668,-0.17651887704770078,0.29993794775710325,0.156384049116321,-0.02331856368312135,0.14298770646252046,0.08041924800280788,0.018212364230646545,0.0753273562854465,0.11261875451786638,-0.039290799817779984,-0.0731244425768354,0.15301940963066377,0.02976345644252783,-0.05816940119794032,-0.03966831308238628,-0.15828980035115423,0.023853541997899245,-0.18129701263048179,0.3220296194501221,-0.033779284853507806,0.1720227701716603,-0.015450092682785853,0.041005486851843,0.030865001683991047,0.18246348524165037,0.032131962376013706,0.29193350070007834,-0.1809694542113205,0.2900733777966397,-0.02242125842502895,0.09600290057758157,-0.07718914535620301,-0.032713738564723795,-0.079868545762664,-0.028556057202022287,-0.10006883818595824,-0.06418213859044718,0.003086051395111551,0.04269711880910837,-0.11139681395265899,0.10021372513263954,0.006736533036294452,-0.03668483694587023,0.029467211111367107,-0.09679303491668637,0.12937157413927575,0.1029349925697229,0.002419887691380672,-0.008070008661724687,0.05726743638661391,-0.11457216443487254,0.09709683022593182,-0.05237022499058192,-0.14339099392293891,0.026030797145012417,-0.12543926479531645,0.09217195754790909,0.25831917397441906,0.05691290853738527,0.03694845055202028,0.08795247056578397,-0.17016609316610473,0.09163983205599456,0.054705679573459315,-0.010198086367612137,0.11662651807650104,0.4798006078718042,-0.1711724988923487,-0.11538126869743753,-0.023276984356766495,apul,ACR.237
apul_ACR.244,-0.15469636929982158,-0.14015472498686363,0.011303984265117067,-0.17254349067967154,-0.09967800418923044,-0.22012035179475528,0.27018739383072904,0.2356095278010215,0.04139250754693811,0.026704240284846248,0.05622257006438086,0.04444544403783356,0.3544767223004061,0.0693581823355424,0.01054534937840349,0.019766379193322164,0.21908435009045443,0.13109770827695788,-0.025260078713675246,-0.03260324001465296,0.10855272944138121,-0.003612633702929668,-0.1242446759037314,0.38674460761846324,0.11964102924587493,0.42391935602179054,-0.019837773324042535,0.13200438325910885,-0.06878874172945164,0.3072347611058005,0.054017260741907235,-0.382211645182353,0.03992668206460249,0.48160064572721073,0.08582072957490108,-0.1303448302469902,-0.1040588318728792,-0.04633831487445861,0.0777244427204209,-0.1459136048755688,0.1838320755160215,-0.08486233703447209,-0.1225147180583908,0.13214504616587716,-0.06702786007910672,0.040264712077258874,0.012342050769156922,0.011607831153797933,0.04022000136934708,-0.009160428872928741,0.3422026370505692,0.14914372488706454,-0.0722266824279238,-0.06084713437606416,0.007859657752806408,-0.14464789541298798,-0.12322852500797825,-0.01900465166444455,-0.09213869878866622,-0.03677144057749823,-0.1071894529022454,0.1152624817728952,0.2981901079807528,0.07709576986821745,-0.04434382649569539,0.042790496208757065,-0.06978152876856213,0.09842051179046071,0.15058635103788445,0.03814300983361071,-0.05109578071313601,0.19875898455668456,-0.056407236154658015,-0.0799739977589692,0.042433439000716784,apul,ACR.244
apul_ACR.265,0.3275842682485441,-0.057937651986108944,0.07125350119853587,-0.039948408730446534,-0.014124753926614863,-0.10422311843797431,0.07713003231587542,0.10041441723517315,0.05617063238650973,0.1835478553508478,0.0530619244133788,-0.05092972058101994,0.0592644970671035,0.11723472516565603,0.03757511769087154,-0.1677215197700163,0.1715532569327898,0.17438625273516023,0.08906585728882917,-0.013576251942263145,0.013694091439823954,-0.04567506659814375,-0.13638925557063797,0.3295004301109516,-0.1755414783993184,0.21031403065035192,-0.0015012216675909433,0.14666635165712533,-0.09522786863006603,0.3131270564003817,-0.02620107368797614,0.32169788595723636,-0.10877055324951555,0.26305683328902985,-0.15379673217881568,0.11209285314303113,-0.1323792145709113,-0.08606143718112491,-0.11236432967263528,0.05715167713303683,-0.1545062782795976,-0.03261347341570876,-0.05698730252118984,0.03033730939012889,0.0426911352429924,0.08068526809696405,0.11322550303845179,-0.006151510447608659,0.10140856775370158,-0.1394914751194158,0.10512527310822109,0.06001710208078371,-0.037568436960245026,-0.02269752994083885,-0.029832978530717445,-0.03442447019653129,0.17690918087985016,-0.06905739805595465,-0.01639038002464823,0.1167041074842241,-0.05252917139994335,0.08566946055320167,0.25890387039960666,0.14034830708480883,0.08614852813869574,0.2743340215790151,-0.26669108070487096,0.02461174909294373,-0.2067767392293366,0.03890902602530812,0.2644305066462453,-0.2820109576445368,-0.032530845607800375,-0.055594264421733625,0.02599281316233815,apul,ACR.265
