Iteration,Loss
1,1303330.9161481769
2,862319.8629614124
3,568103.9205132945
4,430611.2465613379
5,359706.47360008326
6,319808.87594511005
7,296940.104576496
8,281835.26222283504
9,271226.0822712751
10,263423.41210187244
11,257807.8980828731
12,253702.67802033434
13,250206.21515881247
14,247158.65106910944
15,244494.4563715358
16,242154.82871011263
17,240308.82476255656
18,238717.8436747111
19,237279.4099923962
20,235969.85752723983
21,234770.30964359065
22,233665.46083188808
23,232643.0303172249
24,231639.42877629917
25,230697.24832951283
26,229817.90242980668
27,228994.06335908483
28,228294.50277240656
29,227643.45184631416
30,227025.60334891683
31,226437.87828855225
32,225877.65548975064
33,225342.59013352823
34,224830.61137831985
35,224339.91476218426
36,223868.85219405693
37,223415.99805451493
38,222980.06951546014
39,222559.90685412515
40,222154.458165982
41,221762.78865318006
42,221384.03579452145
43,221017.42234297466
44,220662.2245393029
45,220317.76512261634
46,219983.4171286356
47,219658.61781794752
48,219342.84114693973
49,219035.6128246673
50,218736.4830441454
51,218445.03932379748
52,218160.89046297548
53,217883.68346233084
54,217613.09455200395
55,217348.81272690848
56,217090.55129732346
57,216838.03662532766
58,216591.0245701928
59,216349.27720083063
60,216112.57179745176
61,215844.74289028058
62,215578.30044897672
63,215294.45642842198
64,215008.01774123916
65,214730.23085678287
66,214460.09334630464
67,214196.97927276982
68,213940.38438182545
69,213689.86421939064
70,213445.0369044268
71,213209.5584881826
72,212974.78695602602
73,212748.76837998573
74,212527.0268878843
75,212323.9199491871
76,212123.38445406934
77,211928.16556466068
78,211736.6989711093
79,211548.65078557804
80,211363.69246696396
81,211181.75472202036
82,211002.63342420643
83,210826.36737277074
84,210652.64540902036
85,210481.5131695739
86,210312.8908877225
87,210146.72785397287
88,209982.83653385704
89,209821.27934911655
90,209661.86751842976
91,209504.6714694945
92,209349.52294766848
93,209196.36775362527
94,209045.28470096202
95,208896.10648429184
96,208748.76879842844
97,208603.24484940802
98,208459.59680497053
99,208317.6629931368
100,208177.41002318886
101,208038.79008894152
102,207901.78128057378
103,207766.34745355125
104,207632.55561111978
105,207500.26428291196
106,207369.44836618225
107,207240.06473165794
108,207114.17410453924
109,206987.42715814555
110,206862.18707179616
111,206740.44738780436
112,206617.6731634459
113,206496.4303740227
114,206378.49047540146
115,206259.56795986812
116,206141.97180350663
117,206027.70139626565
118,205912.27856761112
119,205798.13550262083
120,205687.22229835702
121,205575.12320740265
122,205466.34960291037
123,205356.35382735715
124,205249.7259879157
125,205141.84850038463
126,205035.09738156898
127,204931.39528680537
128,204826.4146202683
129,204724.57320119115
130,204621.42406079257
131,204521.36679051863
132,204419.96928855008
133,204321.64004276617
134,204221.9488412057
135,204125.36457792425
136,204027.3084326879
137,203932.32669620027
138,203835.8588812514
139,203742.42825720046
140,203647.49776333952
141,203555.56109647366
142,203462.21076592125
143,203371.7041452937
144,203279.78636660776
145,203190.67407581548
146,203105.9095969245
147,203024.58580862504
148,202943.79057112918
149,202863.56977881948
150,202783.91807777615
151,202704.82486792127
152,202626.27957266313
153,202548.27169930507
154,202470.79159161614
155,202393.83326291866
156,202317.38391057914
157,202241.43395916562
158,202165.97682131437
159,202091.0041920844
160,202016.50933521852
161,201942.48495949863
162,201868.92380403625
163,201795.8958436172
164,201723.31253553796
165,201651.17094891035
166,201579.4650533273
167,201508.18913602462
168,201437.33729421443
169,201366.90363074804
170,201296.88274593576
171,201227.26850602395
172,201158.0558923192
173,201089.23981015244
174,201020.81440159545
175,200952.77351739278
176,200885.1123722424
177,200817.8264672628
178,200750.91028369343
179,200684.34596969667
180,200618.14198115884
181,200552.29320571935
182,200486.79499378797
183,200421.64281755468
184,200356.83359051248
185,200292.36270580383
186,200228.22577213787
187,200164.41830285883
188,200100.9369140083
189,200037.7779269517
190,199974.93870427608
191,199912.41742166682
192,199850.21043819241
193,199788.314856908
194,199726.72820363223
195,199665.4476211824
196,199604.4699761407
197,199543.79163519727
198,199483.41020088736
199,199423.39207604123
200,199363.6598365592
201,199304.21373129752
202,199245.05092858296
203,199186.169123585
204,199127.56544893642
205,199069.23715663733
206,199011.1813709629
207,198934.7801240954
