"","POC-52-TP1","POR-245-TP3","POC-255-TP3","POR-69-TP4","POC-53-TP1","POC-222-TP1","ACR-145-TP4","POC-255-TP1","ACR-265-TP3","POC-42-TP3","ACR-229-TP1","ACR-186-TP3","POR-245-TP4","POR-216-TP1","POR-245-TP2","POC-219-TP3","POC-219-TP4","POC-57-TP1","POR-69-TP2","POR-216-TP4","POR-83-TP3","POC-222-TP4","POR-260-TP4","ACR-225-TP1","POC-40-TP4","POR-72-TP1","POC-57-TP3","POC-42-TP4","ACR-244-TP1","ACR-186-TP1","POC-57-TP4","POR-72-TP3","POR-260-TP3","POR-73-TP2","POR-260-TP2","ACR-173-TP1","POR-73-TP1","POR-83-TP4","POR-262-TP2","POC-53-TP4","POC-52-TP4","ACR-173-TP4","ACR-139-TP1","POR-262-TP4","POR-73-TP4","ACR-225-TP3","POR-260-TP1","POC-259-TP1","POR-236-TP1","POR-74-TP2","ACR-237-TP4","POR-74-TP1","POC-42-TP1","POR-83-TP1","POR-69-TP3","ACR-139-TP3","ACR-265-TP1","POC-40-TP3","ACR-237-TP1","POC-259-TP3","POR-236-TP2","POC-40-TP1","POR-72-TP2","POR-72-TP4","POR-216-TP3","ACR-145-TP1","POC-259-TP4","ACR-229-TP3","ACR-244-TP3","POC-201-TP1","POR-69-TP1","POC-222-TP3","ACR-186-TP4","ACR-139-TP4","POR-73-TP3","ACR-173-TP3","ACR-225-TP4","ACR-150-TP4","POR-74-TP3","ACR-237-TP3","ACR-145-TP3","POR-74-TP4","POR-245-TP1","ACR-150-TP3","POR-262-TP3","POC-53-TP3","ACR-244-TP4","POC-255-TP4","POR-262-TP1","POC-219-TP1","POC-201-TP3","POR-216-TP2","POC-52-TP3","ACR-150-TP1","ACR-229-TP4","POR-83-TP2"
"Ethanolamine",876.58627757355,612.613680538669,1386.75846608639,2436.91831658903,1423.75090193752,1017.9781220864,10924.6226140975,568.394490076521,9497.08420626531,1024.10806541867,6888.63208404169,5164.52510768114,2138.89217976278,2514.83767117222,2454.02734759143,809.418034061497,917.338092660725,697.052100909442,2278.97271871957,2371.29994146391,1597.25441371115,1300.92064953808,2360.09971133299,6491.37610146279,1234.86748615292,1427.0815419585,1523.04888949584,1042.71512000872,2492.29054229241,8590.60752717578,887.973859903784,1307.24727012564,2630.34377566363,3483.57135725989,2999.818760438,2696.83925371073,1837.27563623386,2943.71442423913,2739.66620938853,1071.85096636974,1282.56240028454,8218.39056486627,6511.79052471259,4034.31847097365,3016.62777383125,10934.3961715062,1419.72762399258,2965.99417107026,2729.97455491341,1894.24611150376,26464.1230977836,2052.0514542721,1311.41389986026,966.943418189937,2773.3385144193,8146.16092315558,5505.51867383457,1134.09333333195,4036.54227722111,1003.5596423363,1916.2726432754,1222.20685079061,6243.62305305027,1584.24676295869,3665.19460801122,3871.84409157298,1153.83943044903,10725.6538282484,8539.01529025366,602.177808013282,2173.12487062298,846.886302554717,3399.43971360706,6124.48698056753,1086.84701469717,9708.98191761366,13963.679586596,4600.74880977731,1072.59975239086,15884.3065064927,6608.4818217557,1851.06861338212,2206.33287707216,20213.1046362758,3802.60360047432,639.068165241757,22236.4687829764,1251.89030300534,2315.53932337172,1648.8860270233,725.01951065591,5548.21400951161,3955.08074382265,10244.3811661661,5503.23280008243,2291.41615010377
"Glycine",5102.96180551509,3307.5155522726,5347.76840425425,4839.72290899559,5745.33388032042,4797.57903875959,3678.62966844195,3687.90638501887,9468.34034355118,5129.13742061113,3866.4453783022,3720.49817381585,5127.10899390678,3895.22444402735,4714.57451758894,4018.2770691322,4686.47540655268,3736.07282963574,3230.73350055402,7560.48404041209,5549.59183738416,5883.34580702406,7248.27521538073,4333.15395862171,3096.69778110482,6301.62376952281,7384.94292421916,5370.04438872717,2679.92394144213,14309.2480990838,7591.61044887876,9429.4520511389,7050.39011003551,3852.26747111637,6125.86412971411,1527.99844649413,4514.22847516875,10854.1553431632,5977.19648331074,4649.39479869119,4473.46034275145,2362.66429866671,2987.63757192745,20763.9150864505,6480.68836640769,13791.8921967639,4102.61561336067,7855.02458153002,5719.89703182422,4553.84180889323,2589.99357570616,5127.48335522302,5007.32767651895,4281.39019698659,4547.79471793564,3731.10022014256,2854.06135880031,4939.3659057539,1686.18085306658,4051.71885228883,3776.96317040982,3745.59151787756,27806.3416883919,6340.86906097147,9456.48367875593,2588.05694077977,4802.78686271197,5652.89339771534,3036.3383967897,4953.58054484374,5840.74161306981,2826.81294217076,2024.2093261633,13279.4347361506,4579.11167066549,2720.56779656047,4504.27546172801,1157.66733586621,3736.66310112475,2058.54413930761,6234.35306182221,7457.81705974422,7104.89803698504,2117.98340601582,6300.65532863827,6413.10058396897,2980.30940741401,5920.72629732997,8107.06635117361,5361.05238141485,6908.04719671995,4064.41132840033,6465.73280654528,7297.60228296472,3110.14617525918,5109.1104167223
"Alanine",28054.0134034453,19009.0834093138,38613.0593122106,23702.9521946258,22765.4653276719,20201.1937315562,52929.7328522319,8592.02653256472,165411.654723198,44634.4880007321,10195.0159685974,42790.0073422826,31267.4424988763,20928.5667584012,35053.0224446946,30280.9016499136,26546.2596552043,11221.685454333,23159.4567829369,52845.0469265302,34068.1285947909,57100.5108029232,50859.1723217436,21732.5375065727,12982.755293803,33323.8003537891,44496.202911972,24887.5127287301,19515.8011242418,106810.213767457,23551.6054020878,53124.0536169994,47074.2511471699,38374.4926638979,38345.5953615857,8526.40212356009,29122.1301923601,79691.5250651691,30984.8555593008,21310.7357567805,24804.2344731496,20184.5687458024,13875.7022889705,154149.528317485,64104.5418955632,163339.70128573,16414.0081366259,75099.8205891536,25686.9571148172,20039.200635242,15024.5852356067,27717.1904063418,52088.3508159903,20148.2027503062,33382.5263155764,71094.3614286697,14881.729748121,42155.1895346149,9586.84716599487,39621.6946128734,18128.1570195563,24542.9681339484,117629.634848469,23049.476090884,77003.9238740328,10921.1128008761,21444.1888457257,28055.052360661,32125.9720643649,18884.8428259766,13486.4303368357,20157.6689035955,14032.4465878372,199966.895935864,25104.0884704777,53283.7316185111,20242.6731810287,10855.2781209803,18673.001860339,21399.9960754945,65207.4424069269,57588.1233965654,27113.7252839258,20363.8706447129,41193.6367383225,42054.5846727535,20287.1332138417,50710.2814130277,63648.0686248008,40900.4316751282,51929.9455876688,33579.4344387813,33606.9590448205,35245.6614739781,15457.6443197072,31419.9465746032
"Sarcosine",3369.21133952416,283.861688324594,3053.62028096758,714.047917872378,2930.74052222497,4500.61699018015,1019.37807101062,2300.50101316989,2071.58451196053,674.98371210977,933.822989843996,434.683081748476,646.565365765599,112.699823212655,641.658434535912,5633.74286548244,2831.23004809873,2864.49566346443,NA,1580.27043981066,292.242386666954,4271.09412369472,531.870724251074,736.661859054347,1829.62345310917,683.710239923668,6390.88660121897,2041.38600707869,861.748207737401,1224.81313536851,4466.07455368951,889.017325555539,142.723554516248,221.299161345537,734.05378672588,4522.93650258366,423.204698763598,279.342772914307,902.892390463572,1521.42768898254,4636.79177239998,302.420664960854,9600.84246212141,3750.29039383816,184.847139218525,358.701810958465,607.392012702948,1485.59573576074,NA,942.32994413818,406.235998436127,444.664644627536,1194.89590681548,NA,908.562134370823,14292.5168374798,643.941299336761,4391.20529982686,229.70889475044,2170.75705986845,615.901594735726,1596.05385734425,436.204949139129,800.31395760247,146.288649153507,372.39519269451,3919.69572010099,1651.70754537055,32308.3086855488,3120.12988438592,249.770724370083,3643.91241859371,498.848123332959,669.419356702333,620.826580100987,396.654799016615,6411.1744155771,255.682882814647,539.157106331688,239.940987996959,2370.2487268204,1013.41365483419,748.626782525147,255.815907519725,1207.48524903844,4367.51806696729,3523.2138521549,5004.16791362195,155.225785054599,4715.78849344408,3423.59839306148,546.817891628658,8584.90199974773,891.630218739386,1090.72013249669,470.437138894516
"Choline",1458986.95660309,251709.121873108,1783446.06628193,701141.622892524,1082034.3892947,1407162.74799867,3260053.79276849,473075.669317704,4397301.07939761,1313509.87593413,571271.482318547,1152917.19059329,906600.039852459,617608.805289686,745134.964164345,1448843.4243459,1453174.11958541,672132.575452213,794767.509123337,1309420.53348857,802860.456414966,2095767.19677452,489463.922840524,657885.008633953,816645.972208825,1205125.33984782,2557878.07256507,811766.560865754,1130465.86983683,2573475.57904453,704595.237160029,1150126.83729504,824730.168387751,978466.568412322,801515.573723124,563738.53683897,659360.96107623,2091079.27931555,1083880.69309739,840722.701517379,1094741.16864708,1354991.7443209,592058.088978169,1086515.76979326,974358.455617926,5158596.37850086,278279.992613685,1893032.0660417,1037328.88953663,1617095.52706788,852773.927209306,1166882.37575518,1385352.23105531,341709.525977513,1351499.19037045,2161081.3775035,807193.896289473,1652504.3050502,360891.017580194,2502513.09054373,916968.647010981,1151216.01093049,1262696.27738839,1239136.24810969,1619078.20895953,700530.771088347,1532887.35712119,1484713.67795863,1990839.74003655,929889.190269287,465825.785794079,1074341.18846638,925703.36362934,2269612.02870055,276890.243588775,1653918.0064376,856611.664333006,791194.316209596,657318.685262001,1312641.8349444,2770264.60982123,646411.445740367,568305.279601185,1508937.51897432,1110594.18670651,1520291.93476125,958558.699493475,2055786.14627072,941338.788862906,1872544.27460618,1623306.06498313,921104.796860728,1839981.45996731,3346658.00494248,575109.939027598,789667.632393208
"2-Aminobutyrate",1073.85269060838,669.453331149793,3151.78141043295,1067.85519871828,2449.46074437438,1604.89936130458,1512.87569186947,1359.08103422023,NA,1644.21010869781,1481.50257319613,870.400361978708,2062.29859729388,425.485601852302,3202.58064618703,1951.97243584873,2068.45137272169,1044.89957865918,789.241437752824,2649.96230130156,1901.60198960298,3875.06108753368,2469.16360952807,1126.36178318015,1440.06730143382,1497.27754113229,1927.27837134945,1555.07021635374,2256.07452582115,844.770592059516,1932.43238908423,NA,823.198343316044,3385.8205460309,2587.94550735635,973.284518387498,NA,1240.56979602213,2534.23158222142,1823.95635816997,2558.38039692401,1139.98362545483,1028.05716616506,3027.49913677758,321.323134409395,597.3504888677,902.287659519607,1130.59524071969,NA,1222.47626237151,773.458816607461,NA,1352.53129540585,1431.83912891283,1223.45043740038,2992.47891231367,1256.15536276742,2228.78503912293,773.000357780323,2849.47009897437,1194.10651176539,548.777092537627,1130.42222876995,1140.09108773032,446.387285178265,794.530878666959,1855.33204031192,738.181723391263,1182.87406168434,3933.43588965921,453.19337203577,1981.6047904912,787.780703557701,3321.59711961127,1806.09320231155,999.377563493041,1428.29213141611,740.200571542958,800.379314531286,828.867896465026,1032.40010404037,6020.5626937083,1491.0325560203,821.836693657803,1104.02289785587,2312.64638277701,936.908461427019,2675.06160499045,1010.42606467138,3314.66933745677,2327.70690078205,4138.21522555413,2153.0393294281,NA,488.500867418319,1969.65958553799
"Dimethylglycine",2431.73236525779,NA,2534.7630827083,648.640958756022,865.794225279811,3110.99565132593,5250.43069571378,1707.53323532863,11664.610281068,1823.92882548572,NA,1064.50700589797,1132.54729322864,445.80542078993,871.499335494835,3644.36736719206,2584.13919157241,1710.86341489868,1117.51887545374,1413.62668758581,2058.31547067917,2427.18963312161,1679.90551438112,2424.68075009742,3173.74165814495,4912.43425786288,3499.33937337847,2597.99810802238,7028.50174852311,3895.20015733705,1426.79928683098,4389.15867837782,1446.95732486392,4018.02354372298,4148.32167964921,1541.64609234196,1741.00259613996,1649.51530898992,2121.28054696266,2410.95563152192,1769.00459385101,3185.19574410257,706.866901488542,6355.07772551932,463.909125299334,9615.0590961257,1454.44563634088,1888.33647733988,1380.92829185097,2367.115752763,638.174104150095,2023.81205435359,1447.09551206682,574.602477829877,1782.3277584683,8769.00314466414,3060.83205388856,1378.25943774799,1226.25129915071,4866.99698649225,2223.09981128262,2743.45620759407,1300.48860963334,4025.4316682467,957.26265891788,1339.77354733371,3400.39025219246,6807.79420227667,15844.9547577844,1547.50575424264,246.591261115224,6297.36957664648,1885.41259746039,2099.52736150711,1257.2427458675,4253.80007284274,497.565426808194,883.188984080294,680.431863976229,2189.70347074837,12694.045412147,1051.27646401096,936.268009563922,2358.73577947614,873.887171781692,2779.23269759912,656.370864797296,3774.92604890168,1136.34077385555,5112.70922598866,2719.64368616327,715.608576038853,2507.83543196278,5233.73211019431,1073.41543659593,2103.19806166702
"2-Aminoisobutyric Acid",368.480584653836,16277.5042205803,4544.87430084903,1166.31291050879,741.919450396545,274.044102074602,4769.60017707948,238.804102485481,2819.89478426487,1073.36803847976,539.266894071366,2186.82712512361,712.422048825919,323.816263733198,751.686975361818,1187.00546775335,231.775582456776,463.677282132797,642.002964894487,1384.96392601793,920.81246880127,355.305612617669,550.164480551714,432.838867512525,255.079659313769,845.724897105317,767.204854374973,824.481712743502,779.954008700555,18620.149806246,197.638796012168,1650.23509933913,298.954219007051,637.696503206436,1009.9466908884,11951.4419954705,563.455188482815,731.90846491591,518.738212307073,397.772305286992,426.783176717588,1610.43382203132,12769.708828392,2843.20601170636,569.534664958046,1509.30615388912,326.664454643222,134.983229205703,295.516873378538,648.139954853086,1908.48394199461,926.252126877403,1851.67052606803,1133.72325972618,1334.00990822969,1682.92814486968,628.73166333466,298.14219253447,492.763354247163,2178.72392086793,766.167983813422,2919.49735039545,2421.45640122954,520.168865609705,478.222805209511,7712.09928334144,723.413447257442,717.809530190995,1935.56448217983,368.296425134428,1516.66384263124,332.349692273139,1973.06750420725,3571.88733099549,1446.32878400924,1728.86755422791,2080.17664723061,1777.16158797939,1075.18512698408,1874.90362196021,1375.69785489421,1289.46289722625,595.942211650294,1400.97270571303,624.887739982433,879.582594893741,1938.32386336474,440.363436536151,1307.33228830924,204.585807349734,966.142988000776,359.682964684971,1432.96118153789,13784.0696191792,683.188878735729,1651.04502098249
"Serine",92317.6869049167,40549.2801651599,122978.553392601,75044.2717733946,94920.8440015739,63680.5712883978,109432.165257728,34947.2766371969,279891.509156027,138786.102538904,37937.0984724113,90035.6434833348,58769.3035406405,58801.9114212028,62857.1904629753,80717.6392322914,71119.9742555248,43989.4045327653,59026.8759685774,133205.708498904,103443.581290108,155539.772625306,115628.08740367,47935.4907765019,48488.8804339329,85805.3224770357,128099.17221051,80586.9470990915,60982.2627179107,206285.619861235,86625.7286639305,114883.530928458,126925.729675213,50009.5383586245,94725.5824039844,22754.1513688726,63090.7104130774,229626.831912522,73531.9093587833,60866.266986824,77160.375332483,43745.9301531926,33018.6426580911,325337.999620128,179534.094806249,315023.444507252,45238.195531531,223246.457435597,67053.3402441615,58126.5417134563,54675.6241848984,59616.8565533935,162128.397928387,50434.3802557093,107039.941908552,96982.6044440516,43749.9553693956,119695.300471139,41677.9042862098,92869.2552952137,51233.6355402521,66154.3013469884,108918.849478849,74728.8871275917,256032.632627909,41216.7369420981,86010.0564428177,66652.3136090893,70588.3855104387,54781.8146335958,76848.1482114181,57784.685233498,37584.9650212469,320459.948076252,47528.0965995448,103847.979445304,59706.1399684786,27877.8256397288,51889.1692035971,51507.5714653909,122104.822172529,79750.4649206499,52283.9131904311,52481.1844843181,82600.7981528025,117642.68247515,75247.0186649634,155172.758269368,155369.558552219,104841.887161896,158571.197960184,89525.2152514706,121161.362937399,96620.6981773534,41738.2004695023,68983.1312444283
"Hypotaurine",1476.9071125916,516.695295354352,1208.44131904929,3036.21761284948,1477.11521435797,1418.74206933137,1776.48271066321,716.816807865956,253.563582856334,1098.83215660631,1072.19145615383,1576.45472770548,1210.68310544657,668.802423518559,1511.3510733127,427.511828236821,342.006082834995,920.004592410943,944.541007980836,1651.28736039874,1791.36857230356,538.624561925934,4368.74786567495,896.766521963776,1153.85818255649,2190.36763660455,870.97249867245,1170.66369431574,2645.23292606899,388.222523002534,2083.07810860166,1009.52383353685,353.101772431285,2060.69933664991,833.561430094803,5075.78262666239,1406.67707827842,210.972861519472,1093.86979377944,230.395213976537,1538.09479460016,11458.618993884,931.624859096549,2983.76102763855,232.568718793891,NA,3868.11779018225,970.849053908917,250.385363508659,1299.73895492923,1491.40469062075,466.443286954808,1057.68870988431,925.331856125778,1463.75014277434,746.347060153939,821.111643360773,558.653256565124,1189.40082775104,1445.44721424873,990.837323304752,1651.83992551023,18076.2337445781,1848.66010811365,79.0133257527286,1389.88190572545,1983.70055324737,1303.05092554348,2153.76561517268,789.8076089109,2814.89604569456,1073.95630325231,3817.43891857072,110.766331481111,1806.32306854942,3642.8976900618,1139.81219586233,1832.9435032073,690.524801645845,1304.3174448633,1944.65582839492,1999.23880682763,956.424832394906,1301.7823595194,818.889440601281,514.784226890524,1980.27187695633,1326.05089144302,733.682237333701,907.619218142082,805.674062295392,1260.14526705572,3439.13442523909,367.582012698547,418.375104804548,1657.38683937906
