"Gene","N_significant","Top_predictor","Min_padj"
"OG_00171",65,"lncRNA_370",0.000499900019996001
"OG_00297",54,"lncRNA_1251",0.000449910017996401
"OG_00355",36,"lncRNA_375",0.000959808038392321
"OG_00430",42,"lncRNA_1222",0.000763483666902983
"OG_00460",61,"lncRNA_301",0.00116167242741928
"OG_00843",48,"lncRNA_4088",0.0015996800639872
"OG_01023",76,"lncRNA_4048",0.000542748593138515
"OG_01117",69,"lncRNA_264",0.000394206872911132
"OG_01147",60,"lncRNA_099",0.000749850029994001
"OG_01155",66,"lncRNA_2970",0.000733186695994134
"OG_01277",60,"lncRNA_2421",0.000666533359994668
"OG_01317",64,"lncRNA_1062",0.000304700964568991
"OG_01354",62,"lncRNA_3448",0.00112704731780917
"OG_10355",72,"lncRNA_237",0.000449910017996401
"OG_10509",46,"lncRNA_2911",0.000383256681996934
"OG_10516",53,"lncRNA_2491",0.000706525361594348
"OG_10523",67,"lncRNA_214",0.000637967644566325
"OG_13792",72,"lncRNA_237",0.000411346302168138
"OG_14012",38,"lncRNA_3453",0.000949810037992401
