"Predictor","MeanImportance","Type","P_value","P_adj","Significant","Significance_Label","Feature"
"lncRNA_10227",0.0477872044780097,"lncRNA",0.0001999600079984,0.000499900019996001,TRUE,"***","OG_00171"
"lncRNA_25406",0.0406817795597246,"lncRNA",0.0001999600079984,0.000499900019996001,TRUE,"***","OG_00171"
"lncRNA_26600",0.0357603651922924,"lncRNA",0.0001999600079984,0.000499900019996001,TRUE,"***","OG_00171"
"lncRNA_26601",0.0348859900102538,"lncRNA",0.0001999600079984,0.000499900019996001,TRUE,"***","OG_00171"
"lncRNA_26602",0.0346873862617754,"lncRNA",0.0001999600079984,0.000499900019996001,TRUE,"***","OG_00171"
"lncRNA_10228",0.03400471308329,"lncRNA",0.0001999600079984,0.000499900019996001,TRUE,"***","OG_00171"
"lncRNA_10230",0.0339400459542409,"lncRNA",0.0001999600079984,0.000499900019996001,TRUE,"***","OG_00171"
"lncRNA_10234",0.0335235144944284,"lncRNA",0.0001999600079984,0.000499900019996001,TRUE,"***","OG_00171"
"FUN_017936",0.0285292793910144,"Other",0.00879824035192961,0.00937517414549877,TRUE,"**","OG_00171"
"lncRNA_42831",0.0275089031615199,"lncRNA",0.0001999600079984,0.000499900019996001,TRUE,"***","OG_00171"
"lncRNA_10226",0.0249064018369239,"lncRNA",NA,NA,NA,"","OG_00171"
"lncRNA_13394",0.0217870917924813,"lncRNA",0.0001999600079984,0.000499900019996001,TRUE,"***","OG_00171"
"lncRNA_46547",0.0199181848750711,"lncRNA",0.0001999600079984,0.000499900019996001,TRUE,"***","OG_00171"
"lncRNA_46345",0.0194289848109675,"lncRNA",0.0001999600079984,0.000499900019996001,TRUE,"***","OG_00171"
"lncRNA_25758",0.0169070938513917,"lncRNA",0.000799840031993601,0.00148541720227383,TRUE,"**","OG_00171"
"lncRNA_370",0.0155371153445777,"lncRNA",0.0001999600079984,0.000499900019996001,TRUE,"***","OG_00171"
"lncRNA_13395",0.0154781284988826,"lncRNA",0.0001999600079984,0.000499900019996001,TRUE,"***","OG_00171"
"lncRNA_13393",0.0152931840975898,"lncRNA",NA,NA,NA,"","OG_00171"
"lncRNA_29775",0.0152439812423458,"lncRNA",0.0001999600079984,0.000499900019996001,TRUE,"***","OG_00171"
"lncRNA_14743",0.0151249105772938,"lncRNA",0.0001999600079984,0.000499900019996001,TRUE,"***","OG_00171"
"lncRNA_6568",0.106957649347096,"lncRNA",0.0001999600079984,0.000449910017996401,TRUE,"***","OG_00297"
"lncRNA_18042",0.0580808468016891,"lncRNA",0.0001999600079984,0.000449910017996401,TRUE,"***","OG_00297"
"lncRNA_48715",0.0544408122449177,"lncRNA",0.0001999600079984,0.000449910017996401,TRUE,"***","OG_00297"
"lncRNA_37959",0.0360942077321322,"lncRNA",0.0001999600079984,0.000449910017996401,TRUE,"***","OG_00297"
"lncRNA_53562",0.0356018396166896,"lncRNA",0.000399920015996801,0.000744678650476801,TRUE,"***","OG_00297"
"lncRNA_25848",0.0281513797380506,"lncRNA",0.000399920015996801,0.000744678650476801,TRUE,"***","OG_00297"
"FUN_036941",0.0273326006470518,"Other",0.0027994401119776,0.00343567650106342,TRUE,"**","OG_00297"
"lncRNA_41028",0.0269322456472199,"lncRNA",0.0001999600079984,0.000449910017996401,TRUE,"***","OG_00297"
"lncRNA_2881",0.0268700711924993,"lncRNA",0.000799840031993601,0.00116733410074742,TRUE,"**","OG_00297"
"lncRNA_26985",0.0260333859644397,"lncRNA",0.0001999600079984,0.000449910017996401,TRUE,"***","OG_00297"
"lncRNA_19181",0.0248637511194087,"lncRNA",0.0001999600079984,0.000449910017996401,TRUE,"***","OG_00297"
"FUN_008541",0.0230269895258632,"Other",0.00919816036792642,0.010136748160572,TRUE,"*","OG_00297"
"lncRNA_18396",0.0218364901310394,"lncRNA",NA,NA,NA,"","OG_00297"
"lncRNA_27097",0.0214053460953308,"lncRNA",0.000799840031993601,0.00116733410074742,TRUE,"**","OG_00297"
"lncRNA_34942",0.0211951775135239,"lncRNA",0.0011997600479904,0.00161967606478704,TRUE,"**","OG_00297"
"FUN_003989",0.0207511942165925,"Other",0.010997800439912,0.0116447298775539,TRUE,"*","OG_00297"
"FUN_020894",0.0204573364821079,"Other",NA,NA,NA,"","OG_00297"
"lncRNA_42913",0.0201810351976353,"lncRNA",0.00339932013597281,0.00382423515296941,TRUE,"**","OG_00297"
"lncRNA_1072",0.0183417755797662,"lncRNA",NA,NA,NA,"","OG_00297"
"lncRNA_20302",0.017495556330759,"lncRNA",0.002999400119976,0.00344611928678094,TRUE,"**","OG_00297"
"lncRNA_8687",0.153854428849456,"lncRNA",0.0001999600079984,0.000763483666902983,TRUE,"***","OG_00430"
"lncRNA_51163",0.120157830415485,"lncRNA",0.0001999600079984,0.000763483666902983,TRUE,"***","OG_00430"
"lncRNA_30634",0.054837799597949,"lncRNA",0.0001999600079984,0.000763483666902983,TRUE,"***","OG_00430"
"lncRNA_30633",0.0537360559982446,"lncRNA",0.0001999600079984,0.000763483666902983,TRUE,"***","OG_00430"
"lncRNA_18527",0.0449433243139279,"lncRNA",0.0011997600479904,0.00201559688062388,TRUE,"**","OG_00430"
"lncRNA_3443",0.041514961721882,"lncRNA",0.0001999600079984,0.000763483666902983,TRUE,"***","OG_00430"
"lncRNA_3444",0.0411575085441671,"lncRNA",0.0001999600079984,0.000763483666902983,TRUE,"***","OG_00430"
"lncRNA_28643",0.0355283931436701,"lncRNA",0.000399920015996801,0.000988037686580331,TRUE,"***","OG_00430"
"lncRNA_1223",0.0298839120788516,"lncRNA",0.000799840031993601,0.00167966406718656,TRUE,"**","OG_00430"
"FUN_015403",0.0287859985827714,"Other",0.0023995200959808,0.00335932813437313,TRUE,"**","OG_00430"
"lncRNA_43480",0.0274194204830632,"lncRNA",0.00739852029594081,0.00757897201047595,TRUE,"**","OG_00430"
"lncRNA_1222",0.0264616576900028,"lncRNA",0.0001999600079984,0.000763483666902983,TRUE,"***","OG_00430"
"lncRNA_43112",0.0258029645877539,"lncRNA",0.000599880023995201,0.0013997200559888,TRUE,"**","OG_00430"
"lncRNA_46135",0.0239008176439847,"lncRNA",0.0011997600479904,0.00201559688062388,TRUE,"**","OG_00430"
"Cluster_17623",0.0224159223496965,"miRNA",NA,NA,NA,"","OG_00430"
"FUN_025701",0.0222613843282763,"Other",0.00339932013597281,0.00385868772191508,TRUE,"**","OG_00430"
"lncRNA_4419",0.0221513726020504,"lncRNA",0.0027994401119776,0.00356292377888059,TRUE,"**","OG_00430"
"lncRNA_51267",0.0214971607595866,"lncRNA",0.0017996400719856,0.0026994601079784,TRUE,"**","OG_00430"
"lncRNA_53507",0.0205173283272357,"lncRNA",0.0017996400719856,0.0026994601079784,TRUE,"**","OG_00430"
"lncRNA_18536",0.0194896205846204,"lncRNA",0.000799840031993601,0.00167966406718656,TRUE,"**","OG_00430"
"FUN_022630",0.315100355513176,"Other",0.0001999600079984,0.00116167242741928,TRUE,"**","OG_00460"
"lncRNA_41168",0.0502446758095471,"lncRNA",0.0001999600079984,0.00116167242741928,TRUE,"**","OG_00460"
"FUN_001388",0.0485949082395364,"Other",0.002999400119976,0.00389283845358588,TRUE,"**","OG_00460"
"lncRNA_43208",0.0421286354515064,"lncRNA",0.0001999600079984,0.00116167242741928,TRUE,"**","OG_00460"
"lncRNA_44403",0.038936530838296,"lncRNA",0.0001999600079984,0.00116167242741928,TRUE,"**","OG_00460"
"FUN_035269",0.0306703961004934,"Other",0.002999400119976,0.00389283845358588,TRUE,"**","OG_00460"
"FUN_024002",0.0290049338200077,"Other",NA,NA,NA,"","OG_00460"
"lncRNA_372",0.0266204398488523,"lncRNA",0.000399920015996801,0.00116167242741928,TRUE,"**","OG_00460"
"lncRNA_38182",0.0261856181321751,"lncRNA",0.00459908018396321,0.00550086061219129,TRUE,"**","OG_00460"
"lncRNA_42973",0.024139327104305,"lncRNA",0.0001999600079984,0.00116167242741928,TRUE,"**","OG_00460"
"lncRNA_20202",0.0236856372904829,"lncRNA",0.000399920015996801,0.00116167242741928,TRUE,"**","OG_00460"
"lncRNA_44589",0.0224198927885059,"lncRNA",0.0001999600079984,0.00116167242741928,TRUE,"**","OG_00460"
"lncRNA_20201",0.0213587067889923,"lncRNA",0.000399920015996801,0.00116167242741928,TRUE,"**","OG_00460"
"FUN_005112",0.0189246119545022,"Other",0.0015996800639872,0.00250206368982614,TRUE,"**","OG_00460"
"FUN_032750",0.0179992682569021,"Other",NA,NA,NA,"","OG_00460"
"lncRNA_53947",0.0176500612414161,"lncRNA",0.000999800039992002,0.00196734846579071,TRUE,"**","OG_00460"
"lncRNA_7208",0.0168336200695679,"lncRNA",0.0001999600079984,0.00116167242741928,TRUE,"**","OG_00460"
"lncRNA_301",0.0167103624822615,"lncRNA",0.000399920015996801,0.00116167242741928,TRUE,"**","OG_00460"
"lncRNA_54016",0.0156763323753514,"lncRNA",0.0025994801039792,0.00360382468960753,TRUE,"**","OG_00460"
"FUN_036221",0.0145951768835647,"Other",NA,NA,NA,"","OG_00460"
"lncRNA_25174",0.138115064035825,"lncRNA",0.0001999600079984,0.0015996800639872,TRUE,"**","OG_00843"
