JT001945.1	Pocillopora_meandrina_HIv1___RNAseq.g26354.t1	3.02e-93	283
JR972076.1	Pocillopora_meandrina_HIv1___RNAseq.g7413.t1	3.44e-69	228
JR991407.1	Pocillopora_meandrina_HIv1___RNAseq.g28782.t1	2.76e-99	301
JT014391.1	Pocillopora_meandrina_HIv1___RNAseq.g17597.t1	3.82e-42	142
JT016638.1	Pocillopora_meandrina_HIv1___RNAseq.g20694.t1	0.0	1160
JT011118.1	Pocillopora_meandrina_HIv1___RNAseq.g1463.t1	0.0	6081
JR994474.1	Pocillopora_meandrina_HIv1___RNAseq.g1463.t1	0.0	10289
JR982706.1	Pocillopora_meandrina_HIv1___RNAseq.g4364.t1b	2.24e-64	218
JR997000.1	Pocillopora_meandrina_HIv1___RNAseq.g25429.t1	2.32e-45	163
JR976690.1	Pocillopora_meandrina_HIv1___RNAseq.g13096.t1	2.16e-38	136
aug_v2a.24015.t1	Pocillopora_meandrina_HIv1___RNAseq.g19147.t1	0.0	1711
aug_v2a.02830	Pocillopora_meandrina_HIv1___TS.g21950.t1	0.0	1883
JN631095.1	Pocillopora_meandrina_HIv1___TS.g30016.t1	1.11e-150	432
HM163215	Pocillopora_meandrina_HIv1___RNAseq.g4499.t1	8.53e-46	158
JR980881.1	Pocillopora_meandrina_HIv1___RNAseq.g4779.t1	0.0	929
JR998014.1	Pocillopora_meandrina_HIv1___RNAseq.g30111.t1	7.80e-32	114
aug_v2a.19518.t1	Pocillopora_meandrina_HIv1___RNAseq.g9346.t1	0.0	2900
JR991083.1	Pocillopora_meandrina_HIv1___TS.g13920.t1	0.0	799
JR973117.1	Pocillopora_meandrina_HIv1___RNAseq.g5928.t1a	3.96e-54	176
JR998260.1	Pocillopora_meandrina_HIv1___RNAseq.g12145.t1	1.15e-157	447
aug_v2a.24512.t1	Pocillopora_meandrina_HIv1___RNAseq.g4779.t1	4.12e-123	400
aug_v2a.06122.t1	Pocillopora_meandrina_HIv1___RNAseq.g4779.t1	0.0	556
aug_v2a.06123.t1	Pocillopora_meandrina_HIv1___RNAseq.g4779.t1	5.34e-139	438
aug_v2a.02830.t1	Pocillopora_meandrina_HIv1___TS.g21950.t1	0.0	1272
