,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cluster_1819,46.3943872712645,0.165832021835432,0.224191819336008,0,1,1
Cluster_1832,687.609671194776,-0.0764895721331796,0.195463694632071,0,1,1
Cluster_1833,19.2360810639362,0.276605974050027,0.821227831380787,0,1,1
Cluster_1836,2957.7031052855,-0.35145894899526,0.261042469242989,0,1,1
Cluster_1865,199.412993245008,-0.307764870468828,0.20970088385589,0,1,1
Cluster_1950,273.378491281365,0.194744085667573,0.200921428770485,0,1,1
Cluster_1951,315.774269670822,-0.229544214871448,0.981672910476014,0,1,1
Cluster_2372,1254.78221867392,-0.411580146756105,0.176569873275724,0,1,1
Cluster_2500,31.4709877765604,-0.178252197838015,0.303316270672788,0,1,1
Cluster_2746,326.635656458503,-0.165474150505541,0.183487858259718,0,1,1
Cluster_3109,10.2805462841656,0.637855621692529,0.353332365071426,0,1,1
Cluster_3226,397.02563143888,-0.485019871199573,0.202023214063327,0,1,1
Cluster_3227,453.777916654932,-0.315067325324468,0.698539544120704,0,1,1
Cluster_3301,370.61796740406,0.0486774668333228,0.197621415881264,0,1,1
Cluster_4026,3.47893534705154,0.382595555839514,0.570669764666457,0,1,1
Cluster_4034,1289.14497688074,0.533661454884249,0.136986401155611,0,1,1
Cluster_4036,20.0751151532813,0.277958507829585,0.314725268760788,0,1,1
Cluster_4752,6738.75141966952,0.725087453776123,0.238838308514324,0,1,1
Cluster_4754,104.407308435716,-0.847823556789266,0.298460926402759,0,1,1
Cluster_5516,219.20047831514,-0.468599991121615,0.146837965339127,0,1,1
Cluster_5517,5039.20703656497,-0.237387292143484,0.148334038290929,0,1,1
Cluster_5603,737.192383869078,0.367777205293018,0.188366031162846,0,1,1
Cluster_5685,1.05619616293436,0.883172513076976,1.1991117423198,0,1,1
Cluster_9366,263.196852177994,0.107822375884682,0.169566412097592,0,1,1
Cluster_9380,848.233946850644,-0.0258348391469885,0.124768323966929,0,1,1
Cluster_9420,552.119120956916,-0.304181068278173,0.143273815156883,0,1,1
Cluster_9512,2610.0077783521,-0.00619653209963033,0.215205448021457,0,1,1
Cluster_9532,69.9611420634016,0.162090007651727,0.227475689948367,0,1,1
Cluster_9706,178.936611254521,0.275104976228488,0.239884907343788,0,1,1
Cluster_9786,883.188768926256,-0.178292128999034,0.149477513853439,0,1,1
Cluster_10452,40.2336442622222,0.248198971146647,0.264517988042939,0,1,1
Cluster_11565,1.98022959668184,0.651523839035636,0.889928880252118,0,1,1
Cluster_12081,2.14768732233151,0.316610195699593,0.704441958580344,0,1,1
Cluster_12083,2.4402875176929,-0.257026246297836,0.672390305432177,0,1,1
Cluster_12087,2.33828367221797,0.50317114310771,0.672991335411957,0,1,1
Cluster_13327,24.0690174110642,0.14040269929464,0.353025499609554,0,1,1
Cluster_13647,0.459777444897435,-0.811592937163783,1.79964809333678,0,1,1
Cluster_14146,481.508110507892,0.253122623172665,0.190816777930291,0,1,1
Cluster_14165,492.686551645196,-0.77492357484098,0.315355468873319,0,1,1
Cluster_14532,4066.48084325471,-0.156212021229848,0.252866996867825,0,1,1
Cluster_14605,41.4811538495951,-0.0562980340796484,0.206684882786163,0,1,1
Cluster_14610,41.7148078273119,0.102439717050849,0.273714253593568,0,1,1
Cluster_14633,0.907058031529109,-0.0993706555639051,1.14702052990463,0,1,1
Cluster_14692,66.6776495489019,0.20186682514155,0.189940957732375,0,1,1
Cluster_15097,293.155752820191,-0.13799943971108,0.334732835821006,0,1,1
Cluster_16354,20789.8794114832,-0.24006885566042,0.30221741183627,0,1,1
Cluster_17173,3055.94550929787,0.251870207973365,0.181822777807881,0,1,1
Cluster_17186,124.623074122154,0.713135669927067,0.191666478221308,0,1,1
Cluster_17192,72899.8548235039,0.405039609298734,0.200161619251617,0,1,1
Cluster_17245,341.414880541146,0.250633687506457,0.284727449695471,0,1,1
Cluster_17623,13.4390867156847,-0.356725013756153,0.273750908858523,0,1,1
