X1A1_ACR.173_TP1	X1A10_ACR.145_TP4	X1A12_ACR.237_TP3	X1A2_ACR.244_TP4	X1A8_ACR.186_TP2	X1A9_ACR.244_TP2	X1B1_ACR.225_TP3	X1B10_ACR.150_TP4	X1B2_ACR.173_TP3	X1B5_ACR.229_TP1	X1B9_ACR.265_TP4	X1C10_ACR.173_TP4	X1C4_ACR.139_TP4	X1D10_ACR.265_TP2	X1D3_ACR.225_TP4	X1D4_ACR.237_TP4	X1D6_ACR.229_TP2	X1D8_ACR.237_TP2	X1D9_ACR.229_TP4	X1E3_ACR.150_TP2	X1E5_ACR.139_TP3	X1E9_ACR.237_TP1	X1F11_ACR.173_TP2	X1F4_ACR.150_TP3	X1F8_ACR.145_TP3	X1G5_ACR.244_TP3	X1H11_ACR.225_TP1	X1H12_ACR.186_TP3	X1H6_ACR.225_TP2	X1H7_ACR.229_TP3	X1H8_ACR.186_TP4	X2B2_ACR.145_TP1	X2B3_ACR.139_TP2	X2C1_ACR.244_TP1	X2C2_ACR.139_TP1	X2D2_ACR.150_TP1	X2E2_ACR.186_TP1	X2F1_ACR.265_TP1	X2G1_ACR.145_TP2
Cluster_74	16.7758040342258	14.4869081068828	3.29417849714603	7.24841683490707	0	8.4626645430723	33.6442916129444	1.39409094371882	10.9864531413643	24.1980950202952	15.853567508876	7.97475913882045	3.9283661887073	5.32236176188651	87.0542079673499	11.6335998224384	12.6331056375577	4.70353684554246	24.2920419921969	4.78593275180609	6.22378383643075	5.37456759200484	8.35994287798166	5.41891671227823	4.12032376770181	13.7618102606302	38.291241792369	13.1253972825225	31.3050232302114	12.2084766260463	10.5207077015499	10.2329695097737	14.41182700965	24.9271185568666	14.8740994033292	4.72881832702693	14.0147972138902	9.63372862631479	2.51164513817656
Cluster_232	6.3632360129822	0	3.29417849714603	10.8726252523606	6.52905034191893	27.6150106142359	0	0	15.106373069376	0.372278384927618	0	5.98106935411534	58.9254928306096	0.760337394555216	0	3.17279995157412	0.382821382956295	5.37547068061996	0.899705258970255	0	62.2378383643075	1.34364189800121	11.7039200291743	2.70945835613911	0	18.8319508829676	0	1.87505675464607	0	3.05211915651156	2.10414154030997	1.02329695097737	78.9517479659089	12.8933371845862	145.199541794404	7.0932274905404	1.75184965173627	0	2.00931611054125
Cluster_238	6.3632360129822	0	5.49029749524339	11.5974669358513	5.44087528493244	30.2874309962588	0	2.78818188743764	16.4796797120465	0.372278384927618	0	5.98106935411534	60.8896759249632	0	0.320052235174081	3.70159994350314	0.382821382956295	6.04740451569745	0.899705258970255	0	56.0140545278768	1.34364189800121	9.19593716577982	2.70945835613911	0	19.5562566861587	0	1.87505675464607	0	2.03474610434104	3.15621231046496	0	77.6985456172437	13.7528929968919	143.782960898849	7.0932274905404	1.75184965173627	0	2.51164513817656
Cluster_938	0.5784760011802	3.6217270267207	3.29417849714603	0.724841683490707	65.2905034191893	12.9166985131104	0	0	1.37330664267054	6.32873254376951	0	3.98737956941023	1.96418309435365	14.4464104965491	4.16067905726305	2.6439999596451	44.4072804229303	5.37547068061996	1.79941051794051	82.557339968655	0	4.03092569400363	2.5079828633945	7.45101047938256	4.12032376770181	5.79444642552851	2.06979685364157	1.87505675464607	9.96068920961271	5.0868652608526	13.6769200120148	2.04659390195475	8.14581526632393	3.43822324922298	3.54145223888791	1.18220458175673	3.50369930347255	3.21124287543826	11.0512386079769
Cluster_967	12.7264720259644	25.3520891870449	16.4708924857302	13.0471503028327	31.5570766526082	11.5804883220989	7.20949105991666	13.9409094371882	12.3597597840349	21.2198679408742	22.8995975128208	19.9368978470511	13.7492816604756	18.2480974693252	19.843238580793	8.98959986279334	15.3128553182518	11.4228751963174	11.6961683666133	23.5308360297133	24.895135345723	10.7491351840097	14.2119028925688	7.45101047938256	16.4812950708073	28.2479263244515	20.6979685364157	15.0004540371685	12.8066004123592	8.13898441736417	27.3538400240296	38.8852841371402	28.1970528449675	20.6293394953379	29.0399083588808	5.91102290878367	15.7666468656265	16.0562143771913	10.5489095803415
Cluster_1810	21.4036120436674	18.1086351336035	21.9611899809735	10.1477835688699	60.9378031912434	58.3478450074985	12.0158184331944	34.8522735929705	15.106373069376	33.8773330284132	14.0920600078897	7.97475913882045	15.7134647548292	54.7442924079756	13.7622461124855	15.8639997578706	32.1569961683288	36.2844270941847	18.8938104383753	44.2698779542063	18.6713515092923	36.2783312460327	44.3076972533028	28.4493127394607	30.9024282577636	21.7291740957319	22.7677653900572	9.37528377323033	31.3050232302114	32.5559376694567	18.9372738627897	27.6290176763891	61.4069150845958	24.0675627445609	29.7481988066584	10.6398412358106	14.0147972138902	19.2674572526296	24.6141223541303
Cluster_1829	5.784760011802	28.9738162137656	36.2359634686064	44.2153426929331	31.5570766526082	61.0202653895213	2.40316368663889	13.9409094371882	9.6131464986938	20.475311171019	19.3765825108484	5.98106935411534	31.4269295096584	45.620243673313	0.640104470348161	36.4871994431024	25.6490326580718	30.2370225784873	21.5929262152861	39.0851174730831	24.895135345723	22.8419122660206	3.34397715119266	31.1587710955998	28.8422663739127	43.4583481914638	1.03489842682078	31.8759648289831	0.948637067582163	32.5559376694567	19.9893446329447	36.8386902351854	36.969469285624	21.4888953076436	30.456489254436	24.8262962168914	10.5110979104176	16.0562143771913	41.1909802660956
Cluster_1888	9.8340920200634	9.05431756680174	19.7650709828762	4.34905010094424	77.2604290460407	31.6236411872702	8.4110729032361	2.78818188743764	13.7330664267054	12.2851867026114	5.28452250295865	3.98737956941023	1.96418309435365	11.4050609183282	5.12083576278529	3.17279995157412	22.2036402114651	12.7667428664724	3.59882103588102	22.7331805710789	6.22378383643075	6.71820949000605	45.1436915411009	11.5151980135912	4.12032376770181	26.0750089148783	4.13959370728314	11.2503405278764	14.2295560137324	28.4864454607746	15.7810615523248	7.16307865684161	6.2660117433261	9.4551139353632	2.12487134333274	2.36440916351347	5.25554895520882	9.63372862631479	20.5954901330478
Cluster_2304	31.2377040637308	7.2434540534414	16.4708924857302	12.322308619342	3.26452517095947	2.22701698501903	43.2569463594999	22.3054550995011	76.9051719895504	2.23367030956571	17.6150750098622	31.8990365552818	54.9971266419022	12.9257357074387	4.16067905726305	15.3351997659416	9.57053457390739	4.70353684554246	4.49852629485127	17.9472478192728	105.804325219323	12.0927770820109	26.7518172095413	56.8986254789214	32.9625901416145	11.588892851057	6.2093905609247	15.0004540371685	5.69182240549298	16.2779688347283	4.20828308061994	13.3028603627059	27.5704516706348	2.57866743691724	22.6652943288826	49.6525924337828	12.2629475621539	9.63372862631479	20.5954901330478
Cluster_2329	6.9417120141624	10.8651810801621	494.126774571905	51.4637595278402	60.9378031912434	57.0116348164871	627.225722212749	105.95091172263	12.3597597840349	14.8911353971047	19.3765825108484	7.97475913882045	1.96418309435365	37.2565323332056	837.576699450569	435.202393357583	26.4146754239844	485.136228925951	31.4896840639589	32.3050460746911	6.22378383643075	103.460426146093	9.19593716577982	338.682294517389	14.4211331869563	84.0194731701633	694.416844396746	30.0009080743371	1634.97598597786	46.799160399844	36.8224769554245	20.4659390195475	16.9182317069805	45.5564580522045	15.5823898511068	575.733631315529	15.7666468656265	9.63372862631479	328.020855045859
