,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cluster_74,13.9158353285767,0.926418497870964,0.325089973812837,0,1,1
Cluster_232,12.7802793117205,-0.124630715492702,0.475840476656119,0,1,1
Cluster_238,12.8081605364591,-0.145952993371875,0.494154551125768,0,1,1
Cluster_938,8.92731039590915,-2.62536220192773,0.546547325365073,-2.97387275812218,0.00294066989617554,0.0194084213147585
Cluster_967,17.4913404188461,0.112468297406195,0.278605396338626,0,1,1
Cluster_1810,26.8508228789941,-0.872384800041661,0.243547931975244,0,1,1
Cluster_1829,24.8615207439045,-0.631441300316969,0.208307300734517,0,1,1
Cluster_1888,13.2790446331011,-1.79003135191195,0.34133648862413,-2.31452358081152,0.0206390192944317,0.0908116848954994
Cluster_2304,21.6120210990627,0.185662091997284,0.343979639348886,0,1,1
Cluster_2329,189.311986743653,-1.08733718754871,0.495117867728352,-0.176396759723949,0.859982250118218,1
Cluster_2574,17.5643499684813,-1.02795202259423,0.570535296790909,-0.0489926263133159,0.960925172234251,1
Cluster_2970,22.8892827043565,3.43872612909238,0.714624143598043,3.41259968745765,0.00064346387681709,0.00849372317398558
Cluster_2990,15.998708054869,-0.0676522863521429,0.250187079234363,0,1,1
Cluster_3087,46.7941270023825,-0.744448006231438,0.284959319855875,0,1,1
Cluster_3157,13.5780183317024,1.12229594124435,0.417195962939397,0.293137882693535,0.769416761748462,1
Cluster_3519,14.7050794313024,2.9200549156775,0.591415553822304,3.24654112200505,0.00116816570676833,0.0128498227744516
Cluster_4085,210.762458394218,-2.20545263971512,1.16579345597889,-1.03401904817087,0.301127258420747,0.828099960657055
Cluster_4626,72.8743686231928,3.46588117859082,0.598832327410434,4.11781573191644,3.82480321028743e-05,0.000841456706263234
Cluster_4896,128.436186388788,0.49170891968521,1.05579628736654,0,1,1
Cluster_5169,99.6933022869279,-0.66592094207784,0.541034657755512,0,1,1
Cluster_5385,20.4981211929889,-2.88881162512759,0.782695314752925,-2.41321442651517,0.0158125138201436,0.0745447080092483
Cluster_5831,15.8887130485334,-0.653458348716484,0.41547866997159,0,1,1
Cluster_5995,42.6747831714715,-0.936645431693298,0.345529187446531,0,1,1
Cluster_6082,67.011131868385,-0.808843767195233,0.235698329080171,0,1,1
Cluster_6099,16.1552487525097,-0.0186969457295755,0.248921571645844,0,1,1
Cluster_6113,13.1784658594777,-0.379325433927511,0.621503417398702,0,1,1
Cluster_6217,9.5223888550422,1.18301268107716,0.957547472625789,0.191126483343226,0.848426499375416,1
Cluster_6777,1118.48244659949,-0.200592214113146,0.140886416344411,0,1,1
Cluster_6816,16.9316210115134,2.73799090753803,0.71582680848461,2.42794889341644,0.015184482817719,0.0745447080092483
Cluster_7171,120.002839994394,3.1787017726968,0.775212469852839,2.81045759378766,0.00494711077575864,0.0286806589854219
Cluster_7537,13.3422505587256,2.96039075735308,0.91259781419212,2.14814316544088,0.0317023840344368,0.123079843898402
Cluster_8145,13.345363814459,-1.80969739883377,0.359147398381224,-2.25449885613343,0.0241648025495991,0.0996798105170963
Cluster_8818,117.093007170822,2.2919431919612,0.666248663669534,1.93913063156554,0.0524854336545219,0.182317822168339
Cluster_9531,11.2016375392226,-1.18262772995914,0.420144792857951,-0.434678075424551,0.6637961146289,1
Cluster_9699,40.2822173443178,1.33157298978299,0.598511227159056,0.553996273982802,0.579581395730035,1
Cluster_9840,167.04793494869,4.40086934707691,0.693308347459248,4.90527679284406,9.32956807076088e-07,3.07875746335109e-05
Cluster_10133,66.415035137357,-0.893060619237382,0.217194981486818,0,1,1
Cluster_10906,54.6595619276995,0.663091018488012,0.181860616109426,0,1,1
Cluster_11635,9.164766556816,1.27891977095204,0.464869119013733,0.599996342075372,0.548508673323785,1
Cluster_11991,29.8147800426392,0.64677764537768,0.270979834317827,0,1,1
Cluster_11992,13.9667479071734,1.70308497432596,0.503596644392122,1.39612720250476,0.162676193529309,0.488028580587928
Cluster_11993,12.9697268229194,0.0890715708614125,0.370387629729371,0,1,1
Cluster_12137,15.1219490269007,-0.0302991293765038,0.357029285575636,0,1,1
Cluster_12143,20.8728659050996,-0.750122410507107,0.288052359681157,0,1,1
Cluster_13376,11.4256867732631,1.46251466540174,1.44782661905133,0.319454456297258,0.749381922066333,1
Cluster_13476,26.6070666887605,1.82254122561367,0.458368359100171,1.79449826604177,0.0727336751263666,0.228591550397152
Cluster_13579,12.1656536812817,-2.19965287204602,0.386429214254699,-3.10445698149343,0.00190628646680231,0.0175254104931153
Cluster_13580,12.0323094357416,-2.23012972831879,0.40720488554593,-3.02091102534192,0.00252015402906594,0.0184811295464836
Cluster_13593,42.0715638906907,0.348388507359256,1.25104905196037,0,1,1
Cluster_13861,9.64027330637045,3.3825331411243,0.644917570310381,3.69432195804133,0.000220474309182313,0.00363782610150817
Cluster_14573,26.6044525998133,-1.06668852037434,0.805627101225647,-0.0827783974408098,0.934027746509241,1
Cluster_14698,11.802530140122,-1.46293064603648,0.378546324146965,-1.22291676475705,0.221361135821645,0.635210215836024
Cluster_14993,19.729056056987,2.89963256098119,0.680027306809618,2.79346511817799,0.00521466527007672,0.0286806589854219
