,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cluster_1,13.0128334536251,0.218128980362528,0.453610532138252,0,1,1
Cluster_2,55.8529120904793,0.294065315787378,0.477249469189782,0,1,1
Cluster_3,13.552961654198,-0.0704702552137088,0.40016425809347,0,1,1
Cluster_4,57.1717948389095,-0.100187508248255,0.429565242076323,0,1,1
Cluster_5,13.4828469764265,-0.612183957483377,0.657796666254623,0,1,1
Cluster_6,35.7885714317062,-0.0292532032469894,0.655648543733349,0,1,1
Cluster_7,59.5891419251106,0.143259174065775,0.4439441153976,0,1,1
Cluster_8,13.7558690567269,-0.169736151086962,0.470958925908473,0,1,1
Cluster_9,67.7961755790536,0.577292945414958,0.447699998816794,0,1,1
Cluster_10,14.1387789669923,-0.067376946471408,0.460116711842965,0,1,1
Cluster_11,65.8485778328804,0.396267599030479,0.417102049802895,0,1,1
Cluster_12,13.8152117171747,-0.302140433692407,0.451643385866654,0,1,1
Cluster_13,59.2095642216824,0.0765096084445992,0.461778694149762,0,1,1
Cluster_14,13.4395532633038,-0.639388939964645,0.562024582016287,0,1,1
Cluster_15,58.3605701370835,0.526883510413085,0.380823506034535,0,1,1
Cluster_16,13.5226578180183,-0.470141767203578,0.46984508983367,0,1,1
Cluster_17,58.3573753848236,0.49668313014766,0.380978030325993,0,1,1
Cluster_18,13.9791919433336,0.357913369076668,0.386851291194887,0,1,1
Cluster_19,66.3782482035391,0.505513549902755,0.435210417425614,0,1,1
Cluster_20,12.3664045981413,-0.415518770574992,0.452207967240433,0,1,1
Cluster_21,10.8773363554873,0.390847367123435,0.535267998996937,0,1,1
Cluster_22,49.3958368384455,1.36601850133389,0.843678219855265,0.43383661296446,0.664407092233521,1
Cluster_23,18.1672935375723,0.124209403596607,0.547201255296525,0,1,1
Cluster_24,14.0824163968586,-0.107046456083055,0.684714130917535,0,1,1
Cluster_25,13.3797778711566,-0.330561646044483,0.721129690244334,0,1,1
Cluster_26,110.586803812192,-0.580889817827782,0.46448659083777,0,1,1
Cluster_27,19.1369542930629,0.0158513563237858,0.330625268370979,0,1,1
Cluster_28,52.3565854193178,0.0921838137854639,0.308545398047015,0,1,1
Cluster_29,65.1745719599963,0.11228791261202,0.40624070783359,0,1,1
Cluster_30,1926.97760781007,0.0464598133819568,0.225901496215561,0,1,1
Cluster_31,29.5616577658882,0.277233497013024,0.821588522501308,0,1,1
Cluster_32,14.6927920081479,0.631128315210018,0.839576295162532,0,1,1
Cluster_33,15.168277305169,-1.2083909018674,1.13910361870365,-0.182942884603037,0.85484283362623,1
Cluster_34,14.4495854345816,0.418719265069196,1.18205812553382,0,1,1
Cluster_35,121.133260787542,-0.222697202807693,0.628222872597654,0,1,1
Cluster_36,42.9340661830323,-0.544997178290208,0.529496181930069,0,1,1
Cluster_37,98.096789974519,1.34159998137141,0.801970164476019,0.425950984840695,0.670143562436124,1
Cluster_38,57.9318224739186,0.528686147810642,0.755796801316308,0,1,1
Cluster_39,9.44211749446901,-0.68300557518186,1.29441128542026,0,1,1
Cluster_40,96.1315606623151,-2.84952619344893,2.55080039188901,-0.725076803081111,0.46840491440573,1
Cluster_41,54.9196351259043,1.46907685196268,0.977510165189068,0.479869027113343,0.631320526202767,1
Cluster_42,55.8225042189342,0.0871371482791711,0.433006441733294,0,1,1
Cluster_43,278.530779053492,-0.32823524177187,0.442916656023177,0,1,1
Cluster_44,13.8679449288479,-0.429570475566191,0.550331221308811,0,1,1
Cluster_45,40.0543765868966,-0.153203435710066,0.667473211145608,0,1,1
Cluster_46,22.8158462010437,-0.0404226647858785,0.436816987041585,0,1,1
Cluster_47,15.4424059049513,-0.460088252308503,0.575111597615136,0,1,1
Cluster_48,14.5461072284871,0.366037234174593,0.74649461725214,0,1,1
Cluster_49,134.821993468969,-0.170967540544613,0.766023192837324,0,1,1
Cluster_50,38.0598812560978,0.218815646326955,0.443618548354382,0,1,1
Cluster_51,37.3574382637072,-0.0127804992415022,0.632965734106441,0,1,1
Cluster_52,8.36006864195773,-0.200046040021164,0.762055391523206,0,1,1
Cluster_53,47.2612428365979,0.244038345157917,0.607275126376783,0,1,1
Cluster_54,32.6234178644422,0.822168613882021,0.497808064736744,0,1,1
Cluster_55,44.277229453814,-1.06814674847494,0.458942335765018,-0.148486515983197,0.881958826679563,1
Cluster_56,103.585851758629,0.292624050253485,1.27753342951296,0,1,1
Cluster_57,50.2341031583241,0.0496437501677746,0.943732763935087,0,1,1
Cluster_58,36.9939403869144,-0.49219077337764,0.521607066107828,0,1,1
Cluster_59,39.4739134608639,-2.10926487995024,1.17954389975641,-0.940418478853831,0.347002947270869,1
Cluster_60,62.5223912157903,-22.6073038141491,4.17614794159278,-5.17397949410482,2.2915998533131e-07,0.00043276863229818
Cluster_61,21.2136065299735,0.0967433469270349,0.651133365450197,0,1,1
Cluster_62,53.4822530455791,0.323882249589779,0.455466343584849,0,1,1
Cluster_63,56.5827076017757,0.0228849840108002,0.231712523407589,0,1,1
Cluster_64,38.8155739881143,0.946727467577936,0.429993730407067,0,1,1
Cluster_65,14.6809675886694,-0.300725945152211,0.349908034091967,0,1,1
Cluster_66,37.0093778905969,-0.395261915582967,0.5633464053513,0,1,1
Cluster_67,17.0982796632849,-1.48001456798617,0.762583953752179,-0.629457996885894,0.529049258949047,1
Cluster_68,18.5179306434493,-0.915093244415492,0.942106593043222,0,1,1
Cluster_69,253.100864810958,0.129524074418462,0.378990546063474,0,1,1
