1A10_ACR-145_TP4	1A12_ACR-237_TP3	1A1_ACR-173_TP1	1A2_ACR-244_TP4	1A8_ACR-186_TP2	1A9_ACR-244_TP2	1B10_ACR-150_TP4	1B1_ACR-225_TP3	1B2_ACR-173_TP3	1B5_ACR-229_TP1	1B9_ACR-265_TP4	1C10_ACR-173_TP4	1C4_ACR-139_TP4	1D10_ACR-265_TP2	1D3_ACR-225_TP4	1D4_ACR-237_TP4	1D6_ACR-229_TP2	1D8_ACR-237_TP2	1D9_ACR-229_TP4	1E1_ACR-265_TP3	1E3_ACR-150_TP2	1E5_ACR-139_TP3	1E9_ACR-237_TP1	1F11_ACR-173_TP2	1F4_ACR-150_TP3	1F8_ACR-145_TP3	1G5_ACR-244_TP3	1H11_ACR-225_TP1	1H12_ACR-186_TP3	1H6_ACR-225_TP2	1H7_ACR-229_TP3	1H8_ACR-186_TP4	2B2_ACR-145_TP1	2B3_ACR-139_TP2	2C1_ACR-244_TP1	2C2_ACR-139_TP1	2D2_ACR-150_TP1	2E2_ACR-186_TP1	2F1_ACR-265_TP1	2G1_ACR-145_TP2
Cluster_74	8	3	29	10	0	19	1	28	8	65	9	4	2	7	272	22	33	7	27	2	12	1	4	10	8	2	19	37	7	66	12	10	10	23	29	21	4	8	3	5
Cluster_232	0	3	11	15	6	62	0	0	11	1	0	3	30	1	0	6	1	8	1	0	0	10	1	14	4	0	26	0	1	0	3	2	1	126	15	205	6	1	0	4
Cluster_238	0	5	11	16	5	68	2	0	12	1	0	3	31	0	1	7	1	9	1	0	0	9	1	11	4	0	27	0	1	0	2	3	0	124	16	203	6	1	0	5
Cluster_938	2	3	1	1	60	29	0	0	1	17	0	2	1	19	13	5	116	8	2	2	207	0	3	3	11	2	8	2	1	21	5	13	2	13	4	5	1	2	1	22
Cluster_967	14	15	22	18	29	26	10	6	9	57	13	10	7	24	62	17	40	17	13	14	59	4	8	17	11	8	39	20	8	27	8	26	38	45	24	41	5	9	5	21
Cluster_1810	10	20	37	14	56	131	25	10	11	91	8	4	8	72	43	30	84	54	21	8	111	3	27	53	42	15	30	22	5	66	32	18	27	98	28	42	9	8	6	49
Cluster_1829	16	33	10	61	29	137	10	2	7	55	11	3	16	60	2	69	67	45	24	31	98	4	17	4	46	14	60	1	17	2	32	19	36	59	25	43	21	6	5	82
Cluster_1888	5	18	17	6	71	71	2	7	10	33	3	2	1	15	16	6	58	19	4	5	57	1	5	54	17	2	36	4	6	30	28	15	7	10	11	3	2	3	3	41
Cluster_2304	4	15	54	17	3	5	16	36	56	6	10	16	28	17	13	29	25	7	5	68	45	17	9	32	84	16	16	6	8	12	16	4	13	44	3	32	42	7	3	41
Cluster_2329	6	450	12	71	56	128	76	522	9	40	11	4	1	49	2617	823	69	722	35	13	81	1	77	11	500	7	116	671	16	3447	46	35	20	27	53	22	487	9	3	653
