"miRNA","Gene","Correlation","P_value"
"Cluster_13327","FUN_002333",0.707506664531543,3.31354486165521e-07
"Cluster_3109","FUN_002335",0.708897879629527,3.06828024632479e-07
"Cluster_1865","FUN_002494",0.738121351202638,5.46796944512849e-08
"Cluster_1865","FUN_002499",0.711528645523643,2.64979438434356e-07
"Cluster_1865","FUN_002507",0.715896568969126,2.06977527415655e-07
"Cluster_1865","FUN_002508",0.717511219358062,1.88695542695854e-07
"Cluster_3109","FUN_002508",0.763071463305031,1.03753149374179e-08
"Cluster_1865","FUN_002492",0.716043567993071,2.05247634758062e-07
"Cluster_1865","FUN_002523",0.729261423743466,9.44078813810304e-08
"Cluster_3109","FUN_002636",0.823639159509433,6.72858944780192e-11
"Cluster_12083","FUN_002819",0.749586338355182,2.60937941781674e-08
"Cluster_12087","FUN_002819",0.710611249394609,2.78932129801578e-07
"Cluster_12087","FUN_003513",0.7006712807649,4.80446350780222e-07
"Cluster_1865","FUN_003624",0.722565042554589,1.4069020404777e-07
"Cluster_13327","FUN_003873",0.722990711768593,1.37214160145152e-07
"Cluster_2746","FUN_003885",0.717378681158159,1.90137867458195e-07
"Cluster_12081","FUN_003885",0.869217106549074,3.48833266347711e-13
"Cluster_12083","FUN_003885",0.882343284182051,5.26636379047501e-14
"Cluster_12087","FUN_003885",0.893156038078104,9.29699457234592e-15
"Cluster_14532","FUN_004156",0.747292244340022,3.0351704020493e-08
"Cluster_16354","FUN_004170",0.73146067405419,8.26032119430235e-08
"Cluster_12081","FUN_004531",0.700977273959033,4.72625844306238e-07
"Cluster_13327","FUN_004654",0.701063888699275,4.70433632014077e-07
"Cluster_1865","FUN_004666",0.720724818972408,1.56677685515455e-07
"Cluster_14605","FUN_005095",0.710757221732952,2.76667476998466e-07
"Cluster_2746","FUN_005146",0.712390676535163,2.52460303083546e-07
"Cluster_12081","FUN_005146",0.902635763066467,1.73216711532675e-15
"Cluster_12083","FUN_005146",0.897115251985197,4.70106480161059e-15
"Cluster_12087","FUN_005146",0.866446965481922,5.06560482084749e-13
"Cluster_1865","FUN_005153",0.707455120685869,3.32297099495329e-07
"Cluster_1865","FUN_005301",0.711528927662924,2.64975248579749e-07
"Cluster_1865","FUN_005296",0.738324910524591,5.39841408009105e-08
"Cluster_1865","FUN_005529",0.733128834069465,7.4579440390158e-08
"Cluster_1865","FUN_000312",0.750778363419987,2.41073955204714e-08
"Cluster_1865","FUN_000315",0.760863328408592,1.21161878898569e-08
"Cluster_1865","FUN_000313",0.770769791679992,5.96172043590658e-09
"Cluster_1865","FUN_000314",0.712396882474949,2.52372194738332e-07
"Cluster_1865","FUN_000316",0.716694506156793,1.9774710269409e-07
"Cluster_1865","FUN_000318",0.759011743211315,1.37816941998611e-08
"Cluster_2500","FUN_000367",0.709507977257236,2.9661165854162e-07
"Cluster_2372","FUN_000398",0.720209251181564,1.61449709088035e-07
"Cluster_14532","FUN_000398",0.771987474489793,5.45082283819285e-09
"Cluster_2746","FUN_001127",0.781929901568754,2.56810588369337e-09
"Cluster_12081","FUN_001127",0.880334570753866,7.13372577643314e-14
"Cluster_12083","FUN_001127",0.925105506623381,1.44668129438065e-17
"Cluster_12087","FUN_001127",0.909607621288889,4.49306327196812e-16
"Cluster_3109","FUN_001279",0.703023353443327,4.23282600859954e-07
"Cluster_1865","FUN_001282",0.76491888330746,9.10087659701744e-09
"Cluster_3301","FUN_001412",0.71062459625291,2.78724352690135e-07
"Cluster_14532","FUN_001412",0.718299943984544,1.80319904675212e-07
"Cluster_12081","FUN_001989",0.874766854828327,1.60949873126047e-13
"Cluster_12083","FUN_001989",0.909050806770674,5.02412056312803e-16
"Cluster_12087","FUN_001989",0.903457357907764,1.48544061191219e-15
"Cluster_15097","FUN_002121",0.707280268737782,3.35513237626114e-07
"Cluster_12087","FUN_005727",0.701145944297805,4.68365486164066e-07
"Cluster_1865","FUN_006071",0.733244209131572,7.40521584728204e-08
"Cluster_2500","FUN_006089",0.751413982463933,2.31065981057972e-08
"Cluster_1819","FUN_006176",0.712513786592629,2.50717767652731e-07
"Cluster_1865","FUN_006453",0.703662716300937,4.08869433193869e-07
"Cluster_12081","FUN_006494",0.70542250002047,3.71508863253656e-07
"Cluster_13327","FUN_006494",0.719395814611875,1.6925341140052e-07
"Cluster_1865","FUN_006551",0.753184880934009,2.05183351350673e-08
"Cluster_3109","FUN_006551",0.722695834687389,1.3961355551515e-07
"Cluster_13327","FUN_006676",0.740751636430682,4.63010327527106e-08
"Cluster_12081","FUN_006686",0.742516414841286,4.13657962624508e-08
"Cluster_12083","FUN_006686",0.717197227416085,1.9212907407983e-07
"Cluster_12081","FUN_006687",0.715557098590611,2.11024165846252e-07
"Cluster_12081","FUN_006807",0.768840122551143,6.86356363503703e-09
"Cluster_2372","FUN_007008",0.712598809033819,2.49520843376945e-07
"Cluster_15097","FUN_007336",0.741632571356999,4.3772899281741e-08
"Cluster_2746","FUN_007611",0.729874227720253,9.09703749916948e-08
"Cluster_12081","FUN_007611",0.914719478563271,1.55579905091321e-16
"Cluster_12083","FUN_007611",0.939724668216778,2.65753264072828e-19
"Cluster_12087","FUN_007611",0.917805926905179,7.93759185873863e-17
"Cluster_1865","FUN_007768",0.743297229978781,3.93421973406873e-08
"Cluster_1865","FUN_007828",0.738949965252786,5.18993684339587e-08
"Cluster_14165","FUN_008081",0.733809539860401,7.15181568778592e-08
"Cluster_9706","FUN_008227",0.711356765217309,2.67543344015381e-07
"Cluster_12081","FUN_008750",0.70997176326668,2.89056984458574e-07
"Cluster_1865","FUN_009105",0.739465312676156,5.02370135337371e-08
"Cluster_5516","FUN_009197",0.782542702782221,2.44858560709725e-09
"Cluster_12081","FUN_009197",0.823759371351156,6.64940196807816e-11
"Cluster_12083","FUN_009197",0.804889216040733,3.85155991662013e-10
"Cluster_12087","FUN_009197",0.777509547544496,3.60563360115586e-09
"Cluster_14605","FUN_009197",0.738970750794261,5.18313436767286e-08
"Cluster_1865","FUN_009313",0.711355984654084,2.67555039730026e-07
"Cluster_1865","FUN_009300",0.724194198263771,1.27812407242539e-07
"Cluster_1865","FUN_009358",0.70860237188301,3.11892624930332e-07
"Cluster_2746","FUN_009359",0.716396444908605,2.01149471429075e-07
"Cluster_12081","FUN_009359",0.849221021025835,4.33837893437704e-12
"Cluster_12083","FUN_009359",0.895600479307588,6.12205417711341e-15
"Cluster_12087","FUN_009359",0.881410374831302,6.06765142008073e-14
"Cluster_1865","FUN_009569",0.73596187775831,6.25889488993336e-08
"Cluster_1865","FUN_009632",0.740567433019177,4.68465252408636e-08
"Cluster_1865","FUN_009561",0.768103673769687,7.240087688391e-09
"Cluster_1865","FUN_009565",0.700298549227328,4.90134113332255e-07
"Cluster_3109","FUN_009581",0.717263732021118,1.91397045198641e-07
"Cluster_1865","FUN_009598",0.702609768506018,4.32854789281596e-07
"Cluster_3109","FUN_009598",0.75051526709207,2.45333237645004e-08
"Cluster_2746","FUN_009604",0.708183155847296,3.19210228439887e-07
"Cluster_12081","FUN_009604",0.746541419572637,3.18799287876975e-08
"Cluster_12083","FUN_009604",0.760615887905849,1.23273602574857e-08
"Cluster_12087","FUN_009604",0.728661445528602,9.78898463116199e-08
"Cluster_1819","FUN_009611",0.702936620675524,4.2527360944157e-07
"Cluster_3109","FUN_009611",0.768357953106932,7.10795973578124e-09
"Cluster_1865","FUN_009620",0.782494567457685,2.45778267547474e-09
"Cluster_3109","FUN_009620",0.761859031844568,1.13000064079904e-08
"Cluster_14532","FUN_009765",0.703965091352239,4.02212294191466e-07
"Cluster_12081","FUN_009832",0.874309075737252,1.71789460489748e-13
"Cluster_12083","FUN_009832",0.853775528279345,2.52558567516133e-12
"Cluster_12087","FUN_009832",0.853356308390822,2.65655168653981e-12
"Cluster_5516","FUN_010040",0.713547056412725,2.36525430966727e-07
"Cluster_12081","FUN_010040",0.776697209583667,3.8344347032975e-09
"Cluster_12083","FUN_010040",0.754475081034916,1.88053656556783e-08
"Cluster_12087","FUN_010040",0.783126371295637,2.33959128615158e-09
"Cluster_13327","FUN_010040",0.715763122718492,2.08559614715643e-07
"Cluster_1865","FUN_010161",0.715057992239236,2.17106955230288e-07
"Cluster_12081","FUN_010538",0.741636929543409,4.37607171845323e-08
"Cluster_12081","FUN_010847",0.929138654940501,5.23710469754453e-18
"Cluster_12083","FUN_010847",0.927457708108945,8.05555541318986e-18
"Cluster_12087","FUN_010847",0.909450467359698,4.63732573310066e-16
"Cluster_3109","FUN_011059",0.838655864207228,1.42546346715182e-11
"Cluster_3109","FUN_011177",0.739958763931543,4.86917611981635e-08
"Cluster_12081","FUN_011354",0.812172244339266,2.00137108855237e-10
"Cluster_12083","FUN_011354",0.83712427683415,1.68182161025061e-11
"Cluster_12087","FUN_011354",0.838252858943958,1.48911071734755e-11
"Cluster_12081","FUN_011357",0.858519196325127,1.40952635927367e-12
"Cluster_12083","FUN_011357",0.836954549800424,1.71274947239076e-11
"Cluster_12087","FUN_011357",0.813121377089182,1.83389549199355e-10
"Cluster_1865","FUN_011498",0.748080123923268,2.88214829752746e-08
"Cluster_1865","FUN_011684",0.748109602847713,2.87656458518018e-08
"Cluster_1865","FUN_011720",0.709599149202456,2.95112269432593e-07
"Cluster_1865","FUN_011721",0.803014788267117,4.53833143491763e-10
"Cluster_3109","FUN_012080",0.795970240711628,8.28088752335095e-10
"Cluster_1865","FUN_012504",0.706237236948639,3.55304281702867e-07
