Iteration,Loss
1,1453762.412676812
2,1201753.7156736525
3,1022823.5928564135
4,925595.966058455
5,867141.6702248752
6,829740.9451972006
7,805419.1780358199
8,789749.0247247823
9,779370.5064080912
10,771598.9999256092
11,765424.6458463335
12,760345.6277650576
13,756091.1180886475
14,752492.4727449671
15,749424.4136767176
16,746787.8435174453
17,744501.9563971144
18,742501.5004913876
19,740734.6433089238
20,739160.1683754097
21,737745.7796630113
22,736465.570937416
23,735298.782777911
24,734342.1031285832
25,733405.0166755499
26,732578.3446138398
27,731855.6283514242
28,731173.0434171049
29,730526.7785911115
30,729913.4733528758
31,729330.131438705
32,728774.1430796953
33,728243.2230600008
34,727735.3477632856
35,727248.723411616
36,726781.7732485023
37,726333.0755831825
38,725901.367625501
39,725485.5082747665
40,725084.4690944799
41,724697.3069694624
42,724323.1972485604
43,723961.3553871614
44,723611.0360372836
45,723271.5982426057
46,722942.4548437165
47,722623.0652486208
48,722312.9092609923
49,722011.5230662618
50,721718.4638781331
51,721433.3100020259
52,721155.6861929739
53,720885.2590850891
54,720621.7117205488
55,720364.7469654363
56,720114.063229991
57,719869.3940751691
58,719630.5021571426
59,719397.1492208558
60,719169.1253089991
61,718946.2361881261
62,718728.278394364
63,718515.0695284863
64,718306.4304892747
65,718102.201749731
66,717902.2189648325
67,717706.3318679911
68,717514.3904040245
69,717326.2566798016
70,717141.8034871424
71,716960.8983544771
72,716783.427111772
73,716609.274096265
74,716438.3456521444
75,716270.547775277
76,716105.7953315562
77,715944.0027039386
78,715785.0717787555
79,715628.9139050684
80,715475.442369454
81,715324.5769395215
82,715176.2411575147
83,715030.371329528
84,714886.8924124744
85,714745.731877682
86,714606.8223331003
87,714470.1043560455
88,714335.5208646554
89,714203.0121283988
90,714072.5238331334
91,713944.0011693289
92,713817.3913545333
93,713692.6495177732
94,713569.7279342894
95,713448.5544106399
96,713329.1166200149
97,713211.3629309544
98,713095.2611742528
99,712980.7737031303
100,712867.8663316208
101,712756.5003634944
102,712646.6491925939
103,712538.2865377485
104,712431.3828073444
105,712325.9077101339
106,712221.828967668
107,712119.1200003871
108,712017.7531334321
109,711917.6970833497
110,711818.9241335153
111,711721.4075903879
112,711625.1224826231
113,711530.0473013227
114,711436.1581101043
115,711343.4309794563
116,711251.8433961624
117,711161.3718936779
118,711071.9928506624
119,710983.685403028
120,710896.4254458832
121,710810.1952141769
122,710724.9777426453
123,710640.7557088083
124,710557.5086327024
125,710475.2187806213
126,710393.8666912417
127,710313.4349981314
128,710233.9120456707
129,710155.281224293
130,710077.527676531
131,710000.6310252313
132,709924.5729939148
133,709849.3369588563
134,709774.9064944041
135,709701.2668086808
136,709628.4017567553
137,709556.297396904
138,709484.9413929653
139,709414.3208876947
140,709344.4240804061
141,709275.2403020205
142,709206.7549113354
143,709138.9568586352
144,709071.8326081581
145,709005.368888303
146,708939.5542569105
147,708874.3794227766
148,708809.834134408
149,708745.9084463327
150,708682.5931079072
151,708619.87704795
152,708557.7504843764
153,708496.206538745
154,708435.2371586843
155,708374.8334113178
156,708314.9882154964
157,708255.6916326664
158,708196.9355223561
159,708138.7113188112
160,708081.0097326074
161,708023.8227195741
162,707967.1432008235
163,707910.9630097008
164,707855.2732336839
165,707800.0652625909
166,707745.3310170915
167,707691.0629174868
168,707637.2553777169
169,707583.9018574455
170,707530.9969202344
171,707478.5364330692
172,707426.5129406508
173,707374.9203667258
174,707323.7529692805
175,707273.0059549242
176,707222.6749265809
177,707172.7536261247
178,707123.2380318524
179,707074.1220826666
180,707025.3998284584
181,706977.0656512141
182,706929.1133895512
183,706881.5375777589
184,706834.3319860293
185,706787.4905340755
186,706741.0078973904
187,706694.8797969574
188,706649.1017453587
189,706603.6695266068
190,706558.5770041668
191,706513.8974010379
192,706469.6208651658
193,706425.7240692753
194,706382.1863003713
195,706338.9836438801
196,706296.110619582
197,706253.5645139533
198,706211.34236842
199,706169.4379858861
200,706127.8244222222
