,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Species,Sample_ID
apul_ACR.139,-0.08447619981062716,-0.1907326864838102,0.05541125238636982,0.03739379782876823,0.03293993336158545,0.08796674012029437,0.2174073965611615,0.10857233443732359,0.04675381004398402,0.42082808017908024,-0.058402683210724116,-0.39438077119732035,0.10588663364707929,-0.13485771480117717,0.1669562143672214,0.1582304658012998,0.012193888845711818,0.24822858412090906,0.1569304571717334,-0.06693973187652955,apul,ACR.139
apul_ACR.145,0.015004882521577416,-0.13638542856013974,0.277736984255103,0.07751551933823443,-0.06191370458809243,0.26720559780930725,0.12264167409393914,0.2756999000663052,0.014997610033118164,0.12499446042128211,-0.27082366082389375,-0.24947410215164267,0.11079932721075916,-0.46827966405092264,0.2851243823680201,0.19618307803063087,0.055379296481795466,0.18119123155243455,0.20036423628989,-0.16604029680709032,apul,ACR.145
apul_ACR.150,0.03133909744499645,-0.18695794358779072,0.30815904183166226,-0.10423916392452989,-0.1228094212819753,0.2962659493566187,0.21435932993651816,0.032756282455439385,0.08617461039854905,0.2821880007866021,0.038644792641807,-0.28519297271831434,0.09158023798468622,0.36685950720684607,-0.003513769947667059,0.20480075047678062,0.20176487072644292,0.13683613767267547,0.21156527675439468,-0.24264473770686493,apul,ACR.150
apul_ACR.173,-0.023040272422459082,-0.15172078537516248,0.2401485421360695,0.0709915868902349,-0.12040036489635689,0.24414296848810438,-0.05601136196373606,-0.007849927838924785,0.05675388628805523,0.20305549966302036,-0.007310071808665408,-0.17266626607502353,0.06150774341158828,-0.2764666814558847,0.07874130700388597,0.17426574801192368,0.06456550503278868,0.1286442166607146,0.21319066882961543,-0.08232294129846505,apul,ACR.173
apul_ACR.186,-0.008252557846216613,-0.19259214956589804,0.23669209281733614,-0.10019065296620433,-0.1236334760333321,0.24403637143734597,0.31644751978022684,0.27348248235241784,0.06170291502053118,0.34848881728486286,-0.18581086167592642,-0.48281039316368823,0.22930511479264526,-0.18511701196307978,0.26047373013222563,0.2923283273805309,0.3314261111516216,0.22376774209560923,0.32205669570792483,-0.258414267354438,apul,ACR.186
apul_ACR.225,0.13837161360163222,-0.06115948033421685,0.4193569907173903,-0.0016878023729906234,-0.07741548075583672,0.4217009117519346,0.028892286291825862,0.039110443798883336,-0.09358979347372225,-0.18245131231920292,-0.023484696660066074,0.09923283542785863,0.00249073252299294,0.08521604592702889,-0.07565719007375711,0.05598013088222224,-0.13800148495614836,0.02222399796379792,0.18508900988502966,-0.1432454087698844,apul,ACR.225
apul_ACR.229,0.09457717172422936,-0.07985582952097059,0.2515397904330953,0.1345154713335813,-0.0510514057881336,0.34686195612327414,0.08437735355578463,-0.11588249543514947,0.028813507468414535,0.0009009101939425138,0.04535388914448802,0.02863473117978419,0.02746815939964395,0.22525060821566245,-0.09553121366268301,0.05124915010901103,-0.26062459826562434,0.0697864218502225,0.19225579035430077,-0.1720547083907811,apul,ACR.229
apul_ACR.237,0.13067690857555037,-0.07710306157463999,0.34609729056099137,0.04922320659715796,-0.07528513509914198,0.37257693107111556,0.07029559050459304,-0.06256744520845806,0.09307977567395863,-0.07816732441629812,0.08343414870544924,0.0002369561504101435,0.0014343286907952722,0.35778701246518735,-0.15226507290942207,0.16394936429928597,-0.0023208504040644253,0.021359055043720623,0.17951409137264981,-0.2563761331049137,apul,ACR.237
apul_ACR.244,0.16276213683172974,-0.057430995575086734,0.37656461070218716,0.06784418968770882,-0.09077051356660501,0.3916633240560757,-0.01849050704713988,-0.06362827148135015,0.011321560377453486,-0.2340652128597468,0.0664682236178075,0.1388463076504619,-0.038795516698901425,0.2243235402131868,-0.14046842578094737,0.09573831310407242,-0.07800155015661979,0.0007987756561985972,0.13735505600807504,-0.1755257087775404,apul,ACR.244
apul_ACR.265,0.20377935611382902,-0.08847776672343696,0.31918520049817245,0.03622422971549491,-0.0702538011558914,0.33223224914301214,0.09931115819062858,0.016102524822242666,0.052358008785670665,-0.07740933053143957,-0.05486452315820511,0.01868449919867258,-0.003550752462548002,-0.007078512378450579,0.016292063346117196,0.15012429371565103,0.08706256040150871,0.002229548513108811,0.21436819989892805,-0.2725365737290866,apul,ACR.265
