,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Species,Sample_ID
apul_ACR.139,0.004160602072727529,0.2360963345913197,0.2140647328993066,-0.11346143085169176,-0.2866465266715123,-0.2397830174527616,0.20729929944584158,-0.32273086135838863,0.08984599162569115,-0.11620817077710044,0.06265095186192049,0.04247538642379979,-0.3389913626235957,-0.16669306152955843,0.35941066806703853,0.072387694315538,-0.006584672732298034,-0.293450651229921,-0.093875780262958,-0.005901346073150133,0.1817655394015922,-0.11391416610948135,0.12779544906110074,0.3092482293354591,-0.01143453105283918,apul,ACR.139
apul_ACR.145,0.053618155438077006,0.18555598699345938,0.12483130700214683,-0.19695254243387775,-0.2721972080083716,-0.005221008378748238,0.046638115662342806,-0.39019291405651413,0.2833974325288304,-0.20547577697093944,0.05695816556421758,0.195491322005163,-0.0979878906757948,-0.17520263387424284,0.15868702329929624,0.015581947490088306,0.24335526319652237,-0.06364194836155959,-0.19702155498230436,-0.04453545419551936,0.08490011945355344,0.04107749974735273,0.18662899282133338,0.18735818059271447,0.03905109408703076,apul,ACR.145
apul_ACR.150,-0.14687486596203425,0.1134759126411976,-0.04468696941258714,-0.3124043938629812,-0.24183394255993074,0.16011271358177703,-0.08231164333150515,0.09909201323384113,0.3009931145730922,-0.2051109581424408,0.15120547227784847,0.20510563226694145,-0.20695125085461546,-0.17256264917073244,0.17995458817832527,-0.09809085175260768,0.2113268429893665,-0.03416083571955443,-0.006713043471591817,0.11851955525224325,0.22886997109659032,-0.12444188213544383,-0.19405153972427308,0.1972318997390844,0.05457084995664974,apul,ACR.150
apul_ACR.173,-0.029192883130532553,0.2839786128055735,0.05048998408707831,0.05764736935599179,-0.1539625702571267,-0.18388750209945737,0.018140894914937748,-0.29888071109151537,0.2377819352366027,-0.22529987426896336,-0.002347485020851813,0.22902731011858726,-0.005756381425580312,-0.1994939598787303,0.1779932768590991,-0.01657941423837378,0.21662762680559458,0.11676594052419453,0.0024083633942624323,0.026290944876275976,0.11160453018904515,-0.0009960007166837015,0.1379037275226739,0.07821535101042298,-0.02160880323398469,apul,ACR.173
apul_ACR.186,-0.039254097656602364,0.20523141472287834,0.16226393058201866,-0.4510436814126965,-0.3094140944598487,-0.021327400820468183,0.14391336522618908,-0.3300878135199258,0.2869308441448753,-0.18917808777203837,0.2644113062311054,0.06348522535153284,-0.33687493428994586,-0.1283292455202064,0.217202483537245,-0.20902398451606263,0.06894145324532575,-0.39934955283151224,-0.11499966188519105,0.26228634321547756,0.1328961716688553,-0.08828631105674282,0.12016050257754365,0.3395261724066572,0.106728708936259,apul,ACR.186
apul_ACR.225,0.10263751153463413,0.15980838611132925,-0.08163637102423534,-0.06651085011915985,-0.11569470047028448,-0.11920471965454109,0.02708601306192155,-0.08490484786072243,0.4017993393949745,-0.24620420303672172,-0.15692643899949468,0.18557565675406715,0.22966516745764112,-0.17495328791931403,-0.006815716721267863,0.08121761537644112,0.48357708983764125,0.3058665608446892,-0.013591682684413898,-0.09079796998319721,0.18562365912827444,-0.06765227152566751,-0.0943202835766519,-0.09085188135120344,0.001760734581820744,apul,ACR.225
apul_ACR.229,0.14115180417590628,0.1841451664668934,0.00737820737761703,-0.09794727876603118,-0.14936705422110377,-0.157053512645421,0.06352829831840193,-0.08566284600243403,0.3465858257344636,-0.17960052456979075,-0.15092888508688118,0.043105865535847596,0.20239886568123974,-0.14069134086393287,0.19931904040804652,0.265965283468665,0.35608917419087294,0.032921692498385294,0.01759523107230824,-0.18623064048759677,0.254187648533294,-0.07738599534667209,-0.11214034277929444,-0.03918256157577386,-0.17188357414276004,apul,ACR.229
apul_ACR.237,0.005319725641246961,0.11492538989928694,-0.07932471126717963,-0.16798166382831917,-0.18529613393775282,0.14840204807608792,-0.12642595816997157,0.11273563035255629,0.3627922346826287,-0.18205669318341863,-0.017478384386496224,0.1429228134483383,0.03985266859318625,-0.0914462550385183,0.07453237687215514,0.02511139592270905,0.3615550545138079,0.19905492471206235,0.07063998343529855,-0.03517465555498656,0.2964185025738529,-0.11337519975821768,-0.18492049257254636,-0.00760359173260109,-0.14475499817439108,apul,ACR.237
apul_ACR.244,0.0881546587075723,0.17484314148750113,-0.07151901797790244,0.034536248155149704,-0.08782105065100763,-0.16957297766455695,-0.004308116926061822,0.023302622292403725,0.36635670920208285,-0.18784274469865395,-0.15471418988131402,0.12605519464401718,0.28571060527420034,-0.1808936812650601,-0.024675340233476346,0.05759618400040826,0.4318773025699146,0.3090224417932376,0.09119694576248338,-0.05447594211694471,0.24322264623026588,-0.0948638713232805,-0.13812859783883322,-0.12794169854715012,-0.10509460719025188,apul,ACR.244
apul_ACR.265,0.05631638886276482,0.1725414938061033,-0.052244728989434906,-0.18002237184452166,-0.10690389525091837,0.013492575832258318,1.6460488941392756e-06,-0.0552638895774224,0.34428185889671414,-0.16879578587180477,0.0459485734637881,0.08571021826949009,0.04049741436912196,-0.08626235557909034,0.08384463534228434,-0.11048578270909125,0.3176515815140504,0.07613860662073244,0.037345111898488145,0.03805983430638028,0.06646366991362664,-0.08743275182014604,-0.025959029336984858,-0.015439586926033923,-0.11538586000605129,apul,ACR.265
peve_POR.216,0.15123869695945424,0.20396389136407853,-0.03423725254098751,-0.13373198274317272,0.48813255756194784,-0.1947582234904842,0.00588921353638842,-0.10740127106654274,0.031431961351375805,-0.10040858286629999,0.052244795265942647,-0.333970985292949,0.027451188405892033,0.24052019061011026,0.41322954916929355,0.06910085001321481,0.02395884490003826,-0.2885632650018842,-0.07868762549364741,0.0447661509855285,0.0665558303606088,0.15821001293903514,-0.13840356975499357,-0.258292878444183,-0.06755299325763454,peve,POR.216
peve_POR.245,0.2748785944586494,0.2273178684521437,0.39415097777424396,0.35843033138437685,0.08876754420418634,0.065068142931622,-0.1808874539039641,-0.029162640878628222,0.029148243456829075,0.005983138665454482,0.003972267471447151,-0.3715770376722034,-0.010213322330008523,0.15365219852619721,0.23447737552999687,0.07443363155345742,-0.059793535445892984,-0.08513054305768403,0.03128307564450249,0.041678987405636685,-0.07070336022352092,0.14661105804208718,0.029697617151442625,-0.18822561223558945,-0.5061438802774819,peve,POR.245
peve_POR.260,0.13052680245927825,0.12460860328569283,0.03875344980081494,-0.035051860741919516,-0.05768775577936411,0.29831812415717857,-0.03549533882079017,-0.07503024149658633,-0.0007002926564936354,-0.03399208336486264,-0.02322474233008082,-0.15913831207029214,0.08119681971668119,0.0795015809534591,-0.084477433338074,0.055337560180325304,-0.030426971065518612,-0.15771652083775115,0.005226140045179315,0.005147824334695415,0.10789478870248428,-0.07936086425492457,-0.1024711779866106,-0.038262969403235855,-0.053836674366999605,peve,POR.260
