colony_id,timepoint,PC1
POC-201,timepoint1,-0.6679323825635983
POC-201,timepoint2,-1.540989724946705
POC-201,timepoint3,-2.327438133751951
POC-219,timepoint1,-2.067542476943157
POC-219,timepoint2,-0.2193230842915486
POC-219,timepoint4,0.35527874873791526
POC-222,timepoint1,0.7416541358643224
POC-222,timepoint2,0.9544097191842185
POC-222,timepoint3,2.478845963718079
POC-222,timepoint4,0.9337444742445645
POC-255,timepoint1,-0.06419103885687077
POC-255,timepoint2,1.3225204049625614
POC-255,timepoint3,-1.3092857474458872
POC-255,timepoint4,0.7345905515621387
POC-259,timepoint1,-0.6474052377186507
POC-259,timepoint2,0.18871509336336081
POC-259,timepoint3,1.485773995216456
POC-259,timepoint4,4.023927559330064
POC-40,timepoint1,0.7454409395480983
POC-40,timepoint2,-0.7945470060024288
POC-40,timepoint3,-0.7003547502240866
POC-40,timepoint4,-0.9586142997428576
POC-42,timepoint1,-3.03065654243168
POC-42,timepoint2,1.6823703926752749
POC-42,timepoint3,0.2356413195198343
POC-42,timepoint4,0.5925927755295309
POC-52,timepoint1,-2.0032136525556283
POC-52,timepoint2,0.3831859219269552
POC-52,timepoint3,-2.5203420263709164
POC-52,timepoint4,0.525580614709462
POC-53,timepoint1,0.0702488000174185
POC-53,timepoint2,0.47000384631763403
POC-53,timepoint3,-2.2805214770509754
POC-53,timepoint4,1.4594145123493782
POC-57,timepoint1,-0.4317588800417041
POC-57,timepoint2,-0.05241805146844129
POC-57,timepoint3,0.9338254821801545
POC-57,timepoint4,1.2987692614496595
