"","ACR-139-TP1","ACR-139-TP2","ACR-139-TP3","ACR-139-TP4","ACR-145-TP1","ACR-145-TP2","ACR-145-TP3","ACR-145-TP4","ACR-150-TP1","ACR-150-TP2","ACR-150-TP3","ACR-150-TP4","ACR-173-TP1","ACR-173-TP2","ACR-173-TP3","ACR-173-TP4","ACR-186-TP1","ACR-186-TP2","ACR-186-TP3","ACR-186-TP4","ACR-225-TP1","ACR-225-TP2","ACR-225-TP3","ACR-225-TP4","ACR-229-TP1","ACR-229-TP2","ACR-229-TP3","ACR-229-TP4","ACR-237-TP1","ACR-237-TP2","ACR-237-TP3","ACR-237-TP4","ACR-244-TP1","ACR-244-TP2","ACR-244-TP3","ACR-244-TP4","ACR-265-TP1","ACR-265-TP2","ACR-265-TP3","ACR-265-TP4"
"CpG_ntLink_6_3101800",43.75,23.529412,23.333333,37.837838,12.5,21.212121,19.230769,16,16.363636,34.567901,34.117647,30.15873,7.894737,16.129032,16.666667,4.761905,16.666667,13.793103,12.195122,28.888889,15.254237,27.027027,4.545455,21.73913,8.108108,5.128205,9.090909,2.380952,23.809524,42.1875,30.588235,33.333333,16.666667,43.137255,35.714286,25.490196,21.73913,27.272727,24,14.285714
"CpG_ntLink_6_3101811",43.333333,18.75,17.857143,39.473684,9.090909,21.052632,18.518519,13.207547,18.181818,33.333333,26.25,24.193548,5.405405,21.875,16,5,8.695652,17.460317,13.636364,25,12.5,23.684211,4.545455,17.777778,13.953488,5.128205,9.090909,2.702703,20.987654,32.8125,30.588235,25,18.75,38.77551,34.146341,27.45098,28.125,23.076923,16.666667,22.727273
"CpG_ntLink_6_19999208",40,30.769231,21.95122,26.190476,41.463415,50,38.235294,34.782609,53.846154,78.947368,66.666667,68,34.090909,34.482759,23.809524,16.363636,36,39.473684,34.545455,52.5,6.086957,44.827586,23.529412,48.275862,42.222222,34.042553,31.818182,32.55814,65.217391,85.714286,71.875,72.413793,43.75,72.222222,57.142857,61.363636,21.276596,45.454545,43.589744,35.849057
"CpG_ntLink_6_19999218",44.897959,28.26087,25,31.578947,41.463415,46.511628,40.625,40.47619,62.962963,75,73.684211,66.666667,34.210526,39.285714,28.813559,16.326531,32.727273,42.5,36.842105,52.5,1.904762,48.387097,27.777778,50,43.902439,31.914894,37.209302,36.363636,65,86.363636,68.75,70.967742,44.827586,75.675676,63.157895,60.97561,25.581395,51.724138,48.780488,37.254902
"CpG_ntLink_6_19999315",35.135135,31.818182,30.769231,27.027027,44.827586,30,14.285714,52.941176,54.166667,68.75,66.666667,38.095238,20,33.333333,10,14.285714,21.428571,16.129032,12.5,17.857143,9.722222,60,16.666667,28.571429,21.212121,38.888889,28.947368,21.428571,76.190476,87.5,54.545455,76.190476,50,77.419355,52.380952,54.285714,20,48,19.354839,24.242424
"CpG_ntLink_6_19999331",51.515152,45.454545,32,30.555556,51.851852,33.333333,41.37931,59.459459,69.565217,73.333333,80.952381,57.142857,28,36.363636,22.727273,28.571429,36.363636,36.666667,26.470588,38.461538,10,56.521739,25,33.333333,31.428571,36.363636,18.918919,40,76.190476,83.333333,65.217391,83.333333,52.631579,90,57.894737,64.864865,23.529412,57.692308,50,42.307692
"CpG_ntLink_6_20175673",47.619048,57.692308,61.904762,60.714286,40.540541,42.553191,38.461538,46.153846,24.242424,59.090909,51.724138,42.307692,69.230769,50,46.666667,50,17.647059,29.166667,36,28.571429,14.705882,38.095238,23.684211,25.641026,57.575758,64.516129,66.666667,61.111111,50,47.058824,44.444444,46.666667,31.578947,38.095238,37.142857,28.301887,44.827586,34.375,46.666667,33.333333
"CpG_ntLink_6_20175725",85.714286,65,73.913043,76.190476,52.5,56.818182,54.054054,57.575758,43.589744,43.75,78.571429,50,50,52.173913,50,28.205128,25,36.363636,33.333333,26.086957,5.555556,29.268293,30,22,51.724138,53.125,65,57.142857,53.333333,67.741935,78.26087,58.333333,43.478261,41.025641,51.428571,39.02439,59.259259,60.606061,74.074074,50
"CpG_ntLink_6_20175760",71.428571,73.913043,81.25,77.272727,57.142857,61.363636,58.139535,51.428571,55.102041,59.090909,75,54.83871,51.851852,38.095238,40.425532,28.571429,42.857143,50,32.5,39.285714,7.142857,31.707317,30,25,46.666667,53.333333,65.384615,65,56.666667,73.333333,76.190476,64.102564,44,33.333333,50,45.614035,70.967742,55.882353,65.384615,65.625
"CpG_ntLink_6_20175765",85,76,85.294118,77.272727,59.090909,55.813953,57.5,51.428571,56,57.142857,73.913043,50,55.555556,42.857143,42.553191,32.55814,48.275862,47.058824,36.585366,35.714286,16.666667,28.888889,28.301887,22.222222,48.275862,51.612903,62.962963,60,50,70.588235,68.181818,64.102564,40.384615,35,50,46.666667,70.967742,55.882353,55.555556,62.857143
"CpG_ntLink_6_20175807",85,78.26087,83.333333,80.769231,62.222222,53.125,57.142857,58.62069,63.636364,66.666667,78.26087,60.606061,61.904762,44.444444,42.857143,30.769231,58.62069,55.555556,32.5,40,11.764706,38.888889,28.846154,25.806452,58.62069,50,58.333333,61.904762,59.090909,90.909091,68,66.666667,43.396226,36.842105,55.172414,49.122807,69.230769,60.714286,58.62069,70.588235
"CpG_ntLink_6_20175819",86.666667,72,75,72.727273,63.636364,53.333333,55.102041,62.068966,60.97561,59.090909,69.565217,57.575758,56.521739,44.444444,40.816327,28.947368,58.62069,50,33.333333,32.352941,17.647059,38.461538,25.490196,23.076923,63.333333,53.333333,60.869565,58.333333,60.869565,86.956522,62.068966,64.705882,45.283019,40.540541,50,47.368421,73.076923,60.714286,50,71.428571
