Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ACR-139-TP1_R1_001	ACR-139-TP1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42597485.0	6.3 Gbp	0.0	150.0	20.0	74.24390406786955	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	pass
ACR-139-TP1_R2_001	ACR-139-TP1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42597485.0	6.3 Gbp	0.0	150.0	20.0	73.32234643706961	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	warn	warn
ACR-139-TP2_R1_001	ACR-139-TP2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43071845.0	6.4 Gbp	0.0	150.0	20.0	74.79424315591557	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	pass
ACR-139-TP2_R2_001	ACR-139-TP2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43071845.0	6.4 Gbp	0.0	150.0	20.0	74.2192876900449	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
ACR-139-TP3_R1_001	ACR-139-TP3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46529616.0	6.9 Gbp	0.0	150.0	23.0	72.97703831727132	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	fail
ACR-139-TP3_R2_001	ACR-139-TP3_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46529616.0	6.9 Gbp	0.0	150.0	22.0	71.98820604010888	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	pass	warn	fail
ACR-139-TP4_R1_001	ACR-139-TP4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41111159.0	6.1 Gbp	0.0	150.0	20.0	75.55046512626579	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	pass
ACR-139-TP4_R2_001	ACR-139-TP4_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41111159.0	6.1 Gbp	0.0	150.0	20.0	74.72388635918728	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
ACR-145-TP1_R1_001	ACR-145-TP1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48178737.0	7.2 Gbp	0.0	150.0	22.0	72.65525048971315	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
ACR-145-TP1_R2_001	ACR-145-TP1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48178737.0	7.2 Gbp	0.0	150.0	21.0	71.63617366789325	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	warn	warn
