Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ACR-237-TP1_R1_001	24.119364649756008	21.0	150.0	150	18.181818181818183	40252453.0
ACR-237-TP1_R2_001	24.763709794766214	20.0	150.0	150	18.181818181818183	40252453.0
ACR-237-TP2_R1_001	25.46948156192657	20.0	150.0	150	18.181818181818183	40266645.0
ACR-237-TP2_R2_001	26.09091965497447	20.0	150.0	150	18.181818181818183	40266645.0
ACR-237-TP3_R1_001	22.221396796389186	20.0	150.0	150	18.181818181818183	41704979.0
ACR-237-TP3_R2_001	23.004895994039188	20.0	150.0	150	18.181818181818183	41704979.0
ACR-237-TP4_R1_001	23.477479278229907	21.0	150.0	150	18.181818181818183	40207005.0
ACR-237-TP4_R2_001	24.34009069290201	20.0	150.0	150	18.181818181818183	40207005.0
ACR-244-TP1_R1_001	21.127556287641553	22.0	150.0	150	27.27272727272727	47842521.0
ACR-244-TP1_R2_001	22.122449502148385	22.0	150.0	150	27.27272727272727	47842521.0
ACR-244-TP2_R1_001	22.479042217963524	20.0	150.0	150	18.181818181818183	41996136.0
ACR-244-TP2_R2_001	23.344226738421412	20.0	150.0	150	18.181818181818183	41996136.0
ACR-244-TP3_R1_001	20.50088353783991	20.0	150.0	150	9.090909090909092	32753419.0
ACR-244-TP3_R2_001	20.935281562388113	20.0	150.0	150	9.090909090909092	32753419.0
ACR-244-TP4_R1_001	23.524049435954396	21.0	150.0	150	18.181818181818183	46319805.0
ACR-244-TP4_R2_001	24.471516619162813	21.0	150.0	150	18.181818181818183	46319805.0
ACR-265-TP1_R1_001	21.15944294260224	20.0	150.0	150	9.090909090909092	44532287.0
ACR-265-TP1_R2_001	21.576153081182824	20.0	150.0	150	9.090909090909092	44532287.0
ACR-265-TP2_R1_001	22.73372511873781	20.0	150.0	150	18.181818181818183	38875560.0
ACR-265-TP2_R2_001	23.717960574772846	20.0	150.0	150	18.181818181818183	38875560.0
ACR-265-TP3_R1_001	23.76640487489776	20.0	150.0	150	18.181818181818183	37482924.0
ACR-265-TP3_R2_001	24.956812101542496	20.0	150.0	150	18.181818181818183	37482924.0
ACR-265-TP4_R1_001	24.339075376287283	23.0	150.0	150	27.27272727272727	38892514.0
ACR-265-TP4_R2_001	25.320007923527513	22.0	150.0	150	27.27272727272727	38892514.0
