Module	Section	Sample Name	Source
FastQC	all_sections	POC-52-TP2_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-52-TP2_R1_001_fastqc.zip
FastQC	all_sections	POC-259-TP2_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-259-TP2_R1_001_fastqc.zip
FastQC	all_sections	POC-42-TP4_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-42-TP4_R2_001_fastqc.zip
FastQC	all_sections	POC-52-TP3_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-52-TP3_R1_001_fastqc.zip
FastQC	all_sections	POC-255-TP3_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-255-TP3_R2_001_fastqc.zip
FastQC	all_sections	POC-53-TP4_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-53-TP4_R2_001_fastqc.zip
FastQC	all_sections	POC-201-TP3_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-201-TP3_R2_001_fastqc.zip
FastQC	all_sections	POC-219-TP2_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-219-TP2_R1_001_fastqc.zip
FastQC	all_sections	POC-259-TP3_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-259-TP3_R2_001_fastqc.zip
FastQC	all_sections	POC-222-TP4_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-222-TP4_R1_001_fastqc.zip
FastQC	all_sections	POC-201-TP1_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-201-TP1_R2_001_fastqc.zip
FastQC	all_sections	POC-219-TP3_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-219-TP3_R1_001_fastqc.zip
FastQC	all_sections	POC-57-TP4_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-57-TP4_R1_001_fastqc.zip
FastQC	all_sections	POC-222-TP2_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-222-TP2_R1_001_fastqc.zip
FastQC	all_sections	POC-53-TP2_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-53-TP2_R1_001_fastqc.zip
FastQC	all_sections	POC-40-TP2_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-40-TP2_R1_001_fastqc.zip
FastQC	all_sections	POC-219-TP3_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-219-TP3_R2_001_fastqc.zip
FastQC	all_sections	POC-53-TP3_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-53-TP3_R1_001_fastqc.zip
FastQC	all_sections	POC-53-TP3_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-53-TP3_R2_001_fastqc.zip
FastQC	all_sections	POC-259-TP1_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-259-TP1_R1_001_fastqc.zip
FastQC	all_sections	POC-255-TP2_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-255-TP2_R2_001_fastqc.zip
FastQC	all_sections	POC-201-TP2_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-201-TP2_R2_001_fastqc.zip
FastQC	all_sections	POC-57-TP3_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-57-TP3_R1_001_fastqc.zip
FastQC	all_sections	POC-259-TP3_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-259-TP3_R1_001_fastqc.zip
FastQC	all_sections	POC-57-TP1_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-57-TP1_R1_001_fastqc.zip
FastQC	all_sections	POC-259-TP1_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-259-TP1_R2_001_fastqc.zip
FastQC	all_sections	POC-222-TP3_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-222-TP3_R1_001_fastqc.zip
FastQC	all_sections	POC-259-TP2_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-259-TP2_R2_001_fastqc.zip
FastQC	all_sections	POC-40-TP1_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-40-TP1_R2_001_fastqc.zip
FastQC	all_sections	POC-42-TP4_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-42-TP4_R1_001_fastqc.zip
FastQC	all_sections	POC-57-TP1_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-57-TP1_R2_001_fastqc.zip
FastQC	all_sections	POC-42-TP3_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-42-TP3_R2_001_fastqc.zip
FastQC	all_sections	POC-42-TP3_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-42-TP3_R1_001_fastqc.zip
FastQC	all_sections	POC-259-TP4_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-259-TP4_R1_001_fastqc.zip
FastQC	all_sections	POC-201-TP2_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-201-TP2_R1_001_fastqc.zip
FastQC	all_sections	POC-40-TP4_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-40-TP4_R2_001_fastqc.zip
FastQC	all_sections	POC-255-TP4_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-255-TP4_R1_001_fastqc.zip
FastQC	all_sections	POC-53-TP4_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-53-TP4_R1_001_fastqc.zip
FastQC	all_sections	POC-219-TP4_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-219-TP4_R2_001_fastqc.zip
FastQC	all_sections	POC-52-TP1_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-52-TP1_R2_001_fastqc.zip
FastQC	all_sections	POC-255-TP3_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-255-TP3_R1_001_fastqc.zip
FastQC	all_sections	POC-219-TP4_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-219-TP4_R1_001_fastqc.zip
FastQC	all_sections	POC-255-TP4_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-255-TP4_R2_001_fastqc.zip
FastQC	all_sections	POC-219-TP1_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-219-TP1_R1_001_fastqc.zip
FastQC	all_sections	POC-222-TP1_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-222-TP1_R1_001_fastqc.zip
FastQC	all_sections	POC-222-TP1_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-222-TP1_R2_001_fastqc.zip
FastQC	all_sections	POC-52-TP3_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-52-TP3_R2_001_fastqc.zip
FastQC	all_sections	POC-42-TP1_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-42-TP1_R2_001_fastqc.zip
FastQC	all_sections	POC-53-TP2_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-53-TP2_R2_001_fastqc.zip
FastQC	all_sections	POC-53-TP1_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-53-TP1_R2_001_fastqc.zip
FastQC	all_sections	POC-219-TP2_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-219-TP2_R2_001_fastqc.zip
FastQC	all_sections	POC-255-TP2_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-255-TP2_R1_001_fastqc.zip
FastQC	all_sections	POC-255-TP1_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-255-TP1_R1_001_fastqc.zip
FastQC	all_sections	POC-57-TP2_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-57-TP2_R2_001_fastqc.zip
FastQC	all_sections	POC-201-TP3_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-201-TP3_R1_001_fastqc.zip
FastQC	all_sections	POC-40-TP2_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-40-TP2_R2_001_fastqc.zip
FastQC	all_sections	POC-42-TP2_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-42-TP2_R1_001_fastqc.zip
FastQC	all_sections	POC-219-TP1_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-219-TP1_R2_001_fastqc.zip
FastQC	all_sections	POC-53-TP1_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-53-TP1_R1_001_fastqc.zip
FastQC	all_sections	POC-40-TP1_R1_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-40-TP1_R1_001_fastqc.zip
FastQC	all_sections	POC-255-TP1_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-255-TP1_R2_001_fastqc.zip
FastQC	all_sections	POC-222-TP4_R2_001	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/F-Ptua/data/rnaseq-raw-fastqs/POC-222-TP4_R2_001_fastqc.zip
