Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
POC-201-TP1_R1_001	POC-201-TP1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20120651.0	3 Gbp	0.0	150.0	41.0	42.54205779130117	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	fail	pass	pass
POC-201-TP1_R2_001	POC-201-TP1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20120651.0	3 Gbp	0.0	150.0	43.0	40.09881403655426	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
POC-201-TP2_R1_001	POC-201-TP2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21616233.0	3.2 Gbp	0.0	150.0	41.0	37.699076142524525	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	fail	pass	pass
POC-201-TP2_R2_001	POC-201-TP2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21616233.0	3.2 Gbp	0.0	150.0	42.0	35.69137150720984	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POC-201-TP3_R1_001	POC-201-TP3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16212213.0	2.4 Gbp	0.0	150.0	37.0	22.43797364346029	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	warn
POC-201-TP3_R2_001	POC-201-TP3_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16212213.0	2.4 Gbp	0.0	150.0	37.0	22.067135644444548	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	warn
POC-219-TP1_R1_001	POC-219-TP1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20746812.0	3.1 Gbp	0.0	150.0	40.0	37.766455926826644	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
POC-219-TP1_R2_001	POC-219-TP1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20746812.0	3.1 Gbp	0.0	150.0	41.0	36.19224971474767	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POC-219-TP2_R1_001	POC-219-TP2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18890758.0	2.8 Gbp	0.0	150.0	40.0	36.619302204524054	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POC-219-TP2_R2_001	POC-219-TP2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18890758.0	2.8 Gbp	0.0	150.0	41.0	34.88792544183691	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
