Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
1A3-fastp-adapters-polyG-31bp-merged	1A3-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17059800.0	458.4 Mbp	0.0	15-31	44.0	12.316927532583149	26.873659831885487	28	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1A4-fastp-adapters-polyG-31bp-merged	1A4-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7301529.0	177.5 Mbp	0.0	15-31	54.0	10.625036254642575	24.322508477333994	24	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1A5-fastp-adapters-polyG-31bp-merged	1A5-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11304593.0	267 Mbp	0.0	15-31	54.0	14.928910186117076	23.62649446999109	23	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1A6-fastp-adapters-polyG-31bp-merged	1A6-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9632727.0	237.7 Mbp	0.0	15-31	51.0	14.505590871887533	24.679948367684457	25	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1B11-fastp-adapters-polyG-31bp-merged	1B11-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4965804.0	125.5 Mbp	0.0	15-31	49.0	17.629784684986134	25.292727824134822	25	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1B12-fastp-adapters-polyG-31bp-merged	1B12-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6957311.0	184 Mbp	0.0	15-31	45.0	12.937499699092966	26.449148816259616	27	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1B8-fastp-adapters-polyG-31bp-merged	1B8-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5509163.0	136 Mbp	0.0	15-31	54.0	12.025395389931145	24.69441927929887	25	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1C1-fastp-adapters-polyG-31bp-merged	1C1-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9730281.0	230.8 Mbp	0.0	15-31	52.0	18.246887096119348	23.729845314847537	24	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1C2-fastp-adapters-polyG-31bp-merged	1C2-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9136369.0	226.8 Mbp	0.0	15-31	56.0	12.851711744260452	24.829262040532733	25	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
1C3-fastp-adapters-polyG-31bp-merged	1C3-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12142915.0	308.3 Mbp	0.0	15-31	45.0	6.606861703727278	25.397231883777494	25	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1C7-fastp-adapters-polyG-31bp-merged	1C7-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7009278.0	177.7 Mbp	0.0	15-31	47.0	11.747439068701397	25.361576470500957	25	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
