group_id,module_label,module_color
OG_00686,1,turquoise
OG_00683,4,yellow
OG_00685,5,green
OG_00688,2,blue
OG_00689,5,green
OG_00687,1,turquoise
OG_00690,5,green
OG_00693,3,brown
OG_00691,2,blue
OG_00692,2,blue
OG_00694,0,grey
OG_00695,2,blue
OG_00697,0,grey
OG_00696,3,brown
OG_00698,1,turquoise
OG_00699,2,blue
OG_00700,6,red
OG_00707,8,pink
OG_00703,8,pink
OG_00705,7,black
OG_00706,0,grey
OG_00701,1,turquoise
OG_00702,6,red
OG_00708,5,green
OG_00709,1,turquoise
OG_00716,2,blue
OG_00717,1,turquoise
OG_00718,2,blue
OG_00719,3,brown
OG_00721,5,green
OG_00722,1,turquoise
OG_00723,6,red
OG_00724,3,brown
OG_00725,3,brown
OG_00726,4,yellow
OG_00710,7,black
OG_00711,3,brown
OG_00712,1,turquoise
OG_00713,1,turquoise
OG_00714,2,blue
OG_00715,4,yellow
OG_00727,4,yellow
OG_00728,2,blue
OG_00729,6,red
OG_00732,1,turquoise
OG_00731,6,red
OG_00730,1,turquoise
OG_00744,4,yellow
OG_00733,7,black
OG_00734,1,turquoise
OG_00735,4,yellow
OG_00736,6,red
OG_00737,5,green
OG_00738,1,turquoise
OG_00739,1,turquoise
OG_00740,4,yellow
OG_00741,2,blue
OG_00742,1,turquoise
OG_00743,1,turquoise
OG_00745,7,black
OG_00746,7,black
OG_00747,7,black
OG_00748,1,turquoise
OG_00750,2,blue
OG_00751,6,red
OG_00752,2,blue
OG_00753,1,turquoise
OG_00755,0,grey
OG_00754,0,grey
OG_00756,8,pink
OG_00757,6,red
OG_00758,1,turquoise
OG_00759,4,yellow
OG_00760,4,yellow
OG_00762,0,grey
OG_00765,2,blue
OG_00763,1,turquoise
OG_00764,2,blue
OG_00766,3,brown
OG_00768,3,brown
OG_00769,1,turquoise
OG_00767,3,brown
OG_00770,1,turquoise
OG_00771,7,black
OG_00772,0,grey
OG_00774,3,brown
OG_00773,4,yellow
OG_00775,4,yellow
OG_00780,0,grey
OG_00781,4,yellow
OG_00777,1,turquoise
OG_00779,2,blue
OG_00783,1,turquoise
OG_00784,7,black
OG_00785,1,turquoise
OG_00786,7,black
OG_00787,5,green
OG_00788,1,turquoise
OG_00790,1,turquoise
OG_00789,4,yellow
OG_00793,0,grey
OG_00791,6,red
OG_00792,0,grey
OG_00794,3,brown
OG_00795,3,brown
OG_00797,0,grey
OG_00796,7,black
OG_00801,3,brown
OG_00803,13,salmon
OG_00802,2,blue
OG_00798,6,red
OG_00799,11,greenyellow
OG_00800,1,turquoise
OG_00804,3,brown
OG_00805,1,turquoise
OG_00806,1,turquoise
OG_00807,2,blue
OG_00808,4,yellow
OG_00809,1,turquoise
OG_00810,5,green
OG_00811,2,blue
OG_00813,5,green
OG_00815,6,red
OG_00816,2,blue
OG_00817,4,yellow
OG_00818,6,red
OG_00819,0,grey
OG_00814,10,purple
OG_00824,4,yellow
OG_00825,6,red
OG_00820,2,blue
OG_00821,0,grey
OG_00822,4,yellow
OG_00830,5,green
OG_00826,6,red
