Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
1A10_R1_001	77.88828498157781	64.0	150.0	150	54.54545454545454	8619516.0
1A10_R2_001	78.9425769013451	68.0	150.0	150	45.45454545454545	8619516.0
1A12_R1_001	75.62491981918109	66.0	150.0	150	54.54545454545454	8194972.0
1A12_R2_001	77.534362015423	68.0	150.0	150	45.45454545454545	8194972.0
1A1_R1_001	79.1203565540933	70.0	150.0	150	45.45454545454545	13405128.0
1A1_R2_001	79.42510138312896	67.0	150.0	150	36.36363636363637	13405128.0
1A2_R1_001	79.46940052064863	69.0	150.0	150	45.45454545454545	16221488.0
1A2_R2_001	79.72750525102697	67.0	150.0	150	45.45454545454545	16221488.0
1A8_R1_001	77.85599380974516	68.0	150.0	150	54.54545454545454	10539495.0
1A8_R2_001	77.96683153894362	68.0	150.0	150	45.45454545454545	10539495.0
1A9_R1_001	77.25587756644231	67.0	150.0	150	54.54545454545454	18212437.0
1A9_R2_001	78.29174620634186	67.0	150.0	150	45.45454545454545	18212437.0
1B10_R1_001	76.9223080700617	66.0	150.0	150	54.54545454545454	10972576.0
1B10_R2_001	78.80195530711924	68.0	150.0	150	36.36363636363637	10972576.0
1B1_R1_001	79.54776901370074	65.0	150.0	150	45.45454545454545	15391285.0
1B1_R2_001	79.86551444049836	67.0	150.0	150	45.45454545454545	15391285.0
1B2_R1_001	80.94517803124742	67.0	150.0	150	45.45454545454545	15441789.0
1B2_R2_001	81.03989422798288	67.0	150.0	150	45.45454545454545	15441789.0
1B5_R1_001	73.87209194578054	70.0	150.0	150	54.54545454545454	16716297.0
1B5_R2_001	75.52071351246414	67.0	150.0	150	45.45454545454545	16716297.0
1B9_R1_001	80.8093181328982	70.0	150.0	150	63.63636363636363	12196471.0
1B9_R2_001	82.64714119559407	69.0	150.0	150	45.45454545454545	12196471.0
