Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
1A10_R1_001	1A10_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8619516.0	1.2 Gbp	0.0	150.0	64.0	22.111715018422196	150.0	150	pass	fail	fail	pass	fail	warn	pass	pass	fail	fail	fail
1A10_R2_001	1A10_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8619516.0	1.2 Gbp	0.0	150.0	68.0	21.05742309865489	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
1A12_R1_001	1A12_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8194972.0	1.2 Gbp	0.0	150.0	66.0	24.375080180818912	150.0	150	pass	fail	fail	pass	fail	warn	pass	pass	fail	fail	fail
1A12_R2_001	1A12_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8194972.0	1.2 Gbp	0.0	150.0	68.0	22.465637984577008	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
1A1_R1_001	1A1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13405128.0	2 Gbp	0.0	150.0	70.0	20.87964344590669	150.0	150	pass	warn	fail	pass	fail	warn	pass	pass	fail	fail	fail
1A1_R2_001	1A1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13405128.0	2 Gbp	0.0	150.0	67.0	20.57489861687104	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	fail	fail	fail
1A2_R1_001	1A2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16221488.0	2.4 Gbp	0.0	150.0	69.0	20.53059947935136	150.0	150	pass	fail	warn	pass	fail	pass	pass	pass	fail	fail	fail
1A2_R2_001	1A2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16221488.0	2.4 Gbp	0.0	150.0	67.0	20.272494748973028	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
1A8_R1_001	1A8_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10539495.0	1.5 Gbp	0.0	150.0	68.0	22.144006190254846	150.0	150	pass	fail	fail	pass	fail	warn	pass	pass	fail	fail	fail
1A8_R2_001	1A8_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10539495.0	1.5 Gbp	0.0	150.0	68.0	22.033168461056377	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
1A9_R1_001	1A9_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18212437.0	2.7 Gbp	0.0	150.0	67.0	22.74412243355769	150.0	150	pass	fail	fail	pass	fail	warn	pass	pass	fail	fail	fail
1A9_R2_001	1A9_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18212437.0	2.7 Gbp	0.0	150.0	67.0	21.708253793658148	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
1B10_R1_001	1B10_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10972576.0	1.6 Gbp	0.0	150.0	66.0	23.077691929938293	150.0	150	pass	fail	fail	pass	fail	warn	pass	pass	fail	fail	fail
1B10_R2_001	1B10_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10972576.0	1.6 Gbp	0.0	150.0	68.0	21.198044692880764	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	fail
1B1_R1_001	1B1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15391285.0	2.3 Gbp	0.0	150.0	65.0	20.45223098629926	150.0	150	pass	fail	pass	pass	fail	pass	pass	pass	fail	fail	fail
