"Predictor","MeanImportance","Type","Feature"
"Cluster_4609",1.45628387691534,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"Cluster_5627",0.959938968957321,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"Cluster_1345",0.469915884598557,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"Cluster_4485",0.274856574481569,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"WGBS_PC6",0.15415044049832,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"Cluster_5123",0.102342589610432,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"lncRNA_PC1",0.083061509774895,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"Cluster_2871",0.0781176938779261,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"lncRNA_PC19",0.0556961654781537,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"Cluster_3415",0.0510068942235287,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"WGBS_PC12",0.0403961582434444,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"Cluster_3713",0.0397950503928338,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"WGBS_PC16",0.0379188649704291,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"lncRNA_PC16",0.034616165543057,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"lncRNA_PC3",0.0338139700589582,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"Cluster_2873",0.0323178230022588,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"WGBS_PC13",0.0317120662578357,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"Cluster_1827",0.0308779349135599,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"WGBS_PC10",0.0297408222456061,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"lncRNA_PC28",0.0294322801044117,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1"
"lncRNA_PC1",0.100044244870101,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"Cluster_6456",0.0301242615152491,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"lncRNA_PC19",0.0222970460134006,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"WGBS_PC9",0.0167762328128539,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"Cluster_2873",0.0163524069940544,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"lncRNA_PC2",0.0156751162530753,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"lncRNA_PC12",0.0155158546215811,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"Cluster_1047",0.0136828255779037,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"WGBS_PC22",0.0135448858653402,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"lncRNA_PC9",0.0122906477245888,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"lncRNA_PC18",0.0122764665186783,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"Cluster_4",0.0102415371176924,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"lncRNA_PC14",0.00982676512416316,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"Cluster_4094",0.00946422308104465,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"WGBS_PC24",0.0082543874477791,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"WGBS_PC28",0.00686111562200498,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"WGBS_PC18",0.00666604903189793,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"WGBS_PC20",0.00585705916441466,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"Cluster_4490",0.00503039756994941,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"WGBS_PC13",0.00478921980272203,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1"
"lncRNA_PC1",0.101651584551134,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"Cluster_1094",0.0636036789369025,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"Cluster_4487",0.0467331700530721,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"Cluster_3713",0.0429058089847424,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"Cluster_4609",0.0363208303568796,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"WGBS_PC9",0.0325142085873198,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"lncRNA_PC9",0.0319945485638567,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"Cluster_2873",0.0259946141008067,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"lncRNA_PC2",0.020160752003474,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"WGBS_PC27",0.0192805885699496,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"WGBS_PC15",0.0181991061007984,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"lncRNA_PC22",0.015693632609053,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"lncRNA_PC5",0.0136861221836044,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"lncRNA_PC23",0.013676478340159,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"Cluster_4489",0.0126380242185271,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"WGBS_PC16",0.0120134235778541,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"WGBS_PC8",0.0114429078520759,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"WGBS_PC30",0.0113928360134159,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"Cluster_5123",0.0110677900838612,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"WGBS_PC18",0.0106129382514767,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1"
"Cluster_4485",0.274823178274093,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"Cluster_5267",0.102977533221054,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"lncRNA_PC1",0.0933306450459408,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"Cluster_5123",0.0557795544725381,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"lncRNA_PC9",0.0545927649637859,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"lncRNA_PC11",0.0391472500145969,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"WGBS_PC15",0.034794389752036,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"lncRNA_PC2",0.0253298642307199,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"WGBS_PC28",0.0170019441541306,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"WGBS_PC27",0.0165824493188597,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"WGBS_PC14",0.0160158902894643,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"WGBS_PC7",0.0114245734016374,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"Cluster_1827",0.0105938258791413,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"lncRNA_PC23",0.00966948275711841,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"Cluster_4487",0.00931613774687107,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"lncRNA_PC26",0.00920722190196583,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"WGBS_PC25",0.00767444002897608,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"WGBS_PC16",0.00751091411616563,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"lncRNA_PC16",0.00681882217988611,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"Cluster_4826",0.00640074871255136,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1"
"lncRNA_PC1",0.0499242613084245,"lncRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g4172.t1"
"Cluster_3713",0.0145487537106568,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g4172.t1"
"Cluster_5267",0.0112748246424169,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g4172.t1"
"Cluster_4485",0.00973791531018716,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g4172.t1"
"WGBS_PC1",0.00937024287809569,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g4172.t1"
"Cluster_2871",0.00775750996943267,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g4172.t1"
"Cluster_4826",0.00695339197318703,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g4172.t1"
"Cluster_6807",0.00596030420877646,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g4172.t1"
"WGBS_PC21",0.00539222086416259,"WGBS","gene-Pocillopora_meandrina_HIv1___RNAseq.g4172.t1"
"Cluster_4490",0.00504953585458273,"miRNA","gene-Pocillopora_meandrina_HIv1___RNAseq.g4172.t1"
