"Predictor","MeanImportance","Type","Selection_Prob","Stable","Mean_Abs_Coef","Stability_Label","Feature"
"lncRNA_9024",0.0636096817392433,"lncRNA",1,TRUE,0.0603884942766104,"***","OG_00305"
"gene-Pocillopora_meandrina_HIv1___RNAseq.g26015.t1",0.0373507669081986,"Other",0.645,TRUE,0.0356538990145266,"*","OG_00305"
"gene-Pocillopora_meandrina_HIv1___RNAseq.g13801.t1",0.0361331388981939,"Other",0.53,FALSE,0.0310275683213837,"","OG_00305"
"lncRNA_12208",0.0335384102847726,"lncRNA",0.79,TRUE,0.0225108722900901,"**","OG_00305"
"lncRNA_3897",0.0315633952274067,"lncRNA",1,TRUE,0.0323658983543354,"***","OG_00305"
"lncRNA_21477",0.0313346031190407,"lncRNA",0.93,TRUE,0.0295476269416716,"***","OG_00305"
"gene-Pocillopora_meandrina_HIv1___RNAseq.g16516.t1",0.0291654730786883,"Other",0.405,FALSE,0.0321657271002415,"","OG_00305"
"lncRNA_3859",0.0285472360137925,"lncRNA",1,TRUE,0.0301603212086088,"***","OG_00305"
"gene-Pocillopora_meandrina_HIv1___RNAseq.g23092.t1",0.0232630565216842,"Other",0.11,FALSE,0.00525167385269977,"","OG_00305"
"lncRNA_20910",0.0213622218526836,"lncRNA",0.93,TRUE,0.0235879052032053,"***","OG_00305"
"gene-Pocillopora_meandrina_HIv1___TS.g10827.t1",0.0209552841744493,"Other",0.085,FALSE,0.00323555420594319,"","OG_00305"
"lncRNA_21253",0.0200956011173806,"lncRNA",0.76,TRUE,0.0166912026302614,"**","OG_00305"
"gene-Pocillopora_meandrina_HIv1___RNAseq.g6954.t1",0.0199092609244538,"Other",0.79,TRUE,0.0187047082955706,"**","OG_00305"
"lncRNA_21251",0.0184868540479796,"lncRNA",0.75,TRUE,0.0164409597338341,"**","OG_00305"
"lncRNA_6165",0.0182007935873504,"lncRNA",0.915,TRUE,0.0142076291191973,"***","OG_00305"
"gene-Pocillopora_meandrina_HIv1___RNAseq.g26237.t1",0.0176914194102421,"Other",0.215,FALSE,0.0158889240258989,"","OG_00305"
"lncRNA_21216",0.0167449265652684,"lncRNA",0.875,TRUE,0.0178691414494438,"**","OG_00305"
"lncRNA_18565",0.0166051171368871,"lncRNA",0.87,TRUE,0.0135864929210682,"**","OG_00305"
