"Predictor_Type","N_stable","N_unique_predictors","N_genes_affected","Mean_Selection_Prob"
"Other",841,766,161,0.729607609988109
"lncRNA",6069,3557,172,0.786010874938211
"miRNA",6,5,4,0.816666666666667
