"Gene","N_stable","Top_predictor","Max_Selection_Prob","Mean_Selection_Prob"
"OG_00632",64,"lncRNA_16424",1,0.838359375
"OG_14295",58,"lncRNA_20720",1,0.777327586206897
"OG_06198",52,"lncRNA_23392",1,0.837403846153846
"OG_01489",51,"lncRNA_2017",1,0.77578431372549
"OG_01155",50,"lncRNA_3802",0.995,0.8244
"OG_08545",50,"lncRNA_1579",1,0.7836
"OG_01611",48,"lncRNA_16692",1,0.803333333333333
"OG_06998",48,"lncRNA_10944",1,0.8165625
"OG_18223",47,"lncRNA_12040",0.99,0.76531914893617
"OG_00510",46,"lncRNA_23938",1,0.802391304347826
"OG_03289",46,"gene-Pocillopora_meandrina_HIv1___RNAseq.g15716.t1",0.995,0.756195652173913
"OG_10265",46,"lncRNA_2287",1,0.815108695652174
"OG_17014",46,"lncRNA_6024",0.995,0.790217391304348
"OG_01452",45,"lncRNA_20616",1,0.738222222222222
"OG_14793",45,"lncRNA_2680",1,0.789222222222222
"OG_14915",45,"lncRNA_1223",1,0.746
"OG_01147",44,"lncRNA_16320",1,0.761704545454545
"OG_01317",44,"lncRNA_5560",1,0.789886363636364
"OG_01354",44,"lncRNA_15480",1,0.825227272727273
"OG_02184",44,"lncRNA_849",1,0.859545454545455
"OG_08856",44,"lncRNA_10826",1,0.799431818181818
"OG_17666",44,"lncRNA_3816",1,0.817613636363636
"OG_02317",43,"lncRNA_22097",0.995,0.844302325581395
"OG_02666",43,"lncRNA_8526",1,0.8
"OG_15303",43,"lncRNA_20938",1,0.822093023255814
"OG_16192",43,"lncRNA_10418",0.995,0.789767441860465
"OG_04547",41,"lncRNA_1576",1,0.801585365853659
"OG_00305",40,"lncRNA_3859",1,0.796375
"OG_04243",40,"lncRNA_23363",0.99,0.78525
"OG_08842",40,"lncRNA_22107",1,0.821
"OG_18159",40,"gene-Pocillopora_meandrina_HIv1___RNAseq.g23064.t1",1,0.80875
"OG_01630",39,"lncRNA_2680",1,0.781794871794872
"OG_02316",39,"lncRNA_20745",1,0.762307692307692
"OG_16747",39,"lncRNA_14070",0.995,0.776923076923077
"OG_01121",38,"lncRNA_2930",1,0.823157894736842
"OG_06101",38,"lncRNA_28690",0.985,0.828815789473684
"OG_09174",38,"lncRNA_11193",1,0.790921052631579
"OG_09423",38,"lncRNA_16350",1,0.784868421052632
"OG_04165",37,"lncRNA_186",1,0.793378378378378
"OG_03673",36,"lncRNA_186",1,0.815555555555556
"OG_05718",36,"lncRNA_066",1,0.782222222222222
"OG_08849",36,"lncRNA_20125",0.995,0.808611111111111
"OG_10121",36,"lncRNA_4377",1,0.806527777777778
"OG_16539",36,"lncRNA_1404",0.955,0.752916666666667
"OG_16592",36,"lncRNA_6844",1,0.835416666666667
"OG_18058",36,"lncRNA_6318",0.995,0.797916666666667
"OG_02190",35,"lncRNA_4267",1,0.872285714285714
"OG_03451",35,"lncRNA_25825",1,0.830142857142857
"OG_06670",35,"lncRNA_17854",0.99,0.836428571428571
"OG_10039",35,"lncRNA_3148",1,0.795571428571429
"OG_10267",35,"lncRNA_14948",1,0.805
"OG_13910",35,"lncRNA_24406",1,0.791571428571429
"OG_14540",35,"gene-Pocillopora_meandrina_HIv1___RNAseq.g2250.t1",1,0.737142857142857
"OG_17646",35,"lncRNA_5619",1,0.752
"OG_01023",34,"lncRNA_23938",1,0.798970588235294
"OG_02935",34,"lncRNA_6046",1,0.778823529411765
"OG_04209",34,"lncRNA_16315",1,0.806911764705882
"OG_06279",34,"lncRNA_7403",1,0.821764705882353
"OG_09806",34,"lncRNA_27170",0.995,0.783382352941176
"OG_10274",34,"lncRNA_18456",0.99,0.757647058823529
"OG_15920",34,"lncRNA_13219",0.965,0.781470588235294
"OG_02102",33,"gene-Pocillopora_meandrina_HIv1___RNAseq.g8250.t1",0.965,0.771666666666667
"OG_03291",33,"lncRNA_20739",0.995,0.792727272727273
"OG_06717",33,"lncRNA_765",1,0.835454545454545
"OG_07000",33,"lncRNA_19954",0.965,0.786212121212121
"OG_08639",33,"lncRNA_14950",0.93,0.766212121212121
"OG_08658",33,"lncRNA_9876",0.99,0.796212121212121
"OG_09657",33,"lncRNA_30953",1,0.781212121212121
"OG_10109",33,"lncRNA_7130",1,0.783181818181818
"OG_14094",33,"gene-Pocillopora_meandrina_HIv1___TS.g26164.t1",0.99,0.828636363636364
"OG_17483",33,"lncRNA_21354",1,0.769545454545455
"OG_00466",32,"lncRNA_18418",0.975,0.749375
"OG_02220",32,"lncRNA_27641",0.985,0.7621875
"OG_06592",32,"lncRNA_4139",1,0.84546875
"OG_14038",32,"lncRNA_20954",0.97,0.761875
