"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"ACR.139.TP1"	"ACR.139.TP2"	"ACR.139.TP3"	"ACR.139.TP4"	"ACR.145.TP1"	"ACR.145.TP2"	"ACR.145.TP3"	"ACR.145.TP4"	"ACR.150.TP1"	"ACR.150.TP2"	"ACR.150.TP3"	"ACR.150.TP4"	"ACR.173.TP1"	"ACR.173.TP2"	"ACR.173.TP3"	"ACR.173.TP4"	"ACR.186.TP1"	"ACR.186.TP2"	"ACR.186.TP3"	"ACR.186.TP4"	"ACR.225.TP1"	"ACR.225.TP2"	"ACR.225.TP3"	"ACR.225.TP4"	"ACR.229.TP1"	"ACR.229.TP2"	"ACR.229.TP3"	"ACR.229.TP4"	"ACR.237.TP1"	"ACR.237.TP2"	"ACR.237.TP3"	"ACR.237.TP4"	"ACR.244.TP1"	"ACR.244.TP2"	"ACR.244.TP3"	"ACR.244.TP4"	"ACR.265.TP1"	"ACR.265.TP2"	"ACR.265.TP3"	"ACR.265.TP4"
"lncRNA_015"	"ptg000027l"	" 1136373"	" 4726654"	"+"	"   264"	"    37.14"	"     3.00"	"   201.89"	"   115.00"	"   52.20"	"    27.00"	"  5074.42"	"    17.92"	"   167.83"	"     6.25"	"   73.31"	"   241.00"	"    6.67"	"    32.33"	"     4.50"	"    2.31"	"    0.00"	"     0.00"	"   430.00"	"   16.00"	"   373.00"	"    26.17"	"  1823.40"	"   102.50"	"    19.00"	"     9.00"	"   103.72"	"    8.00"	"   77.70"	"     0.00"	"    84.00"	"  1419.03"	"  951.50"	"     9.85"	"   241.50"	"    52.50"	"  138.50"	"   218.45"	"    87.00"	"    32.00"
"lncRNA_076"	"ptg000036l"	" 4728354"	"28465223"	"+"	" 53137"	"   252.00"	"   247.00"	"    48.50"	"   117.00"	"   35.20"	"    95.79"	"     0.00"	"  1021.16"	"     2.29"	"   370.00"	"  350.00"	"   681.00"	"    5.00"	"    50.90"	"     8.67"	"    3.20"	"   22.12"	"     0.00"	"   122.50"	"  152.00"	"   294.00"	"    35.79"	"   934.00"	"    50.50"	"    28.04"	"     4.05"	"    18.86"	"    8.25"	"   44.92"	"   351.09"	"     1.04"	"   367.00"	"   12.33"	"    32.00"	"    54.07"	"    22.00"	"    5.24"	"    62.00"	"  1536.00"	"    16.33"
"lncRNA_077"	"ptg000017l"	"14647188"	" 2098956"	"+"	"   936"	"   131.00"	"    33.00"	"   102.20"	"     7.62"	"    9.33"	"    66.50"	"     8.81"	"    41.07"	"     6.00"	"   180.83"	"   11.00"	"    86.00"	"  130.00"	"   347.00"	"    21.10"	"   38.33"	"  140.26"	"   107.12"	"    25.92"	"  645.00"	"   101.00"	"    16.67"	"   150.83"	"     2.33"	"    18.43"	"   467.00"	"   100.00"	"  231.00"	"  236.50"	"    41.00"	"    34.63"	"    23.38"	"   20.10"	"    25.50"	"   178.00"	"    24.76"	"  108.00"	"     0.00"	"   314.00"	"    66.10"
"lncRNA_078"	"ptg000009l"	" 5353806"	"  584342"	"+"	"  6232"	"   107.13"	"   101.50"	" 16853.00"	"    58.00"	"  109.50"	"    21.67"	"   187.00"	"   778.35"	"     1.00"	"  1650.00"	"   27.67"	"     3.00"	"  332.50"	"    41.67"	"    27.38"	"  357.00"	"   15.00"	"     9.00"	"    39.33"	"  169.00"	"   102.50"	"    43.18"	"    26.05"	"    20.50"	"    45.00"	"   138.67"	"    37.05"	"   13.67"	"  104.50"	"   280.00"	"    16.00"	"   364.00"	"  197.50"	"    26.00"	"   263.16"	"    50.08"	"    4.00"	"    62.67"	"    25.63"	"    22.00"
"lncRNA_080"	"ptg000008l"	"  336017"	" 2071656"	"+"	"  6884"	"     5.98"	"    20.67"	"    92.08"	"    24.53"	"   15.25"	"   193.82"	"    92.00"	"    17.25"	"    17.00"	"   263.33"	"   40.00"	"    54.62"	"  129.28"	"    19.10"	"     7.22"	"  273.00"	"   57.16"	"     7.00"	"   349.00"	"  145.50"	"  1468.33"	"    35.47"	"    24.00"	"     8.24"	"   830.00"	"  2177.00"	"    28.40"	"    0.00"	"  532.00"	"    72.25"	"    72.00"	"   252.00"	"    2.50"	"    87.08"	"     9.68"	"   115.50"	"  112.00"	"  2035.50"	"    49.00"	"     4.00"
"lncRNA_081"	"ptg000002l"	" 6283103"	" 9204372"	"+"	"  1392"	"   259.17"	"   404.33"	"   188.93"	"   120.59"	"  846.25"	"    85.67"	"  3325.00"	"    81.00"	"    44.84"	"    72.60"	"   89.00"	"   164.00"	"   60.00"	"    16.50"	"     0.00"	"   12.75"	"  175.00"	"     0.00"	"    34.00"	"   61.58"	"    11.40"	"   204.00"	"  1147.00"	"   143.00"	"    59.00"	"    41.59"	"    36.48"	"   24.83"	"   25.67"	"    90.24"	"    46.83"	"     0.00"	"    3.50"	"   882.00"	"    40.64"	"     9.91"	"   63.50"	"    85.00"	"    47.83"	"     6.50"
"lncRNA_083"	"ptg000015l"	"12562969"	" 3308622"	"+"	"  1914"	"    75.33"	"   122.92"	"    71.41"	"   165.00"	"   20.00"	"    26.00"	"     0.00"	"   178.82"	"    80.00"	"    60.00"	"   47.00"	"    75.79"	"  320.50"	"  1614.50"	"    15.73"	"  102.00"	"   74.00"	"    17.00"	"    16.00"	"   69.00"	"    12.00"	"  1179.00"	"    94.00"	"     1.00"	"  1304.33"	"    99.00"	"  1244.00"	"  193.00"	"   26.00"	"    76.50"	"    28.00"	"   100.00"	"   19.83"	"    30.58"	"    56.00"	"    17.93"	"  617.00"	"    43.22"	"    77.75"	"     9.00"
"lncRNA_084"	"ptg000018l"	"19005193"	"   60983"	"+"	"  3242"	"     6.86"	"     2.00"	"   240.44"	"  1083.50"	"   35.31"	"    11.04"	"    12.24"	"   278.66"	"    24.00"	"    15.00"	"  197.83"	"    10.00"	"    0.20"	"  2261.00"	"  3717.91"	"  342.16"	"    0.00"	"    35.00"	"     0.00"	"    5.50"	"     0.00"	"   808.32"	"  7313.50"	"    16.00"	"    38.00"	"   149.83"	"    10.00"	"18338.00"	"    1.67"	"    44.00"	"    15.00"	"    53.00"	"   13.33"	"    51.00"	"   131.00"	"     7.46"	"   63.50"	"   120.08"	"    45.87"	"    32.16"
"lncRNA_085"	"ptg000023l"	" 4775102"	"12444048"	"+"	"   599"	"    52.33"	"    22.00"	"    86.92"	"   133.00"	"   66.25"	"     2.57"	"    18.98"	"    12.50"	"    10.00"	"   528.00"	"    1.00"	"    48.00"	"   34.39"	"    38.00"	"    54.00"	"   53.00"	"   44.25"	"    46.88"	"   494.00"	"    8.00"	"    11.83"	"    39.00"	"    27.67"	"     0.47"	"    83.90"	"    85.00"	"    25.50"	"    4.98"	"  163.00"	"   118.33"	"     8.00"	"    23.00"	"   28.00"	"   983.63"	"    49.89"	"   128.00"	"   45.33"	"    89.33"	"     8.45"	"    29.33"
"lncRNA_086"	"ptg000023l"	" 8583987"	" 6324389"	"+"	"   788"	"    25.26"	"    28.58"	"   144.33"	"   200.61"	"   24.33"	"     4.70"	"    45.00"	"    81.50"	"     3.00"	"     0.20"	"  392.00"	"     0.00"	"   22.70"	"    21.28"	"    87.17"	"  788.00"	"   21.50"	"     5.00"	"     3.00"	"   21.80"	"    12.00"	"    49.00"	"   682.50"	"     5.59"	"   105.00"	"   873.25"	"    29.00"	"    0.00"	"  597.00"	"    25.49"	"    10.83"	"     4.00"	"  123.48"	"    33.33"	"     8.17"	"    25.00"	"  321.00"	"    47.70"	"   141.58"	"     1.00"
"lncRNA_088"	"ptg000022l"	"21454938"	"12378127"	"+"	"  2840"	"   230.33"	"  2670.15"	"   405.50"	"    39.00"	"    4.00"	"    92.00"	"    77.67"	"   148.92"	"   100.00"	"    18.00"	"   61.47"	"     2.00"	"   30.25"	"    31.33"	"    10.00"	"   13.50"	"    1.00"	"    11.00"	"    14.20"	"    4.00"	"    21.00"	"    32.00"	"    30.64"	"   113.00"	"   114.00"	"   114.67"	"   391.00"	"    6.00"	"    0.00"	"    25.51"	"    43.00"	"     6.67"	"   69.00"	"    63.03"	"    78.50"	"    24.26"	" 1959.00"	"     0.00"	"   183.13"	"     9.00"
"lncRNA_091"	"ptg000018l"	"21028566"	"22692123"	"+"	"  8922"	"    65.75"	"   282.15"	"    64.24"	"    45.00"	"   15.00"	"    16.00"	"   120.00"	"    13.12"	"    40.33"	"    32.00"	"   65.00"	"     4.50"	"  163.25"	"     4.50"	"    30.50"	"  173.00"	"    4.20"	"    69.33"	"     2.00"	"  138.00"	"    82.08"	"    67.41"	"   217.46"	"     0.73"	"   138.65"	"     4.50"	"   170.42"	"    5.98"	"    2.00"	"  1087.00"	"     7.96"	"  1952.32"	"    0.00"	"    99.50"	"   341.00"	"    19.00"	"  495.00"	"    37.00"	"    28.02"	"   707.00"
"lncRNA_092"	"ptg000023l"	"11268342"	"17806829"	"+"	"  1097"	"   101.00"	"    26.25"	"    17.83"	"    14.50"	"  484.00"	"    80.33"	"  4135.00"	"   156.00"	"   103.00"	"    43.00"	"   20.86"	"    23.50"	"   17.00"	"    54.00"	"    11.17"	"   23.00"	"   67.00"	"    10.75"	"    17.99"	"   83.00"	"    97.00"	"  1113.74"	"     9.00"	"    19.08"	"    92.33"	"    69.98"	"   227.55"	"   24.00"	"   11.50"	"    16.00"	"   125.44"	"   119.00"	"  132.75"	"   596.53"	"   212.00"	"   840.00"	"   51.50"	"    63.00"	"    80.46"	"     1.75"
"lncRNA_093"	"ptg000018l"	" 3997272"	" 5192991"	"+"	"  2038"	"   118.00"	"    94.00"	"    17.00"	"   138.66"	"   90.27"	"     7.17"	"     0.00"	"    58.00"	"   103.00"	"   385.00"	"    9.01"	"    58.00"	"   68.74"	"     4.00"	"  2996.00"	"   24.14"	"   35.00"	"    36.00"	"   138.00"	"  177.10"	"   465.00"	"     9.50"	"    36.48"	"   586.37"	"    32.00"	"   500.14"	"   198.50"	"  379.57"	"    7.00"	"    96.48"	"   620.00"	"   936.00"	"  125.07"	"   143.10"	"   108.00"	"    14.33"	"   17.59"	"  2177.50"	"   153.66"	"     4.70"
"lncRNA_094"	"ptg000008l"	"14765871"	"21647154"	"+"	"  6040"	"    12.00"	"   143.38"	"    48.50"	"    69.42"	"  114.00"	"    24.50"	"    24.50"	"     0.00"	"    64.00"	"    81.50"	"   22.75"	"   310.32"	"   47.28"	"     3.00"	"    13.00"	"   76.50"	"   16.00"	"    66.66"	"  8592.00"	"  295.00"	"   124.17"	"    32.37"	"    10.00"	"     7.37"	"     9.11"	"    39.92"	"    24.00"	"   28.27"	"  212.25"	"   247.25"	"    95.35"	"     6.00"	"   42.00"	"     1.00"	"   302.50"	"    24.42"	"   22.12"	"    30.50"	"    27.00"	"    20.67"
"lncRNA_095"	"ptg000008l"	" 5775459"	"  795678"	"+"	"  4646"	"   156.75"	"  1630.00"	"    26.00"	"   192.00"	"   57.50"	"    72.00"	"    94.00"	"    16.00"	"   113.00"	"   386.99"	" 1235.53"	"   940.00"	"  322.00"	"    12.00"	"   284.50"	"   61.00"	"   17.00"	"     8.50"	"    51.67"	"   11.00"	"   638.00"	"    20.92"	"    68.00"	"    50.00"	"    37.00"	"   345.74"	"    42.00"	"    0.00"	"    5.29"	"    48.00"	"   213.32"	"    43.00"	"    8.00"	"    15.67"	"    31.50"	"    54.00"	"  346.00"	"    26.83"	"   192.91"	"     0.00"
"lncRNA_096"	"ptg000023l"	" 1205305"	"  458192"	"+"	"  6868"	"    60.00"	"    20.00"	"     0.00"	"    90.00"	"   51.67"	"    32.50"	"     4.00"	"    29.00"	"   113.10"	"    11.00"	"   22.00"	"     7.63"	"   54.08"	"    25.50"	"     7.00"	"    3.25"	"  744.00"	"   111.83"	"   217.00"	"    0.00"	"    62.27"	"    17.00"	"    27.75"	"    11.02"	"  1326.00"	"    18.50"	"  1616.00"	"  130.50"	"   29.25"	"   195.50"	"   480.25"	"     4.00"	"  131.92"	"   322.50"	"     0.00"	"    10.00"	"  657.21"	"    27.00"	"   103.67"	"    32.98"
"lncRNA_097"	"ptg000026l"	"14545805"	" 2039245"	"+"	"  3106"	"    25.83"	"     1.00"	"   102.54"	"    93.25"	"   11.74"	"     4.57"	"    58.00"	"    60.20"	"    17.00"	"   549.90"	"   97.33"	"    34.42"	"   20.09"	"    57.00"	"     7.00"	"  183.00"	"  302.08"	"    41.89"	"   115.83"	"   17.67"	"    34.24"	"    30.00"	"     4.50"	"     0.00"	"   510.99"	"  1562.00"	"   316.00"	"    0.00"	"   58.00"	"    57.33"	"    16.22"	"    24.00"	"    3.67"	"    62.00"	"    94.46"	"   585.56"	"  145.00"	"   242.39"	"   113.50"	"   202.17"
"lncRNA_098"	"ptg000027l"	" 1900478"	" 4146317"	"+"	"  7026"	"   620.00"	"     2.00"	"    12.95"	"   784.50"	"  384.66"	"     5.00"	"    49.00"	"   536.00"	"     3.21"	"    10.33"	"   29.40"	"   162.42"	"   67.32"	"     0.00"	"    24.42"	"   44.00"	"    5.33"	"     2.50"	"     6.00"	"    7.00"	"   112.00"	"    70.00"	"  9413.00"	"     2.00"	"    60.00"	"   145.00"	"   143.00"	"   49.00"	"    1.33"	"   357.30"	"    20.28"	"    97.50"	"  117.00"	"    10.00"	"    31.48"	"   387.00"	"   14.00"	"    25.52"	"    15.00"	"   187.71"
"lncRNA_099"	"ptg000033l"	" 3844481"	" 2520842"	"+"	"  1177"	"    27.00"	"    14.50"	"   200.50"	"  5999.43"	"   50.48"	"    19.25"	"   105.75"	"     9.00"	"    16.00"	"    32.00"	"  122.64"	"   352.00"	"   12.50"	"     0.00"	"     5.00"	"    0.00"	"  121.00"	"    88.00"	"    20.59"	"   12.00"	"  1819.00"	"    40.60"	"    11.47"	"    64.37"	"    35.00"	"   303.83"	"    48.50"	"  218.00"	"   98.50"	"   150.25"	"    51.67"	"  1813.00"	"    6.00"	"   278.00"	"   702.50"	"     2.00"	"  114.23"	"    74.17"	"   106.80"	"    28.41"
"lncRNA_100"	"ntLink_6"	" 5384652"	"10542369"	"+"	"  5990"	"    42.00"	"    50.00"	"    17.08"	"    52.00"	" 1118.00"	"   335.50"	"    36.33"	"    90.58"	"     0.67"	"   141.00"	"  804.00"	"     0.00"	"   23.00"	"    12.33"	"    62.00"	"   79.00"	"    0.00"	"   149.50"	"    44.62"	"  266.31"	"    37.00"	"   247.50"	"    57.52"	"    47.00"	"   528.00"	"    48.06"	"    15.00"	"  167.00"	"  200.83"	"    16.73"	"   100.57"	"     3.00"	" 1251.50"	"    31.67"	"   220.00"	"   186.00"	"    1.00"	"    36.00"	"    75.00"	"   367.06"
"lncRNA_103"	"ptg000025l"	" 4920134"	" 7642475"	"+"	" 23016"	"     7.33"	"    53.63"	"   197.67"	"    31.00"	"  107.58"	"   743.75"	"     0.00"	"    18.00"	"   193.22"	"   941.50"	"   29.33"	"    40.00"	"    2.17"	"     6.50"	"     0.67"	"  144.55"	"    2.00"	"    87.00"	"    55.50"	"   18.17"	"    11.00"	"   158.17"	"    28.53"	"    97.50"	"    15.00"	"   597.63"	"    50.20"	"    9.50"	"   64.00"	"  1155.00"	"    15.00"	"    68.50"	"89158.20"	"    19.44"	"    33.00"	"    83.49"	"  177.27"	"    27.67"	"    62.10"	"    60.00"
"lncRNA_104"	"ptg000015l"	"16923365"	" 9386259"	"+"	"  7692"	"   146.50"	"    22.00"	"   158.00"	"     5.50"	"  365.10"	"   106.00"	"    22.93"	"    40.26"	"   121.00"	"     0.00"	"  694.00"	"   104.08"	"   25.00"	"    24.00"	"    16.00"	"   35.00"	"    5.00"	"    16.35"	"   149.50"	"   18.00"	"    24.54"	"    28.00"	"    86.42"	"    12.00"	"    32.50"	"    14.50"	"   213.00"	"   24.67"	"   54.96"	"    10.33"	"    55.00"	"     4.13"	"   60.91"	"     6.00"	"   278.50"	"     8.00"	"  421.83"	"    28.00"	"   348.50"	"    30.33"
