,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20
TP1,-4.4761043837066365,15.676618199660734,30.502282849024482,-6.303879625787883,40.291115553820326,29.459762494262623,3.3174913842322518,19.855107740321696,26.387237411315912,-5.05601272834088,-9.081057741200684,30.113318514445368,10.024416239048334,6.146270178267205,6.884051923519047,23.467239744089763,38.73864395339255,22.667007622621732,25.39845631893144,12.258830576944959
TP2,-5.7224403979826866,22.482374942785096,28.541974996202057,17.75859100223342,43.054731589359044,-1.2767253538958176,3.7581240234809727,17.21264677476668,-4.518654486836737,31.05168359164818,18.465628526153562,4.454646509675875,23.596728303527023,4.342410284512626,18.859129205414263,4.6384237998139906,17.921527823554715,21.459142223245404,33.13942140628961,-0.9277702308641627
TP3,0.2309170204607746,-0.4789125053166514,21.936589144432475,45.958547691458634,22.73315803187515,-1.0442697832662675,-2.778143828688602,9.869790956151471,-5.125095635476746,12.959311770073837,-31.752865715247385,3.225739959821707,27.173613979712243,8.235928245271545,22.713170537939764,29.294584985864386,23.633181580579496,28.850099611295185,12.174964163527658,34.40985188040871
TP4,13.592336530397493,22.22318969952341,33.97891157792324,43.28911071463932,23.916843387379743,-0.6380662281971325,-41.3882493811162,15.159548979913716,23.03621854259134,-1.4482327443890166,-20.91901832127043,5.213601408147139,21.131193594794688,43.81479458297764,11.85407626805756,29.336128970727597,-11.38838673508314,15.07983963734087,29.31684428278515,22.28362043040185
