Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
POC-201-TP1_R1_001	8.63599	0.914039	9826875333.0	80617314.0	0.193631	98.09443209279775	5.626840046747168	17.903155324014193	19.0	133.35131929600135	135	18.181818181818183	40308657.0
POC-201-TP1_R2_001								18.260018188248665	19.0	133.3962719472395	135	18.181818181818183	40308657.0
POC-201-TP2_R1_001	5.65869	0.915172	7354237667.0	60618978.0	0.195673	98.26345034045893	8.146527506935454	13.251876307951676	19.0	132.52443107833327	135	18.181818181818183	30309489.0
POC-201-TP2_R2_001								13.594636474984682	19.0	132.6314292530633	135	18.181818181818183	30309489.0
POC-219-TP1_R1_001	5.97927	0.917913	8160597095.0	67504282.0	0.19895	98.09552142280461	13.347923498949632	14.732945406119455	20.0	131.6534763528038	135	18.181818181818183	33752141.0
POC-219-TP1_R2_001								15.26813954820139	19.0	131.77103920607584	135	18.181818181818183	33752141.0
POC-219-TP2_R1_001	6.81908	0.918975	12228476043.0	101265984.0	0.194972	98.22841371921723	11.825630637942364	17.958698067966864	19.0	131.3191204067103	135	18.181818181818183	50632992.0
POC-219-TP2_R2_001								18.355245411093506	19.0	131.5113122487409	135	18.181818181818183	50632992.0
POC-219-TP3_R1_001	5.57656	0.9235	10691394512.0	92431252.0	0.213437	98.03169697388535	32.44228256528984	16.83328449521197	21.0	125.08026882509392	135	18.181818181818183	46215626.0
POC-219-TP3_R2_001								17.589944348805304	21.0	125.4312449862737	135	18.181818181818183	46215626.0
POC-219-TP4_R1_001	5.82862	0.921975	9781393890.0	81610218.0	0.200534	98.17148666407492	17.198223568778186	15.164231601008865	20.0	129.89249461384847	135	18.181818181818183	40805109.0
POC-219-TP4_R2_001								15.543851385492204	19.0	130.12369583426428	135	18.181818181818183	40805109.0
POC-222-TP1_R1_001	7.7224699999999995	0.915763	10077999584.0	82672206.0	0.193934	98.0662101373628	6.343522354596673	16.45861307820971	19.0	133.09685995315039	135	9.090909090909092	41336103.0
POC-222-TP1_R2_001								16.976495441610126	19.0	133.16509589692092	135	18.181818181818183	41336103.0
POC-222-TP3_R1_001	6.75056	0.915136	11885364436.0	98779100.0	0.196632	98.08646634138893	11.182544906444935	16.723165721866607	19.0	131.41190508923447	135	18.181818181818183	49389550.0
POC-222-TP3_R2_001								17.130982793435308	19.0	131.5748563005737	135	18.181818181818183	49389550.0
POC-222-TP4_R1_001	6.101970000000001	0.925829	10359131321.0	87429210.0	0.203763	98.22805900927294	23.307716808969246	15.741076177236337	20.0	127.79358006323058	135	18.181818181818183	43714605.0
POC-222-TP4_R2_001								16.011444544750375	20.0	128.17903572501683	135	18.181818181818183	43714605.0
POC-255-TP1_R1_001	5.40576	0.895072	8771759229.0	73654720.0	0.196535	97.69145934259784	6.471052221459575	15.65260705956598	19.0	133.02849329954685	135	18.181818181818183	36827360.0
POC-255-TP1_R2_001								15.065818897170132	19.0	133.10821329576706	135	18.181818181818183	36827360.0
POC-255-TP2_R1_001	6.602650000000001	0.918882	8769535926.0	72913484.0	0.196158	98.16176609175601	13.484601226749387	16.28559089441508	19.0	130.79329274678466	135	18.181818181818183	36456742.0
POC-255-TP2_R2_001								16.489373780778934	19.0	131.01158891269	135	18.181818181818183	36456742.0
POC-255-TP3_R1_001	6.908060000000001	0.94583	9491818154.0	84847470.0	0.216196	98.42509582783704	42.27741791386446	13.797257262055453	21.0	118.06533722219413	135	18.181818181818183	42423735.0
POC-255-TP3_R2_001								13.865212888205733	21.0	118.49392442697466	135	9.090909090909092	42423735.0
POC-259-TP1_R1_001	6.23571	0.913447	9780431253.0	80682570.0	0.198102	98.0709804643919	7.7117898008602594	14.724427132199182	19.0	132.67157330263527	135	18.181818181818183	40341285.0
POC-259-TP1_R2_001								14.846580152721629	19.0	132.76990794913945	135	18.181818181818183	40341285.0
POC-259-TP2_R1_001	7.529230000000001	0.911156	10843196268.0	89222108.0	0.193744	97.95356539809367	5.321459164922658	16.224352462187923	19.0	133.36817413011582	135	9.090909090909092	44611054.0
POC-259-TP2_R2_001								16.474392526382744	19.0	133.42231313342205	135	18.181818181818183	44611054.0
POC-40-TP1_R1_001	6.566719999999999	0.907581	7818784313.0	64746056.0	0.194838	98.00192552592702	6.165050805325199	14.768465346338104	19.0	133.03257461736357	135	9.090909090909092	32373028.0
POC-40-TP1_R2_001								15.023280294047808	19.0	133.1121864473104	135	18.181818181818183	32373028.0
POC-40-TP2_R1_001	13.822400000000002	0.937147	12008607838.0	96099096.0	0.192963	98.33705462258293	5.272860981122832	15.70754997313199	19.0	133.34443129412998	135	9.090909090909092	48049548.0
POC-40-TP2_R2_001								15.798899019985697	19.0	133.36863406082404	135	9.090909090909092	48049548.0
POC-40-TP3_R1_001	6.908250000000001	0.913662	9424029616.0	77525588.0	0.194508	98.07907407072854	6.627958334680685	15.53855711993522	19.0	133.03062751358945	135	9.090909090909092	38762794.0
POC-40-TP3_R2_001								15.783548266588355	19.0	133.09249227493765	135	18.181818181818183	38762794.0
POC-40-TP4_R1_001	14.1344	0.937558	10059411273.0	80368716.0	0.193077	98.33049837952127	4.6600028918462	15.484557258098292	19.0	133.50598367155698	135	9.090909090909092	40184358.0
POC-40-TP4_R2_001								15.458634544288998	19.0	133.52839069868926	135	9.090909090909092	40184358.0
POC-42-TP2_R1_001	7.13317	0.911531	10615625565.0	87420876.0	0.193639	98.05659870663946	6.128988607355185	15.883905317732655	19.0	133.20634931638068	135	18.181818181818183	43710438.0
POC-42-TP2_R2_001								16.113758643185193	19.0	133.25613035495093	135	18.181818181818183	43710438.0
POC-42-TP4_R1_001	7.9668600000000005	0.908541	10330470845.0	85140834.0	0.193597	97.93136792194571	4.628982008686338	16.70806794365444	19.0	133.54221627662233	135	9.090909090909092	42570417.0
POC-42-TP4_R2_001								16.918168928391225	19.0	133.58467341299476	135	18.181818181818183	42570417.0
POC-52-TP1_R1_001	11.6524	0.94272	7530331418.0	60133810.0	0.195135	98.49837899925501	9.37373578141579	13.880116588449681	19.0	132.82592624681521	135	18.181818181818183	30066905.0
POC-52-TP1_R2_001								13.907155754124048	19.0	132.86944732089984	135	9.090909090909092	30066905.0
POC-52-TP2_R1_001	7.16411	0.920562	8380744890.0	68481154.0	0.194416	98.1582621074413	9.989983381891326	14.919343571901507	19.0	132.92757324153737	135	9.090909090909092	34240577.0
POC-52-TP2_R2_001								15.373084488500481	19.0	132.97871364726126	135	18.181818181818183	34240577.0
