module_miRNA_count	module
18	ME0
2	ME1
2	ME10
0	ME11
1	ME12
0	ME13
3	ME14
0	ME15
0	ME16
0	ME17
0	ME18
1	ME19
0	ME2
1	ME20
0	ME21
0	ME22
1	ME23
0	ME24
1	ME25
0	ME26
0	ME27
1	ME28
1	ME29
1	ME3
2	ME30
3	ME31
0	ME32
0	ME33
0	ME34
1	ME35
0	ME36
0	ME37
0	ME38
0	ME39
0	ME4
1	ME40
0	ME41
0	ME42
0	ME43
0	ME44
0	ME45
0	ME46
0	ME47
0	ME48
0	ME49
1	ME5
0	ME50
0	ME51
0	ME52
0	ME53
1	ME6
1	ME7
0	ME8
0	ME9
