nodeName	altName	nodeAttr[nodesPresent, ]
FUN_002328	NA	50
FUN_002334	NA	50
FUN_002338	NA	50
FUN_003853	NA	50
FUN_005380	NA	50
FUN_001359	NA	50
FUN_002088	NA	50
FUN_006562	NA	50
FUN_009275	NA	50
FUN_009570	NA	50
FUN_010188	NA	50
FUN_012021	NA	50
FUN_012024	NA	50
FUN_012448	NA	50
FUN_016006	NA	50
FUN_016204	NA	50
FUN_016234	NA	50
FUN_016586	NA	50
FUN_016506	NA	50
FUN_016677	NA	50
FUN_018796	NA	50
FUN_022499	NA	50
FUN_023117	NA	50
FUN_023801	NA	50
FUN_024539	NA	50
FUN_024545	NA	50
FUN_025555	NA	50
FUN_026409	NA	50
FUN_027976	NA	50
FUN_028036	NA	50
FUN_029718	NA	50
FUN_031188	NA	50
FUN_031523	NA	50
FUN_031864	NA	50
FUN_036985	NA	50
FUN_037405	NA	50
FUN_040783	NA	50
FUN_041546	NA	50
FUN_042607	NA	50
FUN_042999	NA	50
FUN_043559	NA	50
Cluster_3227	NA	50
