nodeName	altName	nodeAttr[nodesPresent, ]
FUN_004170	NA	45
FUN_005268	NA	45
FUN_000591	NA	45
FUN_000892	NA	45
FUN_000919	NA	45
FUN_001048	NA	45
FUN_001307	NA	45
FUN_005899	NA	45
FUN_006500	NA	45
FUN_006795	NA	45
FUN_006842	NA	45
FUN_007804	NA	45
FUN_009037	NA	45
FUN_009125	NA	45
FUN_009222	NA	45
FUN_009728	NA	45
FUN_010688	NA	45
FUN_011775	NA	45
FUN_012687	NA	45
FUN_013115	NA	45
FUN_013116	NA	45
FUN_014881	NA	45
FUN_015190	NA	45
FUN_015349	NA	45
FUN_015350	NA	45
FUN_018387	NA	45
FUN_023433	NA	45
FUN_024166	NA	45
FUN_025248	NA	45
FUN_025987	NA	45
FUN_026728	NA	45
FUN_026985	NA	45
FUN_027590	NA	45
FUN_029172	NA	45
FUN_029297	NA	45
FUN_032151	NA	45
FUN_032520	NA	45
FUN_032615	NA	45
FUN_033017	NA	45
FUN_033744	NA	45
FUN_033752	NA	45
FUN_034295	NA	45
FUN_034421	NA	45
FUN_036169	NA	45
FUN_036236	NA	45
FUN_037427	NA	45
FUN_037727	NA	45
FUN_038156	NA	45
FUN_038761	NA	45
FUN_038841	NA	45
FUN_040082	NA	45
FUN_040491	NA	45
FUN_041665	NA	45
FUN_042311	NA	45
FUN_043274	NA	45
FUN_008971	NA	45
