module_A	module_B	correlation
ME11	ME11	1
ME16	ME16	1
ME12	ME16	0.72051613950474
ME25	ME25	1
ME34	ME34	1
ME49	ME49	1
ME39	ME39	1
ME48	ME39	0.730149930155891
ME52	ME39	0.74099758351148
ME39	ME48	0.730149930155891
ME48	ME48	1
ME52	ME48	0.809650407249866
ME28	ME48	0.764760167484803
ME39	ME52	0.74099758351148
ME48	ME52	0.809650407249866
ME52	ME52	1
ME50	ME50	1
ME31	ME31	1
ME20	ME31	-0.854543690110407
ME48	ME28	0.764760167484803
ME28	ME28	1
ME32	ME28	0.825703516715465
ME24	ME28	0.746300541624949
ME51	ME28	-0.780133024388903
ME28	ME32	0.825703516715465
ME32	ME32	1
ME51	ME32	-0.89779838377054
ME40	ME40	1
ME53	ME40	0.700953819318712
ME40	ME53	0.700953819318712
ME53	ME53	1
ME3	ME3	1
ME5	ME3	0.752039982737372
ME1	ME3	0.721590985197413
ME14	ME3	-0.929895828151962
ME2	ME3	-0.743005469427238
ME3	ME5	0.752039982737372
ME5	ME5	1
ME14	ME5	-0.896173237060809
ME13	ME5	-0.764743078297047
ME19	ME19	1
ME1	ME19	0.815607420522141
ME7	ME19	-0.871367111363639
ME2	ME19	-0.861564385615423
ME15	ME19	-0.867538938910333
ME27	ME27	1
ME45	ME27	0.818048187633769
ME27	ME45	0.818048187633769
ME45	ME45	1
ME22	ME22	1
ME30	ME22	0.730166302810396
ME10	ME22	0.762130405568547
ME33	ME22	-0.722313505273027
ME35	ME22	-0.909528134297985
ME38	ME22	-0.743794934552251
ME22	ME30	0.730166302810396
ME30	ME30	1
ME10	ME30	0.711457071342803
ME33	ME30	-0.833198939300198
ME29	ME29	1
ME38	ME29	-0.714655418068944
ME12	ME29	-0.913898572652961
ME37	ME37	1
ME10	ME37	0.706573838097833
ME38	ME37	-0.83952770495826
ME28	ME24	0.746300541624949
ME24	ME24	1
ME1	ME24	0.726707329282028
ME17	ME24	0.815329001059751
ME4	ME24	0.763595837805383
ME2	ME24	-0.704168286680692
ME23	ME24	-0.730101220395987
ME3	ME1	0.721590985197413
ME19	ME1	0.815607420522141
ME24	ME1	0.726707329282028
ME1	ME1	1
ME17	ME1	0.845955116632406
ME4	ME1	0.738705943928063
ME10	ME1	0.701295314275945
ME14	ME1	-0.773136433250502
ME2	ME1	-0.987960799160314
ME23	ME1	-0.852357071907874
ME24	ME17	0.815329001059751
ME1	ME17	0.845955116632406
ME17	ME17	1
ME4	ME17	0.733654822727676
ME10	ME17	0.709034536793953
ME2	ME17	-0.814185932864088
ME23	ME17	-0.815407773424937
ME24	ME4	0.763595837805383
ME1	ME4	0.738705943928063
ME17	ME4	0.733654822727676
ME4	ME4	1
ME10	ME4	0.767233048871515
ME2	ME4	-0.712859186941434
ME23	ME4	-0.849776180009015
ME22	ME10	0.762130405568547
ME30	ME10	0.711457071342803
ME37	ME10	0.706573838097833
ME1	ME10	0.701295314275945
ME17	ME10	0.709034536793953
ME4	ME10	0.767233048871515
ME10	ME10	1
ME33	ME10	-0.77278778341722
ME23	ME10	-0.840569294716223
ME42	ME42	1
ME43	ME42	-0.844718949673161
ME23	ME42	-0.730366364625421
ME8	ME8	1
ME9	ME9	1
ME6	ME9	-0.919496624163928
ME23	ME9	-0.737529724752831
ME28	ME51	-0.780133024388903
ME32	ME51	-0.89779838377054
ME51	ME51	1
ME47	ME47	1
ME41	ME41	1
ME44	ME41	0.776168305046291
ME41	ME44	0.776168305046291
ME44	ME44	1
ME9	ME6	-0.919496624163928
ME6	ME6	1
ME18	ME18	1
ME22	ME33	-0.722313505273027
ME30	ME33	-0.833198939300198
ME10	ME33	-0.77278778341722
ME33	ME33	1
ME23	ME33	0.732263175750457
ME22	ME35	-0.909528134297985
ME35	ME35	1
ME22	ME38	-0.743794934552251
ME29	ME38	-0.714655418068944
ME37	ME38	-0.83952770495826
ME38	ME38	1
ME42	ME43	-0.844718949673161
ME43	ME43	1
ME16	ME12	0.72051613950474
ME29	ME12	-0.913898572652961
ME12	ME12	1
ME26	ME12	0.756603562615632
ME12	ME26	0.756603562615632
ME26	ME26	1
ME19	ME7	-0.871367111363639
ME7	ME7	1
ME15	ME7	0.776823058533716
ME3	ME14	-0.929895828151962
ME5	ME14	-0.896173237060809
ME1	ME14	-0.773136433250502
ME14	ME14	1
ME2	ME14	0.818435207914602
ME3	ME2	-0.743005469427238
ME19	ME2	-0.861564385615423
ME24	ME2	-0.704168286680692
ME1	ME2	-0.987960799160314
ME17	ME2	-0.814185932864088
ME4	ME2	-0.712859186941434
ME14	ME2	0.818435207914602
ME2	ME2	1
ME23	ME2	0.827317104971522
ME15	ME2	0.710465011848026
ME24	ME23	-0.730101220395987
ME1	ME23	-0.852357071907874
ME17	ME23	-0.815407773424937
ME4	ME23	-0.849776180009015
ME10	ME23	-0.840569294716223
ME42	ME23	-0.730366364625421
ME9	ME23	-0.737529724752831
ME33	ME23	0.732263175750457
ME2	ME23	0.827317104971522
ME23	ME23	1
ME36	ME36	1
ME21	ME36	0.813683178607774
ME19	ME15	-0.867538938910333
ME7	ME15	0.776823058533716
ME2	ME15	0.710465011848026
ME15	ME15	1
ME21	ME15	0.840070193873549
ME36	ME21	0.813683178607774
ME15	ME21	0.840070193873549
ME21	ME21	1
ME5	ME13	-0.764743078297047
ME13	ME13	1
ME31	ME20	-0.854543690110407
ME20	ME20	1
ME46	ME46	1
ME0	ME0	1
